74,103,37562860,126956516,81,2,Move,Move,20120621185252THU
75,104,37561010,126956269,2784,2,Move,Move,20120621190148THU
76,105,37557863,126956275,30,2,Move,Move,20120621190840THU
77,106,37555779,126936563,28,2,Move,Move,20120621191522THU
78,107,37558957,126936934,100,2,Move,Move,20120621192216THU
79,108,37561935,126936246,63,2,Move,Move,20120621192907THU
80,110,37561944,126936262,45,1,Unknown,Unknown,20120621193754THU,20120621194807THU
81,119,37562145,126935617,20,1,공비 컴실,Workplace,20120621195813THU,20120621201323THU
82,113,37561966,126936253,53,2,Move,Move,20120621202441THU
83,242,37561858,126935853,24,1,공B043,Workplace,20120621203126THU,20120621211142THU
84,242,37561858,126935853,24,1,공B043,Workplace,20120621212248THU,20120621215455THU
85,118,37562083,126935481,49,1,공비 로비,College & Education,20120621215814THU,20120621222540THU
86,119,37562145,126935617,20,1,공비 컴실,Workplace,20120621222859THU,20120621235357THU
87,120,37558664,126936947,42,2,Move,Move,20120622001019FRI
88,121,37563543,126937709,34,2,Move,Move,20120622001709FRI
89,122,37568713,126939642,39,2,Move,Move,20120622002400FRI
90,123,37564256,126929420,3285,2,Move,Move,20120622003050FRI
91,124,37574798,126939394,26,2,Move,Move,20120622003743FRI
92,125,37574961,126939222,33,2,Move,Move,20120622005444FRI
93,127,37574524,126939549,30,1,기숙사로비,Residence,20120622010536FRI,20120622023345FRI
94,987,37575020,126939125,21,1,방,Residence,20120622023804FRI,20120622074158FRI
95,129,37570368,126940482,36,2,Move,Move,20120622075309FRI
96,130,37564376,126938060,30,2,Move,Move,20120622075955FRI
97,2043,37563533,126937166,46,1,중도 지하 컴실,College & Education,20120622080645FRI,20120622111652FRI
98,289,37561965,126936254,20,1,연세대 1공학관 공도,College & Education,20120622113202FRI,20120622114215FRI
99,289,37561965,126936254,20,1,연세대 1공학관 공도,College & Education,20120622114539FRI,20120622133209FRI
100,136,37561250,126935660,72,2,Move,Move,20120622134223FRI
101,388,37561290,126935531,25,1,공학원 식당2,Shop & Service,20120622134916FRI,20120622140526FRI
102,289,37561965,126936254,20,1,연세대 1공학관 공도,College & Education,20120622141045FRI,20120622145854FRI
103,142,37562129,126936895,43,1,공대 2층 ,College & Education,20120622151554FRI,20120622153248FRI
104,142,37562129,126936895,43,1,공대 2층 ,College & Education,20120622154308FRI,20120622163941FRI
105,142,37562129,126936895,43,1,공대 2층 ,College & Education,20120622165439FRI,20120622170652FRI
106,145,37562412,126936354,30,1,신중도로비,College & Education,20120622171215FRI,20120622182710FRI
107,146,37556176,126924263,1841,2,Move,Move,20120622184400FRI
108,147,37562869,126931095,37,2,Move,Move,20120622185051FRI
109,148,37574541,126935249,37,2,Move,Move,20120622185736FRI
110,149,37574774,126939326,39,2,Move,Move,20120622190627FRI
111,987,37575020,126939125,21,1,방,Residence,20120622191517FRI,20120622192530FRI
112,987,37575020,126939125,21,1,방,Residence,20120622192851FRI,20120622200503FRI
113,987,37575020,126939125,21,1,방,Residence,20120622200823FRI,20120622204718FRI
114,987,37575020,126939125,21,1,방,Residence,20120622205040FRI,20120622223637FRI
115,987,37575020,126939125,21,1,방,Residence,20120622223956FRI,20120622225739FRI
116,987,37575020,126939125,21,1,방,Residence,20120622230101FRI,20120622231854FRI
117,987,37575020,126939125,21,1,방,Residence,20120622232315FRI,20120623005058SAT
118,158,37574901,126939123,28,2,Move,Move,20120623010112SAT
119,987,37575020,126939125,21,1,방,Residence,20120623011802SAT,20120623012814SAT
120,987,37575020,126939125,21,1,방,Residence,20120623013135SAT,20120623095613SAT
121,987,37575020,126939125,21,1,방,Residence,20120623095934SAT,20120623101626SAT
122,987,37575020,126939125,21,1,방,Residence,20120623101947SAT,20120623112414SAT
123,987,37575020,126939125,21,1,방,Residence,20120623112735SAT,20120623115929SAT
124,987,37575020,126939125,21,1,방,Residence,20120623120939SAT,20120623142949SAT
125,987,37575020,126939125,21,1,방,Residence,20120623143310SAT,20120623145002SAT
126,987,37575020,126939125,21,1,방,Residence,20120623145323SAT,20120623155700SAT
127,987,37575020,126939125,21,1,방,Residence,20120623160018SAT,20120623161029SAT
128,987,37575020,126939125,21,1,방,Residence,20120623161350SAT,20120623164758SAT
129,987,37575020,126939125,21,1,방,Residence,20120623165319SAT,20120623170525SAT
130,987,37575020,126939125,21,1,방,Residence,20120623170846SAT,20120623183451SAT
131,2048,37574039,126939033,30,1,기숙사 식당,Food,20120623183908SAT,20120623185712SAT
132,987,37575020,126939125,21,1,방,Residence,20120623190504SAT,20120624120143SUN
133,2048,37574039,126939033,30,1,기숙사 식당,Food,20120624120505SUN,20120624121626SUN
134,176,37566528,126938539,44,2,Move,Move,20120624122748SUN
135,289,37561965,126936254,20,1,연세대 1공학관 공도,College & Education,20120624123446SUN,20120624161415SUN
136,289,37561965,126936254,20,1,연세대 1공학관 공도,College & Education,20120624163440SUN,20120624173210SUN
137,142,37562129,126936895,43,1,공대 2층 ,College & Education,20120624173536SUN,20120624191730SUN
138,183,37572038,126939866,24,2,Move,Move,20120624193421SUN
139,987,37575020,126939125,21,1,방,Residence,20120624194116SUN,20120625093130MON
140,186,37560712,126937148,2864,2,Move,Move,20120625094146MON
141,187,37564496,126938049,30,2,Move,Move,20120625094845MON
142,189,37564148,126937036,24,1,중도 3층,College & Education,20120625095733MON,20120625100758MON
143,189,37564148,126937036,24,1,중도 3층,College & Education,20120625102108MON,20120625103532MON
144,192,37564538,126938031,30,2,Move,Move,20120625104707MON
145,966,37566417,126937939,30,1,종합관102,Workplace,20120625105404MON,20120625125434MON
146,142,37562129,126936895,43,1,공대 2층 ,College & Education,20120625130615MON,20120625131637MON
147,142,37562129,126936895,43,1,공대 2층 ,College & Education,20120625132651MON,20120625151605MON
148,199,37562219,126937186,30,2,Move,Move,20120625152940MON
149,289,37561965,126936254,20,1,연세대 1공학관 공도,College & Education,20120625154240MON,20120625180159MON
150,242,37561858,126935853,24,1,공B043,Workplace,20120625181227MON,20120625183031MON
151,204,37561251,126935395,2751,2,Move,Move,20120625184149MON
152,205,37561952,126936162,49,2,Move,Move,20120625184848MON
153,206,37562225,126937162,78,2,Move,Move,20120625185548MON
154,142,37562129,126936895,43,1,공대 2층 ,College & Education,20120625190648MON,20120625193036MON
155,119,37562145,126935617,20,1,공비 컴실,Workplace,20120625194302MON,20120625200922MON
156,211,37562016,126939357,3875,2,Move,Move,20120625201948MON
157,212,37561901,126936019,47,2,Move,Move,20120625202642MON
158,119,37562145,126935617,20,1,공비 컴실,Workplace,20120625203340MON,20120626002503TUE
159,215,37570368,126940481,40,2,Move,Move,20120626003827TUE
160,216,37574552,126939520,30,2,Move,Move,20120626004526TUE
161,987,37575020,126939125,21,1,방,Residence,20120626005426TUE,20120626093957TUE
162,219,37570369,126940482,33,2,Move,Move,20120626095013TUE
163,220,37561101,126938546,2799,2,Move,Move,20120626095711TUE
164,221,37564117,126937569,65,2,Move,Move,20120626100809TUE
165,222,37563578,126937484,39,2,Move,Move,20120626101708TUE
166,223,37563674,126937091,28,2,Move,Move,20120626102407TUE
167,224,37564012,126937073,25,2,Move,Move,20120626103506TUE
168,225,37564774,126938069,40,2,Move,Move,20120626104400TUE
169,966,37566417,126937939,30,1,종합관102,Workplace,20120626105100TUE,20120626115524TUE
170,966,37566417,126937939,30,1,종합관102,Workplace,20120626120548TUE,20120626125703TUE
171,985,37563313,126937866,49,1,학관 1층 식당,Food,20120626130028TUE,20120626131820TUE
172,231,37560878,126935879,45,2,Move,Move,20120626132902TUE
173,233,37560736,126936012,21,1,공학원,Workplace,20120626133556TUE,20120626143046TUE
174,289,37561965,126936254,20,1,연세대 1공학관 공도,College & Education,20120626144220TUE,20120626150031TUE
175,235,37561746,126937087,57,1,공대 2층 ,College & Education,20120626150356TUE,20120626152213TUE
176,236,37562182,126935640,60,2,Move,Move,20120626153536TUE
177,119,37562145,126935617,20,1,공비 컴실,Workplace,20120626154229TUE,20120626172947TUE
178,239,37562337,126935474,41,2,Move,Move,20120626174306TUE
179,240,37562171,126935585,59,2,Move,Move,20120626175000TUE
180,242,37561858,126935853,24,1,공B043,Workplace,20120626175659TUE,20120626205140TUE
181,243,37558679,126937007,30,1,복성각,Food,20120626210340TUE,20120626214703TUE
182,244,37561639,126934859,2777,2,Move,Move,20120626220047TUE
183,249,37574558,126939506,30,1,기숙사 로비,Residence,20120626223837TUE,20120626232011TUE
184,987,37575020,126939125,21,1,방,Residence,20120626232334TUE,20120627010510WED
185,249,37574558,126939506,30,1,기숙사 로비,Residence,20120627011506WED,20120627031129WED
186,987,37575020,126939125,21,1,방,Residence,20120627031735WED,20120627101714WED
187,251,37567139,126938500,64,2,Move,Move,20120627102808WED
188,252,37562401,126936354,56,2,Move,Move,20120627103650WED
189,253,37561948,126936200,43,2,Move,Move,20120627104344WED
190,966,37566417,126937939,30,1,종합관102,Workplace,20120627105741WED,20120627125015WED
191,257,37563132,126937748,62,2,Move,Move,20120627130254WED
192,258,37563091,126937740,30,2,Move,Move,20120627131627WED
193,259,37563784,126937104,32,2,Move,Move,20120627132327WED
194,260,37561801,126936414,2750,2,Move,Move,20120627133025WED
195,289,37561965,126936254,20,1,연세대 1공학관 공도,College & Education,20120627133720WED,20120627140401WED
196,263,37563507,126938488,33,1,학관 탁구장,Sports & Outdoors,20120627141031WED,20120627145525WED
197,264,37562931,126937419,96,2,Move,Move,20120627150545WED
198,289,37561965,126936254,20,1,연세대 1공학관 공도,College & Education,20120627151245WED,20120627175423WED
199,987,37575020,126939125,21,1,방,Residence,20120627180948WED,20120628102926THU
200,269,37568558,126939593,36,2,Move,Move,20120628104151THU
201,966,37566417,126937939,30,1,종합관102,Workplace,20120628104742THU,20120628130343THU
202,272,37562190,126936212,27,2,Move,Move,20120628132013THU
203,274,37561924,126936159,44,1,공대앞 흡연구역,College & Education,20120628132713THU,20120628133837THU
204,289,37561965,126936254,20,1,연세대 1공학관 공도,College & Education,20120628134307THU,20120628153218THU
205,277,37561887,126936355,36,1,한울샘,Food,20120628154500THU,20120628155514THU
206,278,37561942,126936109,28,2,홍대입구역,Travel & Transport,20120628155841THU
207,289,37561965,126936254,20,1,연세대 1공학관 공도,College & Education,20120628161235THU,20120628171036THU
208,280,37561736,126936497,52,2,Move,Move,20120628172509THU
209,388,37561290,126935531,25,1,공학원 식당2,Shop & Service,20120628174211THU,20120628175231THU
210,284,37560578,126936667,30,1,공학원 로비,College & Education,20120628180457THU,20120628182055THU
211,987,37575020,126939125,21,1,방,Residence,20120628183655THU,20120629094957FRI
212,287,37563483,126937351,70,2,Move,Move,20120629100611FRI
213,289,37561965,126936254,20,1,연세대 1공학관 공도,College & Education,20120629101515FRI,20120629103823FRI
214,966,37566417,126937939,30,1,종합관102,Workplace,20120629105445FRI,20120629125304FRI
215,292,37561982,126936204,45,2,Move,Move,20120629130347FRI
216,293,37561240,126935580,63,2,Move,Move,20120629131046FRI
217,388,37561290,126935531,25,1,공학원 식당2,Shop & Service,20120629131935FRI,20120629133200FRI
218,119,37562145,126935617,20,1,공비 컴실,Workplace,20120629134227FRI,20120629140636FRI
219,289,37561965,126936254,20,1,연세대 1공학관 공도,College & Education,20120629141002FRI,20120629171046FRI
220,987,37575020,126939125,21,1,방,Residence,20120629172014FRI,20120629173714FRI
221,300,37568412,126940234,27,2,Move,Move,20120629174751FRI
222,301,37561938,126936227,42,2,Move,Move,20120629175650FRI
223,388,37561290,126935531,25,1,공학원 식당2,Shop & Service,20120629180351FRI,20120629181416FRI
224,304,37558615,126938434,2735,2,Move,Move,20120629182421FRI
225,305,37563300,126956206,2750,2,Move,Move,20120629183654FRI
226,820,37561942,126951896,29,1,교육봉사 센터,Workplace,20120629184624FRI,20120629205925FRI
227,308,37562091,126955454,73,2,Move,Move,20120629210950FRI
228,309,37555579,126936991,41,2,Move,Move,20120629212912FRI
229,310,37560468,126936605,39,2,Move,Move,20120629213610FRI
230,311,37567328,126931150,34,2,Move,Move,20120629214309FRI
231,312,37564672,126929739,3258,2,Move,Move,20120629215008FRI
232,987,37575020,126939125,21,1,방,Residence,20120629215707FRI,20120630132403SAT
233,388,37561290,126935531,25,1,공학원 식당2,Shop & Service,20120630133317SAT,20120630135721SAT
234,316,37560439,126936837,45,2,Move,Move,20120630140747SAT
235,317,37558957,126942222,30,2,Move,Move,20120630141446SAT
236,319,37556776,126945363,61,1,이대 헌혈의 집,Shop & Service,20120630142145SAT,20120630145549SAT
237,320,37557456,126946278,1381,1,연희사진관,Shop & Service,20120630151142SAT,20120630152833SAT
238,321,37549336,126941416,69,2,Move,Move,20120630154600SAT
239,322,37550497,126941925,88,2,Move,Move,20120630155248SAT
240,323,37550121,126942993,42,2,Move,Move,20120630155942SAT
241,324,37550155,126943348,111,2,Move,Move,20120630160945SAT
242,326,37550181,126943306,108,1,서강대 정하상관,Workplace,20120630161805SAT,20120630180337SAT
243,327,37550017,126936833,42,2,Move,Move,20120630181614SAT
244,329,37550028,126936922,39,1,서강대 앞 고기집,Food,20120630183308SAT,20120630192047SAT
245,330,37555578,126937015,45,2,Move,Move,20120630193240SAT
246,331,37555625,126936984,30,2,Move,Move,20120630194029SAT
247,332,37557950,126936372,25,2,Move,Move,20120630194730SAT
248,334,37558223,126936445,45,1,신촌 이자카야1,Food,20120630195829SAT,20120630211544SAT
249,335,37572536,126935142,30,2,Move,Move,20120630212942SAT
250,336,37568450,126931024,1679,2,Move,Move,20120630214036SAT
251,337,37572776,126935282,45,2,Move,Move,20120630214734SAT
252,987,37575020,126939125,21,1,방,Residence,20120630215437SAT,20120701114749SUN
253,340,37570263,126940401,39,2,Move,Move,20120701115807SUN
254,341,37565088,126938092,36,2,Move,Move,20120701120506SUN
255,342,37563761,126937514,25,2,Move,Move,20120701121204SUN
256,343,37563509,126938526,23,2,Move,Move,20120701122109SUN
257,344,37562125,126939525,2750,2,Move,Move,20120701122809SUN
258,345,37557975,126936949,30,2,Move,Move,20120701123507SUN
259,347,37557139,126936906,30,1,신촌 고쌈냉면,Food,20120701124203SUN,20120701130020SUN
260,348,37557916,126937014,30,1,신촌 엔젤리너스,Food,20120701130446SUN,20120701145608SUN
261,349,37559701,126937180,58,2,Move,Move,20120701151234SUN
262,289,37561965,126936254,20,1,연세대 1공학관 공도,College & Education,20120701151934SUN,20120701201422SUN
263,289,37561965,126936254,20,1,연세대 1공학관 공도,College & Education,20120701201748SUN,20120701203456SUN
264,353,37558334,126936546,1,1,신촌 Gs25 솜리치킨앞,Food,20120701203826SUN,20120701205150SUN
265,289,37561965,126936254,20,1,연세대 1공학관 공도,College & Education,20120701205821SUN,20120701225816SUN
266,355,37558749,126936979,71,1,Unknown,Unknown,20120701230514SUN,20120701231540SUN
267,356,37565856,126938593,42,2,Move,Move,20120701232556SUN
268,357,37564672,126929739,3258,2,Move,Move,20120701233655SUN
269,987,37575020,126939125,21,1,방,Residence,20120701234349SUN,20120702103913MON
270,966,37566417,126937939,30,1,종합관102,Workplace,20120702105133MON,20120702130148MON
271,362,37563384,126937747,73,1,학생회관 1층 식당,Food,20120702131134MON,20120702132548MON
272,289,37561965,126936254,20,1,연세대 1공학관 공도,College & Education,20120702133331MON,20120702164916MON
273,987,37575020,126939125,21,1,방,Residence,20120702170304MON,20120702195229MON
274,365,37568699,126939576,31,2,Move,Move,20120702200245MON
275,366,37563310,126937553,39,2,Move,Move,20120702200944MON
276,367,37561983,126936225,45,2,Move,Move,20120702201643MON
277,289,37561965,126936254,20,1,연세대 1공학관 공도,College & Education,20120702203650MON,20120702215331MON
278,289,37561965,126936254,20,1,연세대 1공학관 공도,College & Education,20120702221051MON,20120703000659TUE
279,372,37561649,126935006,2750,2,Move,Move,20120703001726TUE
280,373,37565467,126938449,40,2,Move,Move,20120703002425TUE
281,374,37572127,126940256,29,2,Move,Move,20120703003425TUE
282,987,37575020,126939125,21,1,방,Residence,20120703004519TUE,20120703105127TUE
