PropertyTimestampInNumber,AirFlowActive,AirFlowNormalized,AirValvePosition,DischargeAirTemp,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
20160101000000,381.15,78.913,50,56.7,68.3,68.5,65.5
20160101001500,381.15,78.913,50,56.7,68.3,68.5,65.5
20160101003000,381.15,78.913,50,56.7,68.4,68.5,65.5
20160101004500,374.85,77.6087,50,56.7,68.4,68.5,65.5
20160101010000,381.15,78.913,50,56.0,68.4,68.5,65.5
20160101011500,381.15,78.913,50,56.0,68.4,68.5,65.5
20160101013000,381.15,78.913,50,56.7,68.4,68.5,65.5
20160101014500,381.15,78.913,50,56.0,68.4,68.5,65.5
20160101020000,381.15,78.913,50,56.0,68.4,68.5,65.5
20160101021500,381.15,78.913,50,56.7,68.4,68.5,65.5
20160101023000,381.15,78.913,50,55.9,68.4,68.5,65.5
20160101024500,381.15,78.913,50,55.9,68.4,68.5,65.5
20160101030000,381.15,78.913,50,56.6,68.4,68.5,65.5
20160101031500,381.15,78.913,50,56.0,68.4,68.5,65.5
20160101033000,381.15,78.913,50,56.0,68.4,68.5,65.5
20160101034500,381.15,78.913,50,56.7,68.4,68.5,65.5
20160101040000,381.15,78.913,50,56.0,68.4,68.5,65.5
20160101041500,381.15,78.913,50,56.0,68.4,68.5,65.5
20160101043000,381.15,78.913,50,56.7,68.4,68.5,65.5
20160101044500,381.15,78.913,50,56.0,68.3,68.5,65.5
20160101050000,381.15,78.913,50,56.7,68.3,68.5,65.5
20160101051500,376.95,78.0435,50,56.7,68.3,68.5,65.5
20160101053000,381.15,78.913,50,56.0,68.3,68.5,65.5
20160101054500,381.15,78.913,50,56.0,68.3,68.5,65.5
20160101060000,381.15,78.913,50,56.0,68.3,68.5,65.5
20160101061500,381.15,78.913,50,56.0,68.4,68.5,65.5
20160101063000,381.15,78.913,50,56.7,68.3,68.5,65.5
20160101064500,381.15,78.913,50,55.6,68.3,68.5,65.5
20160101070000,381.15,78.913,50,56.4,68.3,68.5,65.5
20160101071500,381.15,78.913,50,56.4,68.5,68.5,65.5
20160101073000,407.4,84.3478,52,56.4,69.0,68.5,65.5
20160101074500,470.4,97.3913,60,56.4,69.1,68.5,65.5
20160101080000,439.95,91.087,55,55.6,68.6,68.5,65.5
