PropertyTimestampInNumber,AirFlowActive,AirFlowNormalized,AirValvePosition,DischargeAirTemp,HeatOutput,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
20160101000000,519.75,99.0,62,67.7,100,66.2,69.0,66.0
20160101001500,513.45,97.8,62,56.4,100,65.6,69.0,66.0
20160101003000,519.75,99.0,62,56.4,100,65.1,69.0,66.0
20160101004500,519.75,99.0,62,63.2,100,65.4,69.0,66.0
20160101010000,519.75,99.0,62,67.3,100,65.9,69.0,66.0
20160101011500,519.75,99.0,62,69.2,100,66.2,69.0,66.0
20160101013000,519.75,99.0,62,56.4,100,65.7,69.0,66.0
20160101014500,519.75,99.0,62,56.4,100,65.5,69.0,66.0
20160101020000,519.75,99.0,62,57.1,100,65.1,69.0,66.0
20160101021500,519.75,99.0,62,65.8,100,65.5,69.0,66.0
20160101023000,519.75,99.0,62,68.6,100,65.6,69.0,66.0
20160101024500,519.75,99.0,62,67.3,100,65.9,69.0,66.0
20160101030000,519.75,99.0,62,67.3,100,66.0,69.0,66.0
20160101031500,513.45,97.8,62,68.1,100,66.1,69.0,66.0
20160101033000,519.75,99.0,62,69.6,100,66.1,69.0,66.0
20160101034500,519.75,99.0,62,65.8,100,66.2,69.0,66.0
20160101040000,513.45,97.8,62,66.7,100,66.1,69.0,66.0
20160101041500,519.75,99.0,62,68.4,100,66.2,69.0,66.0
20160101043000,513.45,97.8,62,68.4,100,66.2,69.0,66.0
20160101044500,519.75,99.0,62,69.6,100,66.2,69.0,66.0
20160101050000,519.75,99.0,62,63.7,0,66.3,69.0,66.0
20160101051500,513.45,97.8,62,56.0,100,65.6,69.0,66.0
20160101053000,519.75,99.0,62,56.0,100,65.5,69.0,66.0
20160101054500,519.75,99.0,62,57.8,100,65.1,69.0,66.0
20160101060000,519.75,99.0,62,64.0,100,65.6,69.0,66.0
20160101061500,513.45,97.8,62,64.0,100,65.6,69.0,66.0
20160101063000,519.75,99.0,62,71.0,100,66.0,69.0,66.0
20160101064500,513.45,97.8,62,71.0,100,66.2,69.0,66.0
20160101070000,519.75,99.0,62,61.7,0,66.2,69.0,66.0
20160101071500,519.75,99.0,62,56.0,100,65.3,69.0,66.0
20160101073000,519.75,99.0,62,64.8,100,65.4,69.0,66.0
20160101074500,519.75,99.0,62,66.3,100,65.6,69.0,66.0
20160101080000,519.75,99.0,62,66.3,100,65.6,69.0,66.0
20160101081500,526.05,100.2,62,67.3,100,66.1,69.0,66.0
20160101083000,519.75,99.0,62,67.3,100,66.2,69.0,66.0
20160101084500,519.75,99.0,62,56.4,100,65.7,69.0,66.0
20160101090000,519.75,99.0,62,55.6,100,65.4,69.0,66.0
20160101091500,519.75,99.0,62,55.6,100,65.5,69.0,66.0
20160101093000,513.45,97.8,62,66.2,100,65.3,69.0,66.0
20160101094500,526.05,100.2,62,66.2,100,65.5,69.0,66.0
20160101100000,519.75,99.0,62,58.0,100,65.7,69.0,66.0
20160101101500,526.05,100.2,62,55.2,100,65.1,69.0,66.0
20160101103000,519.75,99.0,62,67.2,100,65.5,69.0,66.0
20160101104500,526.05,100.2,62,65.9,100,65.6,69.0,66.0
20160101110000,513.45,97.8,62,68.2,100,66.0,69.0,66.0
20160101111500,519.75,99.0,62,67.5,100,66.2,69.0,66.0
20160101113000,526.05,100.2,62,56.4,100,65.4,69.0,66.0
20160101114500,538.65,102.6,62,59.9,100,65.1,69.0,66.0
20160101120000,532.35,101.4,62,64.8,100,65.5,69.0,66.0
20160101121500,506.1,96.4,61,64.8,100,65.6,69.0,66.0
20160101123000,519.75,99.0,61,68.9,100,66.2,69.0,66.0
20160101124500,519.75,99.0,61,56.8,0,65.8,69.0,66.0
20160101130000,519.75,99.0,61,55.6,100,65.3,69.0,66.0
20160101131500,519.75,99.0,61,65.0,100,65.2,69.0,66.0
20160101133000,519.75,99.0,61,65.0,100,65.5,69.0,66.0
20160101134500,526.05,100.2,61,70.1,100,65.9,69.0,66.0
20160101140000,519.75,99.0,61,71.0,100,66.2,69.0,66.0
20160101141500,519.75,99.0,61,56.1,100,65.5,69.0,66.0
20160101143000,519.75,99.0,61,57.4,100,65.1,69.0,66.0
20160101144500,519.75,99.0,61,64.8,100,65.6,69.0,66.0
20160101150000,519.75,99.0,61,64.8,100,65.5,69.0,66.0
20160101151500,519.75,99.0,61,66.2,100,65.6,69.0,66.0
20160101153000,519.75,99.0,61,71.0,100,66.1,69.0,66.0
20160101154500,519.75,99.0,61,71.0,100,66.2,69.0,66.0
20160101160000,513.45,97.8,61,55.6,100,65.6,69.0,66.0
