PropertyTimestampInNumber,AirFlowSetpointMin,AirFlowActive,AirFlowNormalized,AirValvePosition,DischargeAirTemp,HeatOutput,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
20160101000000,451.5,445.2,98.6047,51,56.7,100,65.2,68.5,65.5
20160101001500,451.5,460.95,102.093,51,56.7,100,65.2,68.5,65.5
20160101003000,451.5,445.2,98.6047,51,56.7,100,65.2,68.5,65.5
20160101004500,451.5,445.2,98.6047,51,56.7,100,65.1,68.5,65.5
20160101010000,451.5,452.55,100.2326,51,56.7,100,65.1,68.8,65.8
20160101011500,451.5,445.2,98.6047,51,56.7,100,65.1,68.4,65.4
20160101013000,451.5,452.55,100.2326,51,57.4,100,65.1,68.5,65.5
20160101014500,451.5,452.55,100.2326,51,57.4,100,65.1,68.5,65.5
20160101020000,451.5,452.55,100.2326,51,58.7,100,65.1,68.5,65.5
20160101021500,451.5,452.55,100.2326,51,58.7,100,65.1,68.1,65.1
20160101023000,451.5,445.2,98.6047,51,56.8,0,65.2,68.0,64.9
20160101024500,451.5,445.2,98.6047,51,56.8,0,65.2,68.0,64.9
20160101030000,451.5,452.55,100.2326,51,56.0,0,65.1,68.0,64.9
20160101031500,451.5,452.55,100.2326,51,57.9,100,65.1,73.5,70.5
20160101033000,451.5,445.2,98.6047,51,56.3,100,65.1,68.0,64.9
20160101034500,451.5,452.55,100.2326,51,56.3,100,65.1,68.0,64.9
20160101040000,451.5,452.55,100.2326,51,71.6,100,65.1,68.0,64.9
20160101041500,451.5,452.55,100.2326,51,57.1,100,65.1,68.0,64.9
20160101043000,451.5,452.55,100.2326,51,57.1,100,65.1,68.0,64.9
20160101044500,451.5,452.55,100.2326,51,57.1,100,65.0,68.0,64.9
20160101050000,451.5,452.55,100.2326,51,57.1,100,65.0,68.0,64.9
20160101051500,451.5,445.2,98.6047,51,57.1,100,64.9,68.0,64.9
20160101053000,451.5,452.55,100.2326,51,58.5,100,64.8,68.0,64.9
20160101054500,451.5,452.55,100.2326,51,57.2,100,64.8,68.4,65.4
20160101060000,451.5,452.55,100.2326,51,58.3,100,64.8,68.4,65.4
20160101061500,451.5,445.2,98.6047,51,66.2,100,64.8,68.5,65.5
20160101063000,451.5,452.55,100.2326,51,74.4,100,65.0,68.5,65.5
20160101064500,451.5,445.2,98.6047,51,74.4,100,65.2,68.5,65.5
20160101070000,451.5,445.2,98.6047,51,74.4,100,65.4,68.5,65.5
20160101071500,451.5,445.2,98.6047,51,74.4,100,65.6,68.5,65.5
20160101073000,451.5,452.55,100.2326,51,74.4,100,65.7,68.9,65.9
20160101074500,451.5,452.55,100.2326,51,75.3,100,65.8,69.3,66.3
20160101080000,451.5,452.55,100.2326,51,74.4,100,66.0,69.0,66.0
20160101081500,451.5,452.55,100.2326,51,73.0,100,66.1,69.0,66.0
20160101083000,451.5,445.2,98.6047,51,71.1,100,66.2,69.0,66.0
20160101084500,451.5,452.55,100.2326,51,71.1,100,66.2,69.0,66.0
20160101090000,451.5,452.55,100.2326,51,56.4,100,66.2,69.0,66.0
20160101091500,451.5,452.55,100.2326,51,56.4,100,66.1,69.0,66.0
20160101093000,451.5,452.55,100.2326,51,56.4,100,65.9,69.0,66.0
20160101094500,451.5,452.55,100.2326,51,55.6,100,65.7,69.4,66.4
20160101100000,451.5,452.55,100.2326,51,56.3,100,65.5,69.5,66.5
20160101101500,451.5,452.55,100.2326,51,56.3,100,65.3,69.5,66.5
20160101103000,451.5,460.95,102.093,51,56.3,100,65.2,69.5,66.5
20160101104500,451.5,452.55,100.2326,51,56.3,100,65.0,69.5,66.5
20160101110000,451.5,452.55,100.2326,51,60.7,100,65.0,69.5,66.5
20160101111500,451.5,452.55,100.2326,51,74.4,100,65.0,69.5,66.5
20160101113000,451.5,445.2,98.6047,51,71.6,100,65.2,69.5,66.5
20160101114500,451.5,469.35,103.9535,51,71.6,100,65.5,69.5,66.5
20160101120000,451.5,460.95,102.093,51,71.6,100,65.6,69.8,66.8
20160101121500,451.5,435.75,96.5116,49,72.7,100,65.8,69.9,66.9
20160101123000,451.5,435.75,96.5116,50,77.2,100,66.0,69.9,66.9
20160101124500,451.5,445.2,98.6047,50,75.4,100,66.1,70.0,67.0
20160101130000,451.5,445.2,98.6047,50,76.3,100,66.1,70.0,67.0
20160101131500,451.5,445.2,98.6047,50,77.2,100,66.2,70.0,67.0
20160101133000,451.5,445.2,98.6047,50,75.1,100,66.3,70.0,67.0
20160101134500,451.5,445.2,98.6047,50,71.5,100,66.4,70.0,67.0
20160101140000,451.5,445.2,98.6047,50,73.3,100,66.5,70.0,67.0
20160101141500,451.5,452.55,100.2326,50,73.3,100,66.6,70.3,67.3
20160101143000,451.5,445.2,98.6047,50,73.3,100,66.6,70.4,67.4
20160101144500,451.5,445.2,98.6047,50,75.2,100,66.6,70.4,67.4
20160101150000,451.5,452.55,100.2326,50,75.2,100,66.7,70.4,67.4
