PropertyTimestampInNumber,AirFlowActive,AirFlowNormalized,AirValvePosition,DischargeAirTemp,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
20160101000000,96.6,18.7209,21,57.1,67.8,68.0,63.6
20160101001500,96.6,18.7209,21,57.1,67.8,68.0,63.6
20160101003000,96.6,18.7209,21,57.1,67.8,68.0,63.6
20160101004500,96.6,18.7209,21,57.1,67.8,68.0,63.6
20160101010000,95.4,18.4884,21,57.8,67.8,68.0,63.6
20160101011500,95.4,18.4884,21,57.8,67.7,68.0,63.6
20160101013000,95.4,18.4884,21,57.8,67.8,68.0,63.6
20160101014500,96.6,18.7209,21,57.8,67.8,68.0,63.6
20160101020000,95.4,18.4884,21,57.8,67.8,68.0,63.6
20160101021500,96.6,18.7209,21,57.2,67.8,68.0,63.6
20160101023000,96.6,18.7209,21,57.2,67.8,68.0,63.6
20160101024500,96.6,18.7209,21,57.2,67.8,68.0,63.6
20160101030000,96.6,18.7209,21,57.2,67.8,68.0,63.6
20160101031500,96.6,18.7209,21,57.2,67.7,68.0,63.6
20160101033000,92.4,17.907,21,57.2,67.7,68.0,63.6
20160101034500,83.4,16.1628,20,57.9,67.8,68.0,63.6
20160101040000,83.4,16.1628,20,57.9,67.8,68.0,63.6
20160101041500,83.4,16.1628,20,57.9,67.7,68.0,63.6
20160101043000,73.8,14.3023,19,57.9,67.7,68.0,63.6
20160101044500,70.8,13.7209,18,57.9,67.7,68.0,63.6
20160101050000,70.8,13.7209,18,57.9,67.7,68.0,63.6
20160101051500,70.8,13.7209,18,57.9,67.8,68.0,63.6
20160101053000,70.8,13.7209,18,57.9,67.8,68.0,63.6
20160101054500,69.6,13.4884,18,57.9,67.8,68.0,63.6
20160101060000,70.8,13.7209,18,57.9,67.8,68.0,63.6
20160101061500,69.6,13.4884,18,57.9,67.8,68.0,63.6
20160101063000,70.8,13.7209,18,57.9,67.8,68.0,63.6
20160101064500,69.6,13.4884,18,57.9,67.8,68.0,63.6
20160101070000,69.6,13.4884,18,57.9,67.8,68.0,63.6
20160101071500,70.8,13.7209,18,57.9,67.8,68.0,63.6
20160101073000,70.8,13.7209,18,57.9,67.8,68.0,63.6
