PropertyTimestampInNumber,AirFlowActive,AirFlowNormalized,AirValvePosition,DischargeAirTemp,HeatOutput,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
20160101000000,646.8,100.9836,66,72.9,100,72.4,77.1,74.1
20160101001500,646.8,100.9836,66,77.7,100,72.6,77.1,74.1
20160101003000,646.8,100.9836,66,86.2,100,72.8,77.2,74.2
20160101004500,646.8,100.9836,66,89.2,100,73.0,77.2,74.2
20160101010000,646.8,100.9836,66,84.3,100,73.3,77.3,74.3
20160101011500,646.8,100.9836,66,79.7,100,73.8,77.4,74.4
20160101013000,646.8,100.9836,66,91.0,100,74.2,77.4,74.4
20160101014500,646.8,100.9836,66,58.0,0,74.5,77.4,74.4
20160101020000,646.8,100.9836,66,66.3,100,72.7,77.4,74.4
20160101021500,635.25,99.1803,66,77.7,100,72.9,77.4,74.4
20160101023000,646.8,100.9836,66,79.1,100,73.0,77.4,74.4
20160101024500,646.8,100.9836,66,82.4,100,73.1,77.4,74.4
20160101030000,646.8,100.9836,66,86.2,100,73.3,77.4,74.4
20160101031500,635.25,99.1803,66,82.1,100,73.7,77.4,74.4
20160101033000,646.8,100.9836,66,91.7,100,74.2,77.4,74.4
20160101034500,646.8,100.9836,66,89.8,100,74.5,77.4,74.4
20160101040000,646.8,100.9836,66,57.6,100,74.5,77.4,74.4
20160101041500,646.8,100.9836,66,64.0,100,73.1,77.4,74.4
20160101043000,646.8,100.9836,66,74.5,100,72.9,77.4,74.4
20160101044500,646.8,100.9836,66,79.6,100,72.8,77.4,74.4
20160101050000,646.8,100.9836,66,85.2,100,73.2,77.4,74.4
20160101051500,646.8,100.9836,66,80.1,100,73.6,77.4,74.4
20160101053000,635.25,99.1803,66,90.4,100,73.7,77.4,74.4
20160101054500,635.25,99.1803,66,90.4,100,74.1,77.4,74.4
20160101060000,635.25,99.1803,66,86.7,100,74.5,77.4,74.4
20160101061500,646.8,100.9836,66,56.4,100,73.6,77.4,74.4
20160101063000,646.8,100.9836,66,73.9,100,72.7,77.4,74.4
20160101064500,646.8,100.9836,66,78.7,100,72.8,77.4,74.4
20160101070000,646.8,100.9836,66,81.8,100,73.1,77.3,74.3
20160101071500,635.25,99.1803,66,81.8,100,72.9,77.2,74.2
20160101073000,635.25,99.1803,66,80.7,100,73.0,77.1,74.1
20160101074500,652.05,101.8033,69,82.0,100,73.2,77.1,74.1
20160101080000,622.65,97.2131,65,89.2,100,73.4,77.1,74.1
20160101081500,657.3,102.6229,70,88.1,100,73.7,77.1,74.1
20160101083000,657.3,102.6229,70,91.1,100,73.9,77.1,74.1
20160101084500,657.3,102.6229,70,91.1,100,74.1,77.1,74.1
20160101090000,657.3,102.6229,69,91.1,100,74.3,77.1,74.1
20160101091500,640.5,100.0,69,91.1,100,74.4,77.1,74.1
20160101093000,657.3,102.6229,69,56.0,100,73.6,77.1,74.1
20160101094500,657.3,102.6229,69,66.8,100,72.8,77.1,74.1
20160101100000,646.8,100.9836,69,70.6,100,72.3,77.1,74.1
20160101101500,646.8,100.9836,69,79.7,100,72.2,77.1,74.1
20160101103000,646.8,100.9836,69,81.1,100,72.4,77.1,74.1
20160101104500,646.8,100.9836,69,80.2,100,72.7,77.1,74.1
20160101110000,646.8,100.9836,69,86.2,100,73.0,77.1,74.1
20160101111500,646.8,100.9836,69,56.8,0,74.0,77.1,74.1
20160101113000,646.8,100.9836,69,72.9,100,72.2,77.1,74.1
20160101114500,646.8,100.9836,69,76.8,100,72.6,77.1,74.1
20160101120000,646.8,100.9836,69,80.6,100,72.9,77.1,74.1
20160101121500,711.9,111.1475,94,78.4,100,73.1,77.1,74.1
20160101123000,646.8,100.9836,66,75.8,100,73.8,77.1,74.1
20160101124500,646.8,100.9836,66,83.9,100,74.0,77.1,74.1
20160101130000,646.8,100.9836,66,81.6,100,74.3,77.1,74.1
20160101131500,657.3,102.6229,66,66.5,0,74.3,77.1,74.1
20160101133000,646.8,100.9836,66,70.5,100,72.5,77.1,74.1
20160101134500,646.8,100.9836,66,77.7,100,72.5,77.1,74.1
20160101140000,646.8,100.9836,66,79.7,100,72.9,77.1,74.1
20160101141500,646.8,100.9836,66,82.8,100,73.3,77.1,74.1
20160101143000,646.8,100.9836,66,82.8,100,73.8,77.1,74.1
20160101144500,646.8,100.9836,66,82.8,100,74.0,77.1,74.1
20160101150000,646.8,100.9836,66,82.8,100,74.1,77.1,74.1
20160101151500,646.8,100.9836,66,82.8,100,74.2,77.1,74.1
20160101153000,646.8,100.9836,66,82.8,100,74.3,77.1,74.1
20160101154500,646.8,100.9836,66,82.8,100,74.4,77.1,74.1
20160101160000,646.8,100.9836,66,70.1,100,72.5,77.1,74.1
20160101161500,646.8,100.9836,66,70.1,100,72.6,77.1,74.1
20160101163000,646.8,100.9836,66,73.0,100,72.9,77.1,74.1
20160101164500,646.8,100.9836,66,80.4,100,73.5,80.0,78.0
20160101170000,646.8,100.9836,66,80.4,100,74.6,80.0,78.0
20160101171500,646.8,100.9836,66,80.4,100,75.4,80.0,78.0
20160101173000,646.8,100.9836,66,80.4,100,75.6,80.0,78.0
20160101174500,646.8,100.9836,66,80.4,100,75.9,80.0,78.0
20160101180000,646.8,100.9836,66,80.4,100,76.2,80.0,78.0
20160101181500,646.8,100.9836,66,80.4,100,76.3,80.0,78.0
20160101183000,646.8,100.9836,66,80.4,100,76.4,80.0,78.0
20160101184500,622.65,97.2131,67,80.4,100,76.5,80.0,78.0
20160101190000,628.95,98.1967,67,89.1,100,76.5,80.0,78.0
20160101191500,635.25,99.1803,68,82.5,100,76.4,80.0,78.0
20160101193000,635.25,99.1803,68,81.6,100,76.6,80.0,78.0
20160101194500,635.25,99.1803,68,81.6,100,76.6,80.0,78.0
20160101200000,635.25,99.1803,69,81.6,100,76.3,80.0,78.0
20160101201500,635.25,99.1803,66,80.7,100,76.7,80.0,78.0
20160101203000,622.65,97.2131,66,81.6,100,76.7,80.0,78.0
20160101204500,628.95,98.1967,66,90.4,100,76.4,80.0,78.0
20160101210000,635.25,99.1803,67,90.4,100,76.0,80.0,78.0
20160101211500,635.25,99.1803,67,91.7,100,75.9,80.0,78.0
20160101213000,635.25,99.1803,67,91.7,100,75.8,80.0,78.0
20160101214500,635.25,99.1803,67,90.4,100,75.7,80.0,78.0
20160101220000,635.25,99.1803,67,90.4,100,75.7,80.0,78.0
20160101221500,635.25,99.1803,67,90.4,100,75.7,80.0,78.0
20160101223000,635.25,99.1803,67,90.4,100,75.7,80.0,78.0
20160101224500,635.25,99.1803,67,90.4,100,75.7,80.0,78.0
20160101230000,635.25,99.1803,67,90.4,100,76.7,80.0,78.0
20160101231500,635.25,99.1803,67,89.3,100,76.8,80.0,78.0
20160101233000,635.25,99.1803,67,90.6,100,76.8,80.0,78.0
20160101234500,635.25,99.1803,67,90.6,100,76.9,80.0,78.0
20160102000000,635.25,99.1803,67,90.6,100,76.9,80.0,78.0
20160102001500,635.25,99.1803,68,90.6,100,76.9,80.0,78.0
20160102003000,635.25,99.1803,68,90.6,100,76.9,80.0,78.0
20160102004500,635.25,99.1803,68,90.6,100,77.0,80.0,78.0
20160102010000,635.25,99.1803,68,91.7,100,77.1,80.0,78.0
20160102011500,635.25,99.1803,68,83.6,100,77.0,80.0,78.0
20160102013000,635.25,99.1803,68,81.1,100,76.8,80.0,78.0
20160102014500,635.25,99.1803,68,90.4,100,76.8,80.0,78.0
20160102020000,635.25,99.1803,70,92.3,100,76.9,80.0,78.0
20160102021500,635.25,99.1803,70,92.3,100,77.1,80.0,78.0
20160102023000,635.25,99.1803,70,86.3,100,77.1,80.0,78.0
20160102024500,635.25,99.1803,70,83.8,100,77.0,80.0,78.0
20160102030000,635.25,99.1803,70,88.1,100,77.0,80.0,78.0
20160102031500,635.25,99.1803,70,91.1,100,77.1,80.0,78.0
20160102033000,635.25,99.1803,70,91.1,100,77.0,80.0,78.0
20160102034500,635.25,99.1803,70,91.1,100,76.9,80.0,78.0
20160102040000,646.8,100.9836,67,91.1,100,76.9,80.0,78.0
20160102041500,646.8,100.9836,67,85.1,100,77.0,80.0,78.0
20160102043000,646.8,100.9836,67,82.6,100,77.0,80.0,78.0
20160102044500,646.8,100.9836,67,85.1,100,77.1,80.0,78.0
20160102050000,646.8,100.9836,67,83.2,100,77.2,80.0,78.0
20160102051500,646.8,100.9836,67,81.6,100,77.1,80.0,78.0
20160102053000,646.8,100.9836,67,81.6,100,77.3,80.0,78.0
20160102054500,646.8,100.9836,67,85.4,100,77.5,80.0,78.0
20160102060000,646.8,100.9836,67,84.5,100,77.3,80.0,78.0
20160102061500,646.8,100.9836,67,82.0,100,77.3,80.0,78.0
20160102063000,646.8,100.9836,67,82.0,100,77.3,80.0,78.0
20160102064500,646.8,100.9836,67,80.7,100,76.5,80.0,78.0
20160102070000,646.8,100.9836,69,80.7,100,76.0,80.0,78.0
20160102071500,646.8,100.9836,69,81.6,100,75.9,80.0,78.0
20160102073000,657.3,102.6229,69,91.7,100,75.8,80.0,78.0
20160102074500,646.8,100.9836,66,91.7,100,75.7,80.0,78.0
20160102080000,646.8,100.9836,66,89.3,100,75.7,80.0,78.0
20160102081500,646.8,100.9836,67,89.3,100,75.7,80.0,78.0
20160102083000,646.8,100.9836,67,89.3,100,75.7,80.0,78.0
20160102084500,646.8,100.9836,67,89.3,100,75.7,80.0,78.0
20160102090000,635.25,99.1803,67,89.3,100,75.6,80.0,78.0
20160102091500,635.25,99.1803,67,89.3,100,75.6,80.0,78.0
20160102093000,635.25,99.1803,68,89.3,100,75.6,80.0,78.0
20160102094500,635.25,99.1803,68,89.3,100,75.6,80.0,78.0
20160102100000,635.25,99.1803,68,89.3,100,75.6,80.0,78.0
20160102101500,635.25,99.1803,68,89.3,100,75.6,80.0,78.0
20160102103000,635.25,99.1803,68,86.6,100,75.6,80.0,78.0
20160102104500,635.25,99.1803,68,89.8,100,75.7,80.0,78.0
20160102110000,635.25,99.1803,68,89.8,100,75.7,80.0,78.0
20160102111500,635.25,99.1803,68,89.8,100,75.8,80.0,78.0
20160102113000,635.25,99.1803,68,91.1,100,75.9,80.0,78.0
20160102114500,635.25,99.1803,68,89.8,100,75.9,80.0,78.0
20160102120000,635.25,99.1803,68,89.8,100,76.0,80.0,78.0
20160102121500,635.25,99.1803,68,89.8,100,76.0,80.0,78.0
20160102123000,635.25,99.1803,68,82.1,100,76.1,80.0,78.0
20160102124500,635.25,99.1803,68,91.1,100,76.1,80.0,78.0
20160102130000,635.25,99.1803,68,92.9,100,76.2,80.0,78.0
20160102131500,635.25,99.1803,68,84.4,100,76.2,80.0,78.0
20160102133000,635.25,99.1803,68,81.4,100,77.0,80.0,78.0
20160102134500,646.8,100.9836,68,81.4,100,77.4,80.0,78.0
20160102140000,646.8,100.9836,68,84.1,100,77.5,80.0,78.0
20160102141500,657.3,102.6229,68,60.9,100,77.5,80.0,78.0
20160102143000,646.8,100.9836,68,76.8,100,75.6,80.0,78.0
20160102144500,646.8,100.9836,68,85.7,100,76.0,80.0,78.0
20160102150000,646.8,100.9836,68,82.1,100,76.4,80.0,78.0
20160102151500,646.8,100.9836,68,92.3,100,76.6,80.0,78.0
20160102153000,646.8,100.9836,68,92.3,100,76.8,80.0,78.0
20160102154500,646.8,100.9836,68,83.9,100,76.9,80.0,78.0
20160102160000,646.8,100.9836,68,81.1,100,77.2,80.0,78.0
20160102161500,635.25,99.1803,68,81.1,100,77.5,80.0,78.0
20160102163000,646.8,100.9836,68,85.4,100,77.4,80.0,78.0
20160102164500,646.8,100.9836,68,92.3,100,77.5,80.0,78.0
20160102170000,635.25,99.1803,68,90.4,100,77.6,80.0,78.0
20160102171500,635.25,99.1803,68,89.3,100,77.8,80.0,78.0
20160102173000,646.8,100.9836,68,56.8,100,76.2,80.0,78.0
20160102174500,646.8,100.9836,68,77.7,100,75.9,80.0,78.0
20160102180000,635.25,99.1803,68,79.1,100,75.9,80.0,78.0
20160102181500,635.25,99.1803,68,85.6,100,76.1,80.0,78.0
20160102183000,635.25,99.1803,68,82.4,100,75.6,80.0,78.0
20160102184500,635.25,99.1803,68,81.2,100,75.6,80.0,78.0
