PropertyTimestampInNumber,AirFlowActive,AirFlowNormalized,AirValvePosition,DischargeAirTemp,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
20160103101500,271.2,92.2449,62,47.5,68.3,68.0,59.8
20160103103000,244.8,83.2653,59,46.8,67.5,68.0,59.8
20160103104500,244.8,83.2653,59,47.5,67.7,68.0,59.8
20160103110000,166.2,56.5306,47,47.5,67.2,68.0,59.8
20160103111500,235.8,80.2041,57,47.5,68.4,68.0,59.8
20160103113000,220.8,75.102,56,47.5,67.8,68.0,59.8
20160103114500,215.4,73.2653,54,47.5,67.6,68.0,59.8
20160103120000,199.2,67.7551,52,47.5,68.3,68.0,59.8
20160103121500,199.2,67.7551,51,47.5,67.6,68.0,59.8
20160103123000,199.2,67.7551,51,47.5,67.9,68.0,59.8
20160103124500,184.2,62.6531,49,47.5,68.0,68.0,59.8
20160103130000,202.8,68.9796,52,47.5,68.1,68.0,59.8
20160103131500,199.8,67.9592,51,47.5,68.2,68.0,59.8
20160103133000,225.6,76.7347,55,47.5,67.9,68.0,59.8
20160103134500,279.0,94.898,62,47.5,68.9,68.0,59.8
20160103140000,279.0,94.898,62,46.8,68.5,68.0,59.8
20160103141500,279.0,94.898,62,46.8,68.4,68.0,59.8
20160103143000,271.2,92.2449,62,46.8,67.9,68.0,59.8
20160103144500,282.6,96.1225,62,46.8,68.6,68.0,59.8
20160103150000,282.6,96.1225,62,46.8,67.9,68.0,59.8
20160103151500,279.0,94.898,61,46.8,67.7,68.0,59.8
20160103153000,240.6,81.8367,57,46.8,67.8,68.0,59.8
20160103154500,240.6,81.8367,57,46.8,67.5,68.0,59.8
20160103160000,220.8,75.102,54,46.8,67.6,68.0,59.8
20160103161500,196.2,66.7347,51,46.8,67.9,68.0,59.8
20160103163000,196.2,66.7347,51,46.8,67.7,68.0,59.8
20160103164500,196.2,66.7347,51,46.8,68.0,68.0,59.8
20160103170000,196.2,66.7347,51,46.8,67.9,68.0,59.8
