PropertyTimestampInNumber,AirFlowSetpointMax,AirFlowSetpointMin,AirFlowActive,AirFlowNormalized,AirValvePosition,DischargeAirTemp,HeatOutput,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
20160101000000,820.0,246.0,272.24,33.2,33,52.7,0,70.4,73.2,70.2
20160101001500,820.0,246.0,267.32,32.6,32,52.7,0,70.5,73.2,70.2
20160101003000,820.0,246.0,260.76,31.8,32,52.7,0,70.4,73.2,70.2
20160101004500,820.0,246.0,267.32,32.6,32,52.7,0,70.4,73.2,70.2
20160101010000,820.0,246.0,264.04,32.2,32,52.7,0,70.2,73.2,70.2
20160101011500,820.0,246.0,264.04,32.2,32,52.7,0,70.2,73.2,70.2
20160101013000,820.0,246.0,260.76,31.8,32,51.9,0,70.3,73.2,70.2
20160101014500,820.0,246.0,255.84,31.2,32,51.9,0,70.3,73.2,70.2
20160101020000,820.0,246.0,252.56,30.8,32,51.9,0,70.2,73.2,70.2
20160101021500,820.0,246.0,264.04,32.2,32,51.9,100,69.8,73.2,70.2
20160101023000,820.0,246.0,260.76,31.8,32,51.9,100,70.0,73.2,70.2
20160101024500,820.0,246.0,255.84,31.2,32,51.9,100,69.8,73.2,70.2
20160101030000,820.0,246.0,260.76,31.8,32,51.9,100,70.0,73.2,70.2
20160101031500,820.0,246.0,260.76,31.8,32,51.9,100,70.0,73.2,70.2
20160101033000,820.0,246.0,264.04,32.2,32,53.1,100,69.9,73.2,70.2
20160101034500,820.0,246.0,260.76,31.8,32,55.2,0,70.3,73.2,70.2
20160101040000,820.0,246.0,260.76,31.8,32,51.9,0,70.1,73.2,70.2
20160101041500,820.0,246.0,267.32,32.6,32,51.9,100,69.8,73.2,70.2
20160101043000,820.0,246.0,260.76,31.8,32,51.9,100,69.8,73.2,70.2
20160101044500,820.0,246.0,264.04,32.2,32,51.9,100,69.7,73.2,70.2
20160101050000,820.0,246.0,264.04,32.2,32,51.9,100,69.9,73.2,70.2
20160101051500,820.0,246.0,255.84,31.2,32,51.9,100,69.8,73.2,70.2
20160101053000,820.0,246.0,260.76,31.8,32,53.5,100,70.0,73.2,70.2
20160101054500,820.0,246.0,260.76,31.8,32,56.4,100,70.3,73.2,70.2
20160101060000,820.0,246.0,264.04,32.2,32,51.5,100,69.8,73.2,70.2
20160101061500,820.0,246.0,264.04,32.2,32,51.5,100,69.8,73.2,70.2
20160101063000,820.0,246.0,264.04,32.2,32,51.5,100,69.8,73.2,70.2
20160101064500,820.0,246.0,264.04,32.2,32,51.5,100,69.8,73.2,70.2
20160101070000,820.0,246.0,267.32,32.6,32,51.5,100,70.0,73.2,70.2
20160101071500,820.0,246.0,264.04,32.2,32,55.9,100,70.0,73.2,70.2
20160101073000,820.0,246.0,255.84,31.2,32,54.7,0,70.2,73.2,70.2
20160101074500,820.0,246.0,260.76,31.8,32,52.3,0,70.2,73.2,70.2
20160101080000,820.0,246.0,264.04,32.2,32,51.1,100,69.8,73.2,70.2
20160101081500,820.0,246.0,252.56,30.8,32,51.8,100,69.9,73.2,70.2
20160101083000,820.0,246.0,264.04,32.2,32,51.1,100,69.7,73.2,70.2
20160101084500,820.0,246.0,255.84,31.2,32,55.5,100,69.9,73.2,70.2
20160101090000,820.0,246.0,272.24,33.2,32,57.4,0,70.4,73.2,70.2
20160101091500,820.0,246.0,264.04,32.2,32,51.9,100,69.9,73.2,70.2
