PropertyTimestampInNumber,AirFlowActive,AirFlowNormalized,AirValvePosition,DischargeAirTemp,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
20160101000000,54.0,19.5652,27,57.5,67.8,68.0,56.5
20160101001500,54.0,19.5652,27,57.5,67.8,68.0,56.8
20160101003000,54.0,19.5652,26,57.5,67.8,68.0,56.6
20160101004500,54.0,19.5652,27,57.5,67.8,68.0,56.8
20160101010000,0.0,0.0,17,58.7,67.8,68.0,56.7
20160101011500,54.0,19.5652,27,57.5,67.8,68.0,56.6
20160101013000,0.0,0.0,9,57.5,67.7,68.0,56.7
20160101014500,54.0,19.5652,27,57.5,67.8,68.0,56.7
20160101020000,30.6,11.087,9,58.3,67.7,68.0,56.8
20160101021500,51.6,18.6957,27,57.5,67.8,68.0,56.7
20160101023000,0.0,0.0,9,57.5,67.7,68.0,56.7
20160101024500,51.6,18.6957,26,57.5,67.8,68.0,56.5
20160101030000,0.0,0.0,9,57.5,67.7,68.0,56.8
20160101031500,0.0,0.0,9,60.3,67.8,68.0,56.8
20160101033000,0.0,0.0,9,61.1,67.8,68.0,56.9
20160101034500,0.0,0.0,9,61.1,67.8,68.0,56.9
20160101040000,0.0,0.0,9,61.1,67.8,68.0,56.9
20160101041500,0.0,0.0,9,61.1,67.8,68.0,56.9
20160101043000,0.0,0.0,9,61.1,67.8,68.0,56.8
20160101044500,0.0,0.0,9,61.1,67.8,68.0,56.9
20160101050000,0.0,0.0,9,61.1,67.8,68.0,56.9
20160101051500,0.0,0.0,9,61.1,67.8,68.0,56.8
20160101053000,30.6,11.087,9,61.1,67.8,68.0,56.8
20160101054500,0.0,0.0,9,61.1,67.8,68.0,56.9
20160101060000,0.0,0.0,9,61.1,67.8,68.0,56.9
20160101061500,0.0,0.0,9,61.9,67.8,68.0,56.9
20160101063000,0.0,0.0,9,61.9,67.8,68.0,56.9
20160101064500,0.0,0.0,9,61.9,67.8,68.0,56.8
20160101070000,0.0,0.0,9,61.9,67.8,68.0,56.9
20160101071500,0.0,0.0,9,61.9,67.8,68.0,56.9
20160101073000,0.0,0.0,9,61.9,67.8,68.0,56.9
20160101074500,0.0,0.0,9,61.9,67.8,68.0,57.0
20160101080000,0.0,0.0,9,61.9,67.8,68.0,56.9
20160101081500,0.0,0.0,9,61.9,67.8,68.0,57.0
20160101083000,30.6,11.087,9,61.9,67.8,68.0,57.0
20160101084500,0.0,0.0,8,61.9,67.7,68.0,57.0
20160101090000,0.0,0.0,7,61.9,67.7,68.0,56.9
20160101091500,0.0,0.0,6,61.9,67.7,68.0,57.0
