PropertyTimestampInNumber,AirFlowSetpointMax,AirFlowSetpointMin,AirFlowActive,AirFlowNormalized,AirValvePosition,DischargeAirTemp,HeatOutput,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
20160101000000,754.4,754.4,751.12,99.5652,66,91.2,100,71.3,76.9,74.9
20160101001500,754.4,754.4,760.96,100.8696,66,91.2,100,71.3,76.9,74.9
20160101003000,754.4,754.4,751.12,99.5652,66,92.4,100,71.4,76.9,74.9
20160101004500,754.4,754.4,751.12,99.5652,66,90.4,100,71.3,76.9,74.9
20160101010000,754.4,754.4,760.96,100.8696,66,90.4,100,71.4,76.9,74.9
20160101011500,754.4,754.4,738.0,97.8261,66,86.0,100,71.5,76.9,74.9
20160101013000,754.4,754.4,760.96,100.8696,65,82.8,100,71.6,76.9,74.9
20160101014500,754.4,754.4,751.12,99.5652,65,91.3,100,71.6,76.9,74.9
20160101020000,754.4,754.4,751.12,99.5652,66,87.9,100,71.6,76.9,74.9
20160101021500,754.4,754.4,772.44,102.3913,66,82.6,100,71.6,76.9,74.9
20160101023000,754.4,754.4,772.44,102.3913,66,91.7,100,71.5,76.9,74.9
20160101024500,754.4,754.4,738.0,97.8261,65,89.2,100,71.4,76.9,74.9
20160101030000,754.4,754.4,760.96,100.8696,65,80.7,100,71.4,76.9,74.9
20160101031500,754.4,754.4,751.12,99.5652,65,90.4,100,71.4,76.9,74.9
20160101033000,754.4,754.4,760.96,100.8696,66,90.4,100,71.5,76.9,74.9
20160101034500,754.4,754.4,738.0,97.8261,65,90.4,100,71.3,76.9,74.9
20160101040000,754.4,754.4,772.44,102.3913,66,84.6,100,71.3,76.9,74.9
20160101041500,754.4,754.4,760.96,100.8696,66,88.6,100,71.3,76.9,74.9
20160101043000,754.4,754.4,760.96,100.8696,66,91.1,100,71.3,76.9,74.9
20160101044500,754.4,754.4,760.96,100.8696,66,92.4,100,71.3,76.9,74.9
20160101050000,754.4,754.4,772.44,102.3913,66,81.2,100,71.2,76.9,74.9
20160101051500,754.4,754.4,738.0,97.8261,66,88.5,100,71.2,76.9,74.9
20160101053000,754.4,754.4,772.44,102.3913,66,90.5,100,71.1,76.9,74.9
20160101054500,754.4,754.4,738.0,97.8261,65,92.3,100,71.1,76.9,74.9
20160101060000,754.4,754.4,760.96,100.8696,66,89.8,100,71.0,76.9,74.9
20160101061500,754.4,754.4,772.44,102.3913,66,91.7,100,71.0,76.9,74.9
20160101063000,754.4,754.4,760.96,100.8696,66,91.7,100,70.9,76.9,74.9
20160101064500,754.4,754.4,772.44,102.3913,66,90.0,100,70.9,76.9,74.9
20160101070000,754.4,754.4,751.12,99.5652,65,81.2,100,70.9,76.9,74.9
20160101071500,754.4,754.4,760.96,100.8696,66,80.2,100,70.9,76.9,74.9
20160101073000,754.4,754.4,772.44,102.3913,66,83.9,100,70.8,76.9,74.9
20160101074500,754.4,754.4,738.0,97.8261,65,88.0,100,70.8,76.9,74.9
20160101080000,754.4,754.4,760.96,100.8696,65,91.1,100,70.8,76.9,74.9
20160101081500,754.4,754.4,772.44,102.3913,66,88.6,100,70.8,76.9,74.9
20160101083000,754.4,754.4,738.0,97.8261,65,91.7,100,70.8,76.9,74.9
20160101084500,754.4,754.4,760.96,100.8696,65,91.7,100,70.8,76.9,74.9
20160101090000,754.4,754.4,760.96,100.8696,65,91.7,100,70.8,76.9,74.9
20160101091500,754.4,754.4,772.44,102.3913,66,91.7,100,70.8,76.9,74.9
20160101093000,754.4,754.4,751.12,99.5652,66,90.6,100,70.8,76.9,74.9
20160101094500,754.4,754.4,726.52,96.3043,65,80.7,100,70.8,76.9,74.9
20160101100000,754.4,754.4,751.12,99.5652,66,81.9,100,70.8,76.9,74.9
20160101101500,754.4,754.4,751.12,99.5652,66,80.7,100,70.8,76.9,74.9
20160101103000,754.4,754.4,760.96,100.8696,67,80.7,100,70.8,76.9,74.9
20160101104500,754.4,754.4,738.0,97.8261,66,85.1,100,70.8,76.9,74.9
20160101110000,754.4,754.4,772.44,102.3913,66,89.8,100,70.8,76.9,74.9
20160101111500,754.4,754.4,738.0,97.8261,66,91.0,100,70.8,76.9,74.9
20160101113000,754.4,754.4,760.96,100.8696,66,89.9,100,70.8,76.9,74.9
