PropertyTimestampInNumber,AirFlowSetpointMin,AirFlowActive,AirFlowNormalized,AirValvePosition,DischargeAirTemp,HeatOutput,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
20160101000000,262.5,273.0,60.4651,41,54.7,100,64.8,72.3,69.3
20160101001500,262.5,276.15,61.1628,41,54.7,100,64.7,72.3,69.3
20160101003000,262.5,276.15,61.1628,41,54.7,100,64.8,72.3,69.3
20160101004500,262.5,276.15,61.1628,41,54.7,100,64.8,72.3,69.3
20160101010000,262.5,276.15,61.1628,41,54.7,100,64.9,72.3,69.3
20160101011500,262.5,273.0,60.4651,41,54.7,100,65.0,81.2,76.0
20160101013000,262.5,268.8,59.5349,41,54.7,100,65.0,81.2,76.0
20160101014500,262.5,271.95,60.2326,41,54.7,100,65.0,81.2,76.0
20160101020000,262.5,267.75,59.3023,41,54.7,100,65.1,81.2,76.0
20160101021500,262.5,271.95,60.2326,41,54.7,100,65.1,81.2,76.0
20160101023000,262.5,268.8,59.5349,41,54.7,100,65.1,81.2,76.0
20160101024500,262.5,268.8,59.5349,41,54.7,100,65.1,81.2,76.0
20160101030000,262.5,268.8,59.5349,41,54.7,100,65.1,81.2,76.0
20160101031500,262.5,271.95,60.2326,41,54.7,100,65.2,81.2,76.0
20160101033000,262.5,276.15,61.1628,41,54.7,100,65.2,81.2,76.0
20160101034500,262.5,273.0,60.4651,41,53.9,100,65.1,81.2,76.0
20160101040000,262.5,273.0,60.4651,41,53.9,100,65.1,81.2,76.0
20160101041500,262.5,267.75,59.3023,41,55.1,100,65.0,81.2,76.0
20160101043000,262.5,277.2,61.3954,41,54.3,100,65.1,81.2,76.0
20160101044500,262.5,273.0,60.4651,41,54.3,100,65.2,81.2,76.0
20160101050000,262.5,273.0,60.4651,41,54.3,100,65.3,81.2,76.0
20160101051500,262.5,276.15,61.1628,41,55.1,100,65.2,81.2,76.0
20160101053000,262.5,271.95,60.2326,41,55.1,100,65.3,81.2,76.0
20160101054500,262.5,271.95,60.2326,41,55.1,100,65.4,81.2,76.0
20160101060000,262.5,275.1,60.9302,41,55.1,100,65.4,81.2,76.0
20160101061500,262.5,268.8,59.5349,41,55.1,100,65.5,81.2,76.0
20160101063000,262.5,275.1,60.9302,41,55.1,100,65.5,81.2,76.0
20160101064500,262.5,275.1,60.9302,41,55.1,100,65.6,81.2,76.0
20160101070000,262.5,271.95,60.2326,41,54.3,100,65.6,81.2,76.0
20160101071500,262.5,271.95,60.2326,41,54.3,100,65.7,81.2,76.0
20160101073000,262.5,271.95,60.2326,41,55.5,100,65.7,81.1,76.0
20160101074500,262.5,271.95,60.2326,41,55.5,100,65.8,81.2,76.0
20160101080000,262.5,271.95,60.2326,41,55.5,100,65.8,81.2,76.0
20160101081500,262.5,271.95,60.2326,41,55.5,100,65.8,81.2,76.0
20160101083000,262.5,271.95,60.2326,41,55.5,100,65.9,81.2,76.0
20160101084500,262.5,275.1,60.9302,41,54.5,100,65.9,81.2,76.0
20160101090000,262.5,275.1,60.9302,41,55.1,100,66.0,81.2,76.0
20160101091500,262.5,275.1,60.9302,41,55.1,100,66.1,81.2,76.0
20160101093000,262.5,275.1,60.9302,41,55.1,100,66.1,81.2,76.0
20160101094500,262.5,275.1,60.9302,41,55.1,100,66.0,81.2,76.0
20160101100000,262.5,275.1,60.9302,41,55.1,100,66.1,81.2,76.0
20160101101500,262.5,275.1,60.9302,41,55.1,100,66.2,81.2,76.0
20160101103000,262.5,275.1,60.9302,41,55.1,100,66.6,82.0,76.0
20160101104500,262.5,275.1,60.9302,41,55.1,100,66.6,82.0,76.0
20160101110000,262.5,275.1,60.9302,41,55.1,100,66.7,82.0,76.0
20160101111500,262.5,275.1,60.9302,41,55.1,100,66.7,82.0,76.0
20160101113000,262.5,275.1,60.9302,41,55.1,100,66.8,82.0,76.0
20160101114500,262.5,275.1,60.9302,41,55.1,100,66.8,82.0,76.0
20160101120000,262.5,275.1,60.9302,41,55.1,100,67.0,82.0,76.0
20160101121500,262.5,250.95,55.5814,40,54.5,100,66.8,82.0,76.0
20160101123000,262.5,245.7,54.4186,40,54.5,100,66.7,82.0,76.0
20160101124500,262.5,245.7,54.4186,40,54.5,100,66.7,82.0,76.0
20160101130000,262.5,249.9,55.3488,40,54.5,100,66.8,82.0,76.0
20160101131500,262.5,249.9,55.3488,40,54.5,100,66.8,82.0,76.0
20160101133000,262.5,246.75,54.6512,40,55.1,100,66.7,82.0,76.0
20160101134500,262.5,246.75,54.6512,40,54.3,100,66.9,82.0,76.0
20160101140000,262.5,249.9,55.3488,40,54.3,100,67.1,82.0,76.0
20160101141500,262.5,249.9,55.3488,40,55.1,100,67.2,82.0,76.0
20160101143000,262.5,249.9,55.3488,40,55.1,100,67.1,82.0,76.0
20160101144500,262.5,249.9,55.3488,40,55.1,100,67.2,82.0,76.0
20160101150000,262.5,253.05,56.0465,40,55.1,100,67.2,82.0,76.0
20160101151500,262.5,249.9,55.3488,40,55.1,100,67.2,82.0,76.0
20160101153000,262.5,246.75,54.6512,40,55.1,100,67.2,82.0,76.0
20160101154500,262.5,246.75,54.6512,40,55.1,100,67.2,82.0,76.0
20160101160000,262.5,249.9,55.3488,40,55.1,100,67.2,82.0,76.0
20160101161500,262.5,246.75,54.6512,40,55.1,100,67.2,82.0,76.0
20160101163000,262.5,246.75,54.6512,40,55.1,100,67.2,82.0,76.0
20160101164500,262.5,249.9,55.3488,40,55.1,100,67.1,82.0,76.0
20160101170000,262.5,246.75,54.6512,40,55.1,100,67.1,82.0,76.0
20160101171500,262.5,243.6,53.9535,40,55.1,100,67.2,82.0,76.0
20160101173000,262.5,246.75,54.6512,40,55.1,100,67.2,82.0,76.0
20160101174500,262.5,246.75,54.6512,40,55.1,100,67.1,82.0,76.0
20160101180000,262.5,246.75,54.6512,40,55.1,100,67.2,82.0,76.0
20160101181500,262.5,250.95,55.5814,40,55.1,100,67.2,82.0,76.0
20160101183000,262.5,250.95,55.5814,40,55.1,100,67.3,82.0,76.0
20160101184500,262.5,250.95,55.5814,40,55.1,100,67.1,82.0,76.0
20160101190000,262.5,246.75,54.6512,40,54.4,100,67.2,82.0,76.0
20160101191500,262.5,249.9,55.3488,40,55.0,100,67.1,82.0,76.0
20160101193000,262.5,249.9,55.3488,40,55.0,100,67.1,82.0,76.0
20160101194500,262.5,246.75,54.6512,40,55.0,100,66.4,81.9,76.0
20160101200000,262.5,246.75,54.6512,40,55.0,100,65.8,81.9,76.0
20160101201500,262.5,249.9,55.3488,40,55.0,100,65.7,81.9,76.0
20160101203000,262.5,246.75,54.6512,40,55.0,100,65.5,81.9,76.0
20160101204500,262.5,246.75,54.6512,40,55.0,100,65.3,81.9,76.0
20160101210000,262.5,253.05,56.0465,40,53.9,100,65.4,81.9,76.0
20160101211500,262.5,253.05,56.0465,40,54.7,100,65.1,81.9,76.0
20160101213000,262.5,253.05,56.0465,40,54.7,100,65.1,81.9,76.0
20160101214500,262.5,253.05,56.0465,40,54.7,100,65.5,81.9,76.0
20160101220000,262.5,249.9,55.3488,40,54.7,100,65.6,81.9,76.0
20160101221500,262.5,249.9,55.3488,40,54.7,100,65.7,81.9,76.0
20160101223000,262.5,249.9,55.3488,40,54.7,100,65.8,81.9,76.0
20160101224500,262.5,249.9,55.3488,40,54.7,100,66.0,81.9,76.0
20160101230000,262.5,249.9,55.3488,40,54.7,100,66.0,81.9,76.0
20160101231500,262.5,246.75,54.6512,40,54.7,100,66.1,81.9,76.0
20160101233000,262.5,249.9,55.3488,40,54.7,100,66.1,81.9,76.0
20160101234500,262.5,245.7,54.4186,40,54.7,100,66.4,81.9,76.0
20160102000000,262.5,245.7,54.4186,40,54.7,100,66.3,81.9,76.0
20160102001500,262.5,250.95,55.5814,40,54.7,100,66.4,81.9,76.0
20160102003000,262.5,245.7,54.4186,40,54.7,100,66.4,81.9,76.0
20160102004500,262.5,249.9,55.3488,40,54.7,100,66.3,81.9,76.0
20160102010000,262.5,249.9,55.3488,40,54.7,100,66.4,81.9,76.0
20160102011500,262.5,249.9,55.3488,41,54.7,100,66.6,81.9,76.0
20160102013000,262.5,249.9,55.3488,41,54.7,100,66.6,81.9,76.0
20160102014500,262.5,249.9,55.3488,41,54.7,100,66.6,81.9,76.0
20160102020000,262.5,246.75,54.6512,41,54.7,100,66.7,81.9,76.0
20160102021500,262.5,246.75,54.6512,41,54.7,100,66.7,81.9,76.0
20160102023000,262.5,246.75,54.6512,41,55.5,100,66.7,81.9,76.0
20160102024500,262.5,246.75,54.6512,41,55.5,100,66.6,81.9,76.0
20160102030000,262.5,246.75,54.6512,41,55.5,100,66.7,81.9,76.0
20160102031500,262.5,243.6,53.9535,41,55.5,100,66.6,81.9,76.0
20160102033000,262.5,243.6,53.9535,41,55.5,100,66.7,81.9,76.0
20160102034500,262.5,250.95,55.5814,41,54.7,100,66.7,81.9,76.0
20160102040000,262.5,254.1,56.2791,42,55.9,100,66.7,81.9,76.0
20160102041500,262.5,266.7,59.0698,42,55.9,100,66.3,81.9,76.0
20160102043000,262.5,275.1,60.9302,42,55.0,100,66.2,81.9,76.0
20160102044500,262.5,275.1,60.9302,42,55.0,100,66.1,81.9,76.0
20160102050000,262.5,279.3,61.8605,42,55.0,100,66.1,81.9,76.0
20160102051500,262.5,271.95,60.2326,42,55.0,100,66.0,81.9,76.0
20160102053000,262.5,276.15,61.1628,42,55.0,100,66.0,81.9,76.0
20160102054500,262.5,276.15,61.1628,42,55.0,100,65.8,81.9,76.0
20160102060000,262.5,273.0,60.4651,41,54.3,100,65.8,81.9,76.0
20160102061500,262.5,273.0,60.4651,41,54.3,100,65.7,81.9,76.0
20160102063000,262.5,268.8,59.5349,41,55.1,100,65.5,81.9,76.0
20160102064500,262.5,268.8,59.5349,41,55.1,100,65.5,81.9,76.0
20160102070000,262.5,276.15,61.1628,41,55.1,100,65.6,81.9,76.0
20160102071500,262.5,271.95,60.2326,41,55.1,100,65.5,81.9,76.0
