PropertyTimestampInNumber,AirFlowSetpointMax,AirFlowActive,AirFlowNormalized,AirValvePosition,DischargeAirTemp,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
20160101000000,885.6,882.32,99.6296,65,54.7,66.7,65.0,60.0
20160101001500,885.6,882.32,99.6296,65,54.7,66.7,65.0,60.0
20160101003000,885.6,882.32,99.6296,65,54.7,66.7,65.0,60.0
20160101004500,885.6,882.32,99.6296,65,53.9,66.7,65.0,60.0
20160101010000,885.6,882.32,99.6296,65,53.9,66.7,65.0,60.0
20160101011500,885.6,882.32,99.6296,65,54.7,66.8,65.0,60.0
20160101013000,885.6,882.32,99.6296,65,54.7,66.8,65.0,60.0
20160101014500,885.6,882.32,99.6296,65,53.9,66.7,65.0,60.0
20160101020000,885.6,882.32,99.6296,65,53.9,66.6,65.0,60.0
20160101021500,885.6,882.32,99.6296,65,53.9,66.5,65.0,60.0
20160101023000,885.6,893.8,100.9259,65,54.7,66.4,65.0,60.0
20160101024500,885.6,882.32,99.6296,65,54.7,66.3,65.0,60.0
20160101030000,885.6,882.32,99.6296,65,54.7,66.2,65.0,60.0
20160101031500,885.6,893.8,100.9259,65,53.9,66.1,65.0,60.0
20160101033000,885.6,882.32,99.6296,65,53.9,66.1,65.0,60.0
20160101034500,885.6,882.32,99.6296,65,53.9,65.8,65.0,60.0
20160101040000,885.6,882.32,99.6296,65,54.7,65.7,65.0,60.0
20160101041500,885.6,882.32,99.6296,65,53.5,65.6,65.0,60.0
20160101043000,885.6,882.32,99.6296,65,53.5,65.6,65.0,60.0
20160101044500,885.6,882.32,99.6296,65,54.7,65.5,65.0,60.0
20160101050000,885.6,882.32,99.6296,65,53.1,65.5,65.0,60.0
20160101051500,885.6,882.32,99.6296,65,54.7,65.4,65.0,60.0
20160101053000,885.6,882.32,99.6296,65,53.5,65.3,65.0,60.0
20160101054500,885.6,882.32,99.6296,65,53.5,65.3,65.0,60.0
20160101060000,885.6,882.32,99.6296,65,54.3,65.2,65.0,60.0
20160101061500,885.6,882.32,99.6296,65,54.3,65.2,65.0,60.0
20160101063000,885.6,882.32,99.6296,65,54.3,65.1,65.0,60.0
20160101064500,885.6,882.32,99.6296,65,54.3,65.2,65.0,60.0
20160101070000,885.6,882.32,99.6296,65,53.1,65.2,65.0,60.0
20160101071500,885.6,882.32,99.6296,65,53.1,65.2,65.0,60.0
20160101073000,885.6,882.32,99.6296,65,53.9,65.1,65.0,60.0
20160101074500,885.6,882.32,99.6296,65,53.9,65.1,65.0,60.0
20160101080000,885.6,882.32,99.6296,65,54.7,65.1,65.0,60.0
20160101081500,885.6,882.32,99.6296,65,53.1,65.0,65.0,60.0
20160101083000,885.6,882.32,99.6296,65,54.7,65.0,65.0,60.0
20160101084500,885.6,893.8,100.9259,65,53.9,65.0,65.0,60.0
20160101090000,885.6,882.32,99.6296,65,54.7,65.0,65.0,60.0
20160101091500,885.6,882.32,99.6296,65,54.7,65.0,65.0,60.0
20160101093000,885.6,882.32,99.6296,65,54.1,65.1,65.0,60.0
20160101094500,885.6,882.32,99.6296,65,53.5,65.1,65.0,60.0
20160101100000,885.6,882.32,99.6296,65,54.3,65.1,65.0,60.0
20160101101500,885.6,872.48,98.5185,65,54.3,65.2,65.0,60.0
20160101103000,885.6,882.32,99.6296,65,53.5,65.2,65.0,60.0
20160101104500,885.6,882.32,99.6296,65,54.3,65.3,65.0,60.0
20160101110000,885.6,882.32,99.6296,65,54.3,65.3,65.0,60.0
20160101111500,885.6,882.32,99.6296,65,54.3,65.4,65.0,60.0
20160101113000,885.6,882.32,99.6296,65,54.3,65.3,65.0,60.0
20160101114500,885.6,882.32,99.6296,65,54.3,65.3,65.0,60.0
20160101120000,885.6,882.32,99.6296,65,53.5,65.4,65.0,60.0
20160101121500,885.6,861.0,97.2222,55,54.7,65.3,65.0,60.0
20160101123000,885.6,861.0,97.2222,55,53.9,65.4,65.0,60.0
20160101124500,885.6,861.0,97.2222,56,55.1,65.4,65.0,60.0
20160101130000,885.6,861.0,97.2222,56,53.9,65.5,65.0,60.0
20160101131500,885.6,861.0,97.2222,56,53.9,65.5,65.0,60.0
20160101133000,885.6,861.0,97.2222,56,54.7,65.5,65.0,60.0
20160101134500,885.6,861.0,97.2222,56,53.5,65.6,65.0,60.0
20160101140000,885.6,861.0,97.2222,56,53.5,65.6,65.0,60.0
20160101141500,885.6,872.48,98.5185,56,54.7,65.6,65.0,60.0
20160101143000,885.6,861.0,97.2222,56,54.7,65.6,65.0,60.0
20160101144500,885.6,872.48,98.5185,56,53.5,65.7,65.0,60.0
20160101150000,885.6,872.48,98.5185,56,54.7,65.8,65.0,60.0
20160101151500,885.6,861.0,97.2222,56,53.9,65.8,65.0,60.0
20160101153000,885.6,872.48,98.5185,56,53.3,65.8,65.0,60.0
20160101154500,885.6,872.48,98.5185,56,53.3,65.9,65.0,60.0
20160101160000,885.6,872.48,98.5185,56,54.4,65.8,65.0,60.0
20160101161500,885.6,872.48,98.5185,56,55.0,65.8,65.0,60.0
20160101163000,885.6,861.0,97.2222,56,55.0,65.7,65.0,60.0
20160101164500,885.6,872.48,98.5185,56,53.8,65.7,65.0,60.0
20160101170000,885.6,872.48,98.5185,56,53.1,65.6,65.0,60.0
20160101171500,885.6,861.0,97.2222,56,53.1,65.6,65.0,60.0
20160101173000,885.6,872.48,98.5185,56,53.1,65.6,65.0,60.0
20160101174500,885.6,872.48,98.5185,56,53.1,65.5,65.0,60.0
20160101180000,885.6,861.0,97.2222,56,53.1,65.3,65.0,60.0
20160101181500,885.6,861.0,97.2222,56,53.1,65.3,65.0,60.0
20160101183000,885.6,861.0,97.2222,56,53.1,65.3,65.0,60.0
20160101184500,885.6,872.48,98.5185,56,53.9,65.2,65.0,60.0
20160101190000,885.6,872.48,98.5185,56,53.9,65.2,65.0,60.0
20160101191500,885.6,872.48,98.5185,56,53.9,65.1,65.0,60.0
20160101193000,885.6,872.48,98.5185,56,55.1,65.0,65.0,60.0
20160101194500,885.6,872.48,98.5185,56,55.1,65.0,65.0,60.0
20160101200000,885.6,872.48,98.5185,56,55.1,65.0,65.0,60.0
20160101201500,885.6,882.32,99.6296,56,55.1,64.9,65.0,60.0
20160101203000,885.6,882.32,99.6296,56,55.1,64.8,65.0,60.0
20160101204500,885.6,872.48,98.5185,56,54.0,64.7,65.0,60.0
20160101210000,885.6,872.48,98.5185,56,54.7,64.7,65.0,60.0
20160101211500,885.6,849.52,95.9259,55,54.7,64.7,65.0,60.0
20160101213000,885.6,849.52,95.9259,55,54.7,64.8,65.0,60.0
20160101214500,885.6,839.68,94.8148,55,53.1,64.7,65.0,60.0
20160101220000,885.6,839.68,94.8148,55,53.1,64.7,65.0,60.0
20160101221500,885.6,816.72,92.2222,54,53.1,64.8,65.0,60.0
20160101223000,885.6,816.72,92.2222,54,53.1,64.7,65.0,60.0
20160101224500,885.6,792.12,89.4444,52,53.1,64.7,65.0,60.0
20160101230000,885.6,769.16,86.8519,51,53.1,64.7,65.0,60.0
20160101231500,885.6,769.16,86.8519,51,53.1,64.7,65.0,60.0
20160101233000,885.6,769.16,86.8519,51,54.0,64.7,65.0,60.0
20160101234500,885.6,757.68,85.5556,51,55.5,64.8,65.0,60.0
