PropertyTimestampInNumber,AirFlowSetpointMin,AirFlowActive,AirFlowNormalized,AirValvePosition,DischargeAirTemp,HeatOutput,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
20160101000000,180.0,185.4,61.8,40,100.8,100,70.0,73.9,70.9
20160101001500,180.0,182.4,60.8,40,98.5,100,70.6,73.9,70.9
20160101003000,180.0,185.4,61.8,40,105.1,100,71.0,73.9,70.9
20160101004500,180.0,185.4,61.8,40,62.4,0,70.9,73.9,70.9
20160101010000,180.0,181.8,60.6,40,63.6,100,70.1,73.9,70.9
20160101011500,180.0,181.8,60.6,40,93.0,100,70.1,73.9,70.9
20160101013000,180.0,184.2,61.4,40,103.5,100,70.6,73.9,70.9
20160101014500,180.0,181.2,60.4,40,93.5,100,71.0,73.9,70.9
20160101020000,180.0,183.6,61.2,40,65.9,0,71.0,73.9,70.9
20160101021500,180.0,186.0,62.0,40,63.2,100,70.2,73.9,70.9
20160101023000,180.0,186.0,62.0,40,101.3,100,70.0,73.9,70.9
20160101024500,180.0,183.6,61.2,40,97.5,100,70.6,73.9,70.9
20160101030000,180.0,183.6,61.2,40,104.6,100,71.0,73.9,70.9
20160101031500,180.0,183.6,61.2,40,64.6,0,71.0,73.9,70.9
20160101033000,180.0,183.6,61.2,40,63.6,100,70.1,73.9,70.9
20160101034500,180.0,183.6,61.2,40,101.8,100,70.0,73.9,70.9
20160101040000,180.0,183.6,61.2,40,107.5,100,70.6,73.9,70.9
20160101041500,180.0,183.6,61.2,40,96.0,100,71.0,73.9,70.9
20160101043000,180.0,183.6,61.2,40,64.9,0,71.0,73.9,70.9
20160101044500,180.0,186.0,62.0,40,62.8,100,70.2,73.9,70.9
20160101050000,180.0,183.6,61.2,40,105.3,100,70.0,73.9,70.9
20160101051500,180.0,183.6,61.2,40,96.0,100,70.6,73.9,70.9
20160101053000,180.0,183.6,61.2,40,106.0,100,71.0,73.9,70.9
20160101054500,180.0,186.6,62.2,40,62.8,0,70.9,73.9,70.9
20160101060000,180.0,183.6,61.2,40,62.8,100,70.0,73.9,70.9
20160101061500,180.0,183.6,61.2,40,106.8,100,70.1,73.9,70.9
20160101063000,180.0,183.6,61.2,40,111.7,100,70.7,73.9,70.9
20160101064500,180.0,183.6,61.2,40,111.7,100,71.2,73.9,70.9
20160101070000,180.0,183.6,61.2,40,63.2,0,70.7,73.9,70.9
20160101071500,180.0,183.6,61.2,40,65.1,100,69.9,73.9,70.9
20160101073000,180.0,179.4,59.8,40,96.7,100,70.3,73.6,70.6
20160101074500,180.0,179.4,59.8,40,102.3,100,70.7,74.3,71.3
20160101080000,180.0,181.8,60.6,39,110.4,100,71.3,74.3,71.3
