84,107,37340365,126813820,96,2,Move,Move,20120622204941FRI
85,108,37340477,126813980,63,2,Move,Move,20120622205721FRI
86,109,37340501,126814019,68,2,Move,Move,20120622210503FRI
87,110,37340703,126814298,93,2,Move,Move,20120622211244FRI
88,111,37340250,126813641,124,2,Move,Move,20120622212025FRI
89,112,37340518,126814041,69,2,Move,Move,20120622212807FRI
90,113,37340782,126814399,109,2,Move,Move,20120622213548FRI
91,114,37340618,126814175,85,2,Move,Move,20120622214329FRI
92,115,37340607,126814151,85,2,Move,Move,20120622215111FRI
93,116,37340191,126813571,93,2,Move,Move,20120622215852FRI
94,117,37340167,126813531,127,2,Move,Move,20120622220634FRI
95,118,37340431,126813926,77,2,Move,Move,20120622221416FRI
96,119,37339775,126814330,40,2,Move,Move,20120622222056FRI
97,120,37336703,126811210,30,2,Move,Move,20120622223055FRI
98,123,37334112,126818227,63,1,강서고등학교,College & Education,20120622225041FRI,20120622230834FRI
99,124,37322509,126819579,45,2,Move,Move,20120622231945FRI
100,125,37315648,126838724,1908,2,Move,Move,20120622232631FRI
101,126,37302147,126839841,49,2,Move,Move,20120622233336FRI
102,871,37302681,126841085,1,1,집,Nightlife,20120623001931SAT,20120623084601SAT
103,129,37303168,126839384,1743,2,Move,Move,20120623091055SAT
104,130,37303168,126839384,1743,2,Move,Move,20120623091835SAT
105,131,37303168,126839384,1743,2,Move,Move,20120623092616SAT
106,132,37303168,126839384,1743,2,Move,Move,20120623093357SAT
107,133,37303168,126839384,1743,2,Move,Move,20120623094138SAT
108,134,37303168,126839384,1743,2,Move,Move,20120623094919SAT
109,135,37303168,126839384,1743,2,Move,Move,20120623095659SAT
110,136,37303168,126839384,1743,2,Move,Move,20120623100440SAT
111,137,37303168,126839384,1743,2,Move,Move,20120623101221SAT
112,138,37303168,126839384,1743,2,Move,Move,20120623102752SAT
113,871,37302681,126841085,1,1,집,Nightlife,20120623110253SAT,20120623115404SAT
114,142,37319111,126844768,1,1,과외네1,Unknown,20120623121318SAT,20120623141238SAT
115,909,37300631,126838341,1,1,파리바게트 에리카점,Food,20120623142445SAT,20120623232739SAT
116,871,37302681,126841085,1,1,집,Nightlife,20120623234032SAT,20120624125944SUN
117,146,37297195,126848583,117,2,Move,Move,20120624131102SUN
118,507,37296474,126848931,20,1,과외네3,Unknown,20120624131800SUN,20120624143301SUN
119,150,37302760,126841337,43,2,Move,Move,20120624145239SUN
120,909,37300631,126838341,1,1,파리바게트 에리카점,Food,20120624150138SUN,20120624232216SUN
121,871,37302681,126841085,1,1,집,Nightlife,20120624233628SUN,20120624235438SUN
122,871,37302681,126841085,1,1,집,Nightlife,20120624235900SUN,20120625130338MON
123,155,37303338,126839105,1718,2,Move,Move,20120625131534MON
124,156,37303338,126839105,1718,2,Move,Move,20120625132339MON
125,157,37303338,126839105,1718,2,Move,Move,20120625133144MON
126,158,37303338,126839105,1718,2,Move,Move,20120625133948MON
127,159,37303338,126839105,1718,2,Move,Move,20120625135353MON
128,160,37303338,126839105,1718,2,Move,Move,20120625140158MON
129,161,37303338,126839105,1718,2,Move,Move,20120625141002MON
130,162,37303338,126839105,1718,2,Move,Move,20120625141757MON
131,163,37303338,126839105,1718,2,Move,Move,20120625142952MON
132,164,37303338,126839105,1718,2,Move,Move,20120625143957MON
133,165,37303338,126839105,1718,2,Move,Move,20120625150330MON
134,166,37303338,126839105,1718,2,Move,Move,20120625151135MON
135,167,37303338,126839105,1718,2,Move,Move,20120625153819MON
136,168,37303338,126839105,1718,2,Move,Move,20120625154624MON
137,169,37303338,126839105,1718,2,Move,Move,20120625155424MON
138,170,37303338,126839105,1718,2,Move,Move,20120625160228MON
139,171,37303338,126839105,1718,2,Move,Move,20120625161033MON
140,172,37303338,126839105,1718,2,Move,Move,20120625162038MON
141,173,37303338,126839105,1718,2,Move,Move,20120625162843MON
142,174,37303338,126839105,1718,2,Move,Move,20120625163848MON
143,175,37302163,126841998,1899,2,Move,Move,20120625164653MON
144,176,37302751,126840552,1718,2,Move,Move,20120625165457MON
145,177,37302079,126841958,1961,2,Move,Move,20120625170302MON
146,178,37303168,126839384,1743,2,Move,Move,20120625171102MON
147,179,37302079,126841958,1961,2,Move,Move,20120625171906MON
148,180,37302079,126841958,1961,2,Move,Move,20120625172711MON
149,181,37303168,126839384,1743,2,Move,Move,20120625173516MON
150,183,0,0,0,1,유가네,Food,20120625182239MON,20120625191644MON
151,184,37336621,126811876,31,2,Move,Move,20120625193101MON
152,887,37340117,126813457,20,1,과외네2,Residence,20120625194359MON,20120626000514TUE
153,187,37280287,126968468,1895,2,Move,Move,20120626004414TUE
154,188,37280287,126968468,1895,2,Move,Move,20120626005214TUE
155,189,37280287,126968468,1895,2,Move,Move,20120626011208TUE
156,190,37280287,126968468,1895,2,Move,Move,20120626012008TUE
157,191,37280287,126968468,1895,2,Move,Move,20120626015003TUE
158,192,37280287,126968468,1895,2,Move,Move,20120626015807TUE
159,193,37280287,126968468,1895,2,Move,Move,20120626020612TUE
160,194,37280287,126968468,1895,2,Move,Move,20120626021417TUE
161,195,37303090,126838830,1756,2,Move,Move,20120626022222TUE
162,196,37303090,126838830,1756,2,Move,Move,20120626023021TUE
163,197,37303090,126838830,1756,2,Move,Move,20120626023826TUE
164,198,37303090,126838830,1756,2,Move,Move,20120626024631TUE
165,199,37303090,126838830,1756,2,Move,Move,20120626025435TUE
166,200,37303090,126838830,1756,2,Move,Move,20120626030240TUE
167,201,37303090,126838830,1756,2,Move,Move,20120626031045TUE
168,202,37303090,126838830,1756,2,Move,Move,20120626031849TUE
169,203,37303090,126838830,1756,2,Move,Move,20120626032654TUE
170,204,37303090,126838830,1756,2,Move,Move,20120626033459TUE
171,205,37303090,126838830,1756,2,Move,Move,20120626034303TUE
172,206,37303090,126838830,1756,2,Move,Move,20120626035108TUE
173,207,37303090,126838830,1756,2,Move,Move,20120626035913TUE
174,208,37303090,126838830,1756,2,Move,Move,20120626040717TUE
175,209,37303090,126838830,1756,2,Move,Move,20120626041522TUE
176,210,37303090,126838830,1756,2,Move,Move,20120626042327TUE
177,211,37303090,126838830,1756,2,Move,Move,20120626043131TUE
178,212,37303090,126838830,1756,2,Move,Move,20120626043936TUE
179,213,37303090,126838830,1756,2,Move,Move,20120626044740TUE
180,214,37303090,126838830,1756,2,Move,Move,20120626045545TUE
181,215,37303090,126838830,1756,2,Move,Move,20120626050350TUE
182,216,37303090,126838830,1756,2,Move,Move,20120626051154TUE
183,217,37303090,126838830,1756,2,Move,Move,20120626051959TUE
184,218,37303090,126838830,1756,2,Move,Move,20120626052804TUE
185,219,37303090,126838830,1756,2,Move,Move,20120626053608TUE
186,220,37303090,126838830,1756,2,Move,Move,20120626054413TUE
187,221,37303090,126838830,1756,2,Move,Move,20120626055218TUE
188,222,37303090,126838830,1756,2,Move,Move,20120626060022TUE
189,223,37303090,126838830,1756,2,Move,Move,20120626060827TUE
190,224,37303090,126838830,1756,2,Move,Move,20120626061631TUE
191,225,37303090,126838830,1756,2,Move,Move,20120626062436TUE
192,226,37303090,126838830,1756,2,Move,Move,20120626063241TUE
193,227,37303090,126838830,1756,2,Move,Move,20120626064045TUE
194,228,37303090,126838830,1756,2,Move,Move,20120626064850TUE
195,229,37303090,126838830,1756,2,Move,Move,20120626065655TUE
196,230,37303090,126838830,1756,2,Move,Move,20120626070500TUE
197,231,37303090,126838830,1756,2,Move,Move,20120626071304TUE
198,232,37303090,126838830,1756,2,Move,Move,20120626072109TUE
199,233,37303090,126838830,1756,2,Move,Move,20120626072914TUE
200,234,37303090,126838830,1756,2,Move,Move,20120626073718TUE
201,235,37303090,126838830,1756,2,Move,Move,20120626074523TUE
202,236,37303090,126838830,1756,2,Move,Move,20120626075327TUE
203,237,37303090,126838830,1756,2,Move,Move,20120626080132TUE
204,238,37303090,126838830,1756,2,Move,Move,20120626080937TUE
205,239,37303090,126838830,1756,2,Move,Move,20120626081741TUE
206,240,37303090,126838830,1756,2,Move,Move,20120626082546TUE
207,241,37303090,126838830,1756,2,Move,Move,20120626083351TUE
208,242,37303090,126838830,1756,2,Move,Move,20120626084156TUE
209,243,37303090,126838830,1756,2,Move,Move,20120626085000TUE
210,244,37303090,126838830,1756,2,Move,Move,20120626085805TUE
211,245,37303090,126838830,1756,2,Move,Move,20120626090609TUE
212,246,37303090,126838830,1756,2,Move,Move,20120626091414TUE
213,247,37303090,126838830,1756,2,Move,Move,20120626092219TUE
214,248,37303090,126838830,1756,2,Move,Move,20120626093023TUE
215,249,37303090,126838830,1756,2,Move,Move,20120626093828TUE
216,250,37303090,126838830,1756,2,Move,Move,20120626094633TUE
217,251,37303090,126838830,1756,2,Move,Move,20120626095438TUE
218,252,37303090,126838830,1756,2,Move,Move,20120626100242TUE
219,253,37303090,126838830,1756,2,Move,Move,20120626101047TUE
