PropertyTimestampInNumber,CoolOutputPercent,MixedAirTemp,OutdoorAirDamperMinPositionActive,OutdoorAirDamperOutput,OutdoorAirEnthalpyReference,SpaceRelativeHumidityActive,SpaceTemp,SupplyAirPress,SupplyAirPressSetpoint,SupplyAirTemp,SupplyAirTempSetpoint,SupplyFanSpeedOutput
20160101183000,26.885,60.3708,15.0,15.0,17.9659,28.1005,76.6085,1.2927,1.2,58.2826,57.0,71.48
20160101184500,7.965,59.6508,15.0,15.0,17.7632,28.1005,76.6085,1.1562,1.2,56.0504,57.0,71.48
20160101190000,23.485,59.6508,15.0,15.0,17.4651,27.7648,76.6085,1.1682,1.2,56.0504,57.0,71.48
20160101191500,8.825,59.6508,15.0,15.0,17.4651,27.7648,76.6085,1.116,1.2,57.2745,57.0,71.48
20160101193000,27.265,59.6508,15.0,15.0,17.152,27.307,76.6085,1.1281,1.2,57.2745,57.0,71.48
20160101194500,11.925,59.6508,15.0,15.0,17.2772,27.307,76.6085,1.124,1.2,55.5104,57.0,71.48
20160101200000,25.645,59.6508,15.0,15.0,17.2042,33.1053,76.6085,1.12,1.2,58.8047,57.0,71.48
20160101201500,6.815,59.6508,15.0,15.0,17.2042,26.7882,76.6085,1.2646,1.2,55.1143,57.0,67.635
20160101203000,30.435,59.6508,15.0,15.0,17.2042,26.7882,76.6085,1.2927,1.2,59.5608,57.0,67.635
20160101204500,3.085,59.6508,15.0,15.0,17.2544,32.9222,76.6085,1.2806,1.2,56.5365,57.0,67.635
20160101210000,8.985,59.6508,15.0,15.0,16.985,33.9293,76.6085,1.2927,1.2,54.9883,57.0,67.635
20160101211500,30.28,59.6508,15.0,15.0,16.985,33.9293,76.6085,1.2806,1.2,59.0747,57.0,67.635
20160101213000,3.305,59.6508,15.0,15.0,16.912,33.9293,76.6085,1.2766,1.2,57.2205,57.0,67.635
20160101214500,10.965,59.6508,15.0,15.0,17.0323,33.9293,76.6085,1.2886,1.2,54.5383,57.0,67.635
20160101220000,29.835,59.6508,15.0,15.0,16.9434,33.9293,76.6085,1.2766,1.2,59.0387,57.0,67.635
20160101221500,1.355,59.6508,15.0,15.0,17.0617,33.9293,76.6085,1.2846,1.2,55.8884,57.0,67.635
20160101223000,18.725,59.6508,15.0,15.0,16.8842,33.9293,76.6085,1.2886,1.2,55.8884,57.0,67.635
20160101224500,32.54,59.6508,15.0,15.0,16.8842,33.9293,76.6085,1.2766,1.2,59.6508,57.0,67.635
20160101230000,3.495,59.6508,15.0,15.0,16.8102,25.0182,76.6085,1.2766,1.2,57.5446,57.0,67.635
20160101231500,4.88,59.6508,15.0,15.0,16.8102,24.5604,76.6085,1.2927,1.2,54.7363,57.0,66.82
20160101233000,29.0,59.6508,15.0,15.0,16.6621,24.5604,76.6085,1.2766,1.2,57.8326,57.0,66.82
20160101234500,2.275,60.4608,15.0,15.0,16.7198,24.5604,76.6085,1.2806,1.2,57.1485,57.0,66.82
20160102000000,5.32,60.4608,15.0,15.0,16.9505,24.1332,76.6085,1.2927,1.2,55.3483,57.0,66.82
20160102001500,31.575,59.7408,15.0,15.0,16.8351,24.1332,76.6085,1.2485,1.2,59.0027,57.0,66.82
20160102003000,16.04,59.7408,15.0,15.0,16.9505,24.1332,76.6085,1.2365,1.2,59.0027,57.0,66.82
20160102004500,0.295,59.7408,15.0,15.0,16.874,23.5839,77.4005,1.2485,1.2,55.5104,57.0,66.82
20160102010000,7.305,59.7408,15.0,15.0,16.8351,23.1261,77.4005,1.2525,1.2,54.6103,57.0,66.82
20160102011500,29.99,59.7408,15.0,15.0,16.7198,23.5228,77.4005,1.2405,1.2,57.3825,57.0,66.82
20160102013000,10.115,59.7408,15.0,15.0,16.8351,23.5228,77.4005,1.2485,1.2,57.3825,57.0,66.82
20160102014500,3.265,59.7408,15.0,15.0,16.7596,23.5228,77.4005,1.2565,1.2,55.0243,57.0,66.82
20160102020000,27.495,59.7408,15.0,15.0,16.4962,23.5228,77.4005,1.1,1.2,57.1845,57.0,66.82
20160102021500,28.35,59.7408,15.0,15.0,16.4962,23.1566,77.4005,1.104,1.2,59.3627,57.0,67.55
20160102023000,14.01,59.7408,15.0,15.0,16.4962,23.1566,77.4005,1.124,1.2,58.5527,57.0,67.55
20160102024500,3.31,59.7408,15.0,15.0,16.366,22.4242,77.4005,1.1281,1.2,55.9244,57.0,67.55
20160102030000,28.585,59.7408,15.0,15.0,16.44,22.4242,77.4005,1.1281,1.2,57.7966,57.0,67.55
20160102031500,5.12,59.7408,15.0,15.0,16.4217,22.4242,77.4005,1.1441,1.2,56.1224,57.0,67.55
20160102033000,27.23,59.7408,15.0,15.0,16.366,22.119,77.4005,1.1441,1.2,58.3906,57.0,67.55
20160102034500,6.615,59.7408,15.0,15.0,16.44,22.119,77.4005,1.1682,1.2,55.3123,57.0,67.55
20160102040000,29.7,59.7408,15.0,15.0,16.44,22.4547,77.4005,1.2806,1.2,59.3627,57.0,67.55
20160102041500,1.33,59.0927,15.0,15.0,16.3276,21.8138,77.4005,1.2646,1.2,57.3465,57.0,67.55
20160102043000,11.495,59.0927,15.0,15.0,16.0711,21.5087,77.4005,1.2686,1.2,54.5743,57.0,67.55
20160102044500,30.005,59.0927,15.0,15.0,15.8646,21.5087,77.4005,1.2806,1.2,59.6508,57.0,67.55
