PropertyTimestampInNumber,CoolOutputPercent,MixedAirTemp,OutdoorAirDamperMinPositionActive,OutdoorAirDamperOutput,OutdoorAirEnthalpyReference,SpaceRelativeHumidityActive,SupplyAirPress,SupplyAirTemp,SupplyAirTempSetpoint,SupplyFanSpeedOutput
20160101150000,11.0,64.8353,15.0,15.0,18.0916,28.5887,1.4452,56.1224,56.0,59.29
20160101151500,0.0,64.8353,15.0,15.0,18.0916,28.5887,1.4452,56.1224,56.0,59.29
20160101153000,0.0,64.8353,15.0,15.0,17.9491,28.5887,1.4452,56.1224,56.0,59.29
20160101154500,0.0,64.8353,15.0,15.0,18.0082,28.5887,1.4372,56.1224,56.0,59.29
20160101160000,0.0,64.8353,15.0,15.0,17.9248,28.5887,1.4452,55.1503,56.0,59.29
20160101161500,0.0,64.8353,15.0,15.0,18.0082,28.5887,1.4372,55.9604,56.0,59.29
20160101163000,0.0,64.1152,15.0,15.0,18.1149,28.5887,1.4412,55.9604,56.0,59.29
20160101164500,0.0,64.1152,15.0,15.0,17.9127,28.5887,1.4492,55.2763,56.0,59.29
20160101170000,0.0,64.1152,15.0,15.0,17.9553,28.5887,1.4412,55.2763,56.0,59.29
20160101171500,0.0,64.1152,15.0,15.0,18.1585,28.5887,1.4532,55.2763,56.0,59.29
20160101173000,0.0,64.1152,15.0,15.0,18.2404,28.5887,1.4492,55.2763,56.0,59.29
20160101174500,0.0,64.1152,15.0,15.0,18.2404,28.5887,1.4492,55.2763,56.0,59.29
20160101180000,0.0,64.1152,15.0,15.0,18.0738,28.5887,1.4492,55.2763,56.0,59.29
20160101181500,0.0,64.1152,15.0,15.0,17.9496,28.5887,1.4492,55.2763,56.0,59.29
20160101183000,0.0,64.1152,15.0,15.0,17.9659,28.9244,1.4452,55.2763,56.0,59.29
20160101184500,0.0,64.1152,15.0,15.0,17.7632,28.9244,1.4372,55.2763,56.0,59.29
20160101190000,0.0,64.1152,15.0,15.0,17.4651,28.9244,1.4492,55.2763,56.0,59.29
20160101191500,0.0,64.1152,15.0,15.0,17.4651,28.9244,1.4452,55.2763,56.0,59.29
20160101193000,0.0,64.1152,15.0,15.0,17.152,28.9244,1.4452,55.2763,56.0,59.29
20160101194500,0.0,64.1152,15.0,15.0,17.2772,28.9244,1.4492,55.2763,56.0,59.29
20160101200000,0.0,64.1152,15.0,15.0,17.2042,28.9244,1.4492,55.2763,56.0,59.29
20160101201500,0.0,64.1152,15.0,15.0,17.2042,28.9244,1.4452,55.2763,56.0,59.29
20160101203000,0.0,64.1152,15.0,15.0,17.2042,28.9244,1.4452,55.2763,56.0,59.29
20160101204500,0.0,64.1152,15.0,15.0,17.2544,28.9244,1.4171,55.2763,56.0,59.29
20160101210000,0.0,64.1152,15.0,15.0,16.985,28.9244,1.4291,55.2763,56.0,60.96
20160101211500,0.0,64.1152,15.0,15.0,16.985,28.9244,1.4131,56.2124,56.0,62.205
20160101213000,1.215,64.1152,15.0,15.0,16.912,28.9244,1.4211,56.2124,56.0,62.205
20160101214500,1.215,64.1152,15.0,15.0,17.0323,28.5582,1.4171,56.2124,56.0,62.205
20160101220000,5.175,64.1152,15.0,15.0,16.9434,28.5582,1.5415,56.2124,56.0,62.205
20160101221500,5.175,64.1152,15.0,15.0,17.0617,28.5582,1.5857,56.2124,56.0,62.205
20160101223000,0.0,64.1152,15.0,15.0,16.8842,28.192,1.5817,56.2124,56.0,62.205
20160101224500,0.0,64.1152,15.0,15.0,16.8842,28.192,1.5857,55.6364,56.0,62.205
20160101230000,0.0,64.1152,15.0,15.0,16.8102,28.192,1.5656,55.6364,56.0,61.12
20160101231500,0.0,64.1152,15.0,15.0,16.8102,27.8563,1.5576,55.6364,56.0,61.12
20160101233000,0.0,64.1152,15.0,15.0,16.6621,27.8563,1.5576,55.6364,56.0,61.12
20160101234500,0.0,63.4671,15.0,15.0,16.7198,27.8563,1.5697,54.8263,56.0,61.12
20160102000000,0.0,63.4671,15.0,15.0,16.9505,27.8563,1.5616,55.6364,56.0,61.12
20160102001500,0.0,63.4671,15.0,15.0,16.8351,27.4596,1.5817,55.0243,56.0,61.12
20160102003000,0.0,63.4671,15.0,15.0,16.9505,27.4596,1.5777,55.7984,56.0,61.12
20160102004500,0.0,63.4671,15.0,15.0,16.874,27.1544,1.5737,55.1503,56.0,61.12
20160102010000,0.0,63.4671,15.0,15.0,16.8351,27.1544,1.5777,55.1503,56.0,61.12
20160102011500,0.0,63.4671,15.0,15.0,16.7198,27.1544,1.4733,55.1503,56.0,60.265
20160102013000,0.0,63.4671,15.0,15.0,16.8351,27.1544,1.4251,54.5023,56.0,57.8
20160102014500,0.0,63.4671,15.0,15.0,16.7596,27.1544,1.4171,54.5023,56.0,57.8
