PropertyTimestampInNumber,CoolOutputPercent,MixedAirTemp,OutdoorAirDamperMinPositionActive,OutdoorAirDamperOutput,OutdoorAirEnthalpyReference,SupplyAirPress,SupplyAirPressSetpoint,SupplyAirTemp,SupplyAirTempSetpoint,SupplyFanSpeedOutput
20160101000000,27.62,65.1053,10.0,10.0,19.4712,1.5134,1.5,60.4068,58.0,68.655
20160101001500,10.205,65.1053,10.0,10.0,19.4422,1.5656,1.5,55.2763,58.0,68.655
20160101003000,17.265,65.1053,10.0,10.0,19.4422,1.5175,1.5,59.9208,58.0,68.655
20160101004500,18.695,65.1053,10.0,10.0,19.7482,1.5456,1.5,55.7984,58.0,68.655
20160101010000,5.115,64.2952,10.0,10.0,18.9704,1.5255,1.5,58.9667,58.0,68.655
20160101011500,36.405,64.2952,10.0,10.0,18.2999,1.5215,1.5,57.1485,58.0,68.655
20160101013000,0.5,64.2952,10.0,10.0,17.8115,1.5335,1.5,57.1485,58.0,68.655
20160101014500,35.71,63.6472,10.0,10.0,17.9294,1.5375,1.5,59.6868,58.0,68.655
20160101020000,2.145,63.6472,10.0,10.0,17.709,1.5697,1.5,55.8884,58.0,68.655
20160101021500,19.095,63.6472,10.0,10.0,17.4152,1.5335,1.5,59.6508,58.0,68.655
20160101023000,26.285,63.6472,10.0,10.0,19.9924,1.5335,1.5,56.6085,58.0,68.655
20160101024500,0.015,63.6472,10.0,10.0,19.5345,1.5456,1.5,57.3825,58.0,68.655
20160101030000,36.815,63.6472,10.0,10.0,19.2808,1.5175,1.5,59.0387,58.0,68.655
20160101031500,1.155,63.6472,10.0,10.0,19.0929,1.5335,1.5,55.6364,58.0,68.655
20160101033000,9.7,63.6472,10.0,10.0,19.0541,1.5456,1.5,59.2007,58.0,68.655
20160101034500,32.875,63.6472,10.0,10.0,18.9279,1.5175,1.5,57.2745,58.0,68.655
20160101040000,0.0,63.6472,10.0,10.0,18.4409,1.5295,1.5,57.2745,58.0,68.655
20160101041500,32.895,63.6472,10.0,10.0,18.5218,1.5255,1.5,59.9748,58.0,68.655
20160101043000,3.68,63.6472,10.0,10.0,18.5218,1.5697,1.5,55.6904,58.0,68.655
20160101044500,3.55,63.6472,10.0,10.0,18.5218,1.5295,1.5,58.6067,58.0,68.655
20160101050000,34.615,63.6472,10.0,10.0,18.5218,1.5456,1.5,58.6067,58.0,68.655
20160101051500,0.0,63.6472,10.0,10.0,18.3137,1.5295,1.5,56.2484,58.0,68.655
20160101053000,23.755,63.6472,10.0,10.0,18.3137,1.5375,1.5,59.7228,58.0,68.655
20160101054500,26.365,63.6472,10.0,10.0,18.1229,1.5616,1.5,56.9865,58.0,68.655
20160101060000,0.0,62.9271,10.0,10.0,18.2014,1.5496,1.5,56.9865,58.0,68.655
20160101061500,27.145,62.9271,10.0,10.0,18.0732,1.5415,1.5,59.6868,58.0,68.655
20160101063000,11.075,62.9271,10.0,10.0,18.1229,1.5737,1.5,56.2124,58.0,68.655
20160101064500,0.0,62.9271,10.0,10.0,18.1229,1.5295,1.5,58.2286,58.0,68.655
20160101070000,33.94,62.9271,10.0,10.0,18.1075,1.5415,1.5,58.8407,58.0,68.655
20160101071500,0.0,62.9271,10.0,10.0,18.1075,1.5656,1.5,55.8524,58.0,68.655
20160101073000,11.97,63.6472,10.0,10.0,18.1538,1.5255,1.5,59.0747,58.0,68.655
20160101074500,31.08,63.6472,10.0,10.0,17.9659,1.5777,1.5,57.2205,58.0,68.655
20160101080000,0.0,63.6472,10.0,10.0,18.0444,1.5335,1.5,56.6085,58.0,68.655
20160101081500,29.265,63.6472,10.0,10.0,17.8875,1.5415,1.5,59.8848,58.0,68.655
20160101083000,14.285,63.6472,10.0,10.0,17.8407,1.5737,1.5,56.1764,58.0,68.655
20160101084500,0.285,63.6472,10.0,10.0,17.8875,1.5456,1.5,58.4446,58.0,68.655
20160101090000,36.985,63.6472,10.0,10.0,17.4393,1.5616,1.5,58.4446,58.0,68.655
20160101091500,0.0,63.6472,10.0,10.0,17.3905,1.5777,1.5,55.7264,58.0,68.655
20160101093000,19.4,63.6472,10.0,10.0,17.3905,1.5536,1.5,59.8488,58.0,68.655
20160101094500,22.67,63.6472,10.0,10.0,17.4393,1.5616,1.5,56.4104,58.0,68.655
20160101100000,0.175,63.6472,10.0,10.0,17.1803,1.5496,1.5,57.6706,58.0,68.655
20160101101500,36.695,63.6472,10.0,10.0,17.316,1.5255,1.5,59.3267,58.0,68.655
20160101103000,2.85,63.6472,10.0,10.0,17.2415,1.5817,1.5,56.0144,58.0,68.655
20160101104500,14.035,63.6472,10.0,10.0,17.2544,1.5375,1.5,59.6148,58.0,68.655
20160101110000,30.655,63.6472,10.0,10.0,17.316,1.5777,1.5,56.9865,58.0,68.655
20160101111500,0.0,63.6472,10.0,10.0,17.5625,1.5415,1.5,56.9865,58.0,68.655
20160101113000,36.7,63.6472,10.0,10.0,17.4533,1.5335,1.5,59.8488,58.0,68.655
20160101114500,2.425,63.6472,10.0,10.0,17.333,1.5415,1.5,55.7624,58.0,68.655
20160101120000,6.01,63.6472,10.0,10.0,17.4095,1.5295,1.5,58.8767,58.0,68.655
20160101121500,37.785,63.6472,10.0,10.0,17.4095,1.5737,1.5,57.6706,58.0,66.865
20160101123000,0.0,63.6472,10.0,10.0,17.4533,1.5737,1.5,56.0504,58.0,66.865
20160101124500,21.56,63.6472,10.0,10.0,17.2983,1.5215,1.5,60.0468,58.0,66.865
20160101130000,30.4,63.6472,10.0,10.0,17.5548,1.5656,1.5,57.2745,58.0,66.865
20160101131500,0.0,63.6472,10.0,10.0,17.5941,1.5616,1.5,56.5005,58.0,66.865
20160101133000,33.51,63.6472,10.0,10.0,17.8662,1.5134,1.5,60.2088,58.0,66.865
20160101134500,17.415,63.6472,10.0,10.0,17.9248,1.5616,1.5,56.0864,58.0,66.865
20160101140000,0.735,63.6472,10.0,10.0,17.9491,1.5215,1.5,57.7966,58.0,66.865
20160101141500,38.085,63.6472,10.0,10.0,17.9127,1.5134,1.5,59.5248,58.0,66.865
20160101143000,0.0,63.6472,10.0,10.0,17.9491,1.5255,1.5,55.6364,58.0,66.865
20160101144500,5.985,63.6472,10.0,10.0,18.0916,1.5255,1.5,58.8767,58.0,66.865
20160101150000,37.7,63.6472,10.0,10.0,18.0916,1.4974,1.5,57.7966,58.0,66.865
20160101151500,0.0,63.6472,10.0,10.0,18.0916,1.5415,1.5,55.9604,58.0,66.865
20160101153000,14.98,63.6472,10.0,10.0,17.9491,1.5134,1.5,59.4527,58.0,66.865
20160101154500,32.61,63.6472,10.0,10.0,18.0082,1.5415,1.5,57.5986,58.0,66.865
20160101160000,0.0,63.6472,10.0,10.0,17.9248,1.5134,1.5,56.3384,58.0,66.865
20160101161500,22.655,63.6472,10.0,10.0,18.0082,1.5134,1.5,59.8128,58.0,66.865
20160101163000,26.97,63.6472,10.0,10.0,18.1149,1.5656,1.5,56.7885,58.0,66.865
