PropertyTimestampInNumber,CoolOutputPercent,MixedAirTemp,OutdoorAirDamperMinPositionActive,OutdoorAirDamperOutput,OutdoorAirEnthalpyReference,SupplyAirPress,SupplyAirPressSetpoint,SupplyAirTemp,SupplyAirTempSetpoint,SupplyFanSpeedOutput
20160101000000,19.78,65.7534,15.0,15.0,19.4712,1.3368,1.25,54.4482,55.0,64.44
20160101001500,23.7,65.7534,15.0,15.0,19.4422,1.3368,1.25,54.4482,55.0,64.44
20160101003000,31.285,65.7534,15.0,15.0,19.4422,1.3328,1.25,55.2403,55.0,64.44
20160101004500,31.285,65.7534,15.0,15.0,19.7482,1.3368,1.25,54.5023,55.0,64.44
20160101010000,27.76,65.7534,15.0,15.0,18.9704,1.3368,1.25,54.5023,55.0,64.44
20160101011500,32.985,65.7534,15.0,15.0,18.2999,1.3007,1.25,54.5023,55.0,63.445
20160101013000,19.48,65.7534,15.0,15.0,17.8115,1.3007,1.25,54.5023,55.0,63.445
20160101014500,19.48,65.7534,15.0,15.0,17.9294,1.3007,1.25,54.5023,55.0,63.445
20160101020000,19.48,65.7534,15.0,15.0,17.709,1.2927,1.25,55.1863,55.0,63.445
20160101021500,21.54,65.7534,15.0,15.0,17.4152,1.2927,1.25,55.1863,55.0,63.445
20160101023000,23.815,65.7534,15.0,15.0,19.9924,1.2967,1.25,54.2862,55.0,63.445
20160101024500,33.355,64.7453,15.0,15.0,19.5345,1.3007,1.25,54.2862,55.0,63.445
20160101030000,32.385,64.7453,15.0,15.0,19.2808,1.2927,1.25,54.9883,55.0,63.445
20160101031500,31.905,64.7453,15.0,15.0,19.0929,1.3007,1.25,54.9883,55.0,63.445
20160101033000,31.905,64.7453,15.0,15.0,19.0541,1.3007,1.25,54.9883,55.0,63.445
20160101034500,14.425,64.7453,15.0,15.0,18.9279,1.3007,1.25,54.3762,55.0,63.445
20160101040000,16.705,64.7453,15.0,15.0,18.4409,1.3007,1.25,55.3483,55.0,63.445
20160101041500,33.12,64.7453,15.0,15.0,18.5218,1.2967,1.25,55.3483,55.0,63.445
20160101043000,30.015,64.7453,15.0,15.0,18.5218,1.2967,1.25,54.5743,55.0,63.445
20160101044500,22.6,65.5734,15.0,15.0,18.5218,1.3167,1.25,55.2403,55.0,63.445
20160101050000,23.255,65.5734,15.0,15.0,18.5218,1.3167,1.25,55.2403,55.0,63.445
20160101051500,23.255,65.5734,15.0,15.0,18.3137,1.3167,1.25,55.2403,55.0,63.445
20160101053000,31.34,65.5734,15.0,15.0,18.3137,1.3167,1.25,56.1764,55.0,63.445
20160101054500,21.65,65.5734,15.0,15.0,18.1229,1.3167,1.25,55.0243,55.0,63.445
20160101060000,21.92,66.2934,15.0,15.0,18.2014,1.3248,1.25,55.6904,55.0,63.445
20160101061500,32.465,66.2934,15.0,15.0,18.0732,1.3167,1.25,55.6904,55.0,63.445
20160101063000,21.665,66.2934,15.0,15.0,18.1229,1.3248,1.25,55.1143,55.0,63.445
20160101064500,18.14,66.2934,15.0,15.0,18.1229,1.3248,1.25,55.1143,55.0,63.445
20160101070000,29.185,66.2934,15.0,15.0,18.1075,1.3208,1.25,54.3762,55.0,63.445
20160101071500,34.54,66.2934,15.0,15.0,18.1075,1.3288,1.25,54.3762,55.0,63.445
20160101073000,33.91,66.2934,15.0,15.0,18.1538,1.3248,1.25,56.0864,55.0,63.445
20160101074500,21.965,66.2934,15.0,15.0,17.9659,1.3248,1.25,54.7363,55.0,63.445
20160101080000,32.29,66.2934,15.0,15.0,18.0444,1.3288,1.25,54.7363,55.0,63.445
20160101081500,32.29,66.2934,15.0,15.0,17.8875,1.3288,1.25,54.7363,55.0,63.445
20160101083000,20.205,66.2934,15.0,15.0,17.8407,1.3248,1.25,55.3123,55.0,63.445
20160101084500,16.045,66.2934,15.0,15.0,17.8875,1.3288,1.25,54.3762,55.0,63.445
20160101090000,32.865,66.2934,15.0,15.0,17.4393,1.3167,1.25,54.3762,55.0,63.445
20160101091500,17.54,66.2934,15.0,15.0,17.3905,1.3328,1.25,54.3762,55.0,63.445
20160101093000,35.12,66.2934,15.0,15.0,17.3905,1.3288,1.25,54.3762,55.0,63.445
20160101094500,29.075,66.2934,15.0,15.0,17.4393,1.3167,1.25,55.5104,55.0,63.445
20160101100000,34.04,66.2934,15.0,15.0,17.1803,1.3288,1.25,55.5104,55.0,63.445
20160101101500,30.185,67.0315,15.0,15.0,17.316,1.3208,1.25,55.5104,55.0,63.445
20160101103000,33.715,67.0315,15.0,15.0,17.2415,1.3248,1.25,55.5104,55.0,63.445
20160101104500,32.53,67.0315,15.0,15.0,17.2544,1.3208,1.25,55.5104,55.0,63.445
20160101110000,19.535,67.0315,15.0,15.0,17.316,1.3248,1.25,55.5104,55.0,63.445
20160101111500,34.805,67.0315,15.0,15.0,17.5625,1.3288,1.25,54.7003,55.0,63.445
20160101113000,35.6,67.0315,15.0,15.0,17.4533,1.3328,1.25,54.7003,55.0,63.445
20160101114500,19.9,67.0315,15.0,15.0,17.333,1.3328,1.25,55.3123,55.0,63.445
20160101120000,34.85,67.0315,15.0,15.0,17.4095,1.3328,1.25,54.6643,55.0,63.445
20160101121500,16.655,67.0315,15.0,15.0,17.4095,1.2927,1.25,54.6643,55.0,62.115
20160101123000,21.24,67.0315,15.0,15.0,17.4533,1.2927,1.25,55.5104,55.0,62.115
