PropertyTimestampInNumber,CoolOutputPercent,OutdoorAirDamperMinPositionActive,OutdoorAirDamperOutput,OutdoorAirEnthalpyReference,SpaceRelativeHumidityActive,SpaceTemp,SupplyAirPress,SupplyAirPressSetpoint,SupplyAirTemp,SupplyAirTempSetpoint,SupplyFanSpeedOutput
20160101120000,0.0,15.0,15.0,17.4095,41.4671,68.1656,1.7704,1.7,52.6841,56.0,80.795
20160101121500,0.0,15.0,15.0,17.4095,41.4671,68.1656,1.7744,1.7,52.6841,56.0,80.795
20160101123000,0.0,15.0,15.0,17.4533,41.4671,68.1656,1.7704,1.7,52.6841,56.0,80.795
20160101124500,0.0,15.0,15.0,17.2983,41.4671,68.1656,1.7623,1.7,52.6841,56.0,80.795
20160101130000,0.0,15.0,15.0,17.5548,41.4671,68.1656,1.7543,1.7,51.856,56.0,80.795
20160101131500,0.0,15.0,15.0,17.5941,40.8873,68.1656,1.7543,1.7,52.7741,56.0,80.795
20160101133000,0.0,15.0,15.0,17.8662,40.8873,68.1656,1.7664,1.7,52.7741,56.0,80.795
20160101134500,0.0,15.0,15.0,17.9248,40.8873,68.1656,1.7623,1.7,51.766,56.0,80.795
20160101140000,0.0,15.0,15.0,17.9491,40.8873,68.1656,1.7583,1.7,52.5941,56.0,80.795
20160101141500,0.0,15.0,15.0,17.9127,40.8873,68.1656,1.7623,1.7,52.5941,56.0,80.795
20160101143000,0.0,15.0,15.0,17.9491,40.8873,68.1656,1.7583,1.7,51.478,56.0,80.795
20160101144500,0.0,15.0,15.0,18.0916,40.8873,68.1656,1.7623,1.7,52.8461,56.0,80.795
20160101150000,0.0,15.0,15.0,18.0916,40.3685,68.1656,1.7543,1.7,52.8461,56.0,80.795
20160101151500,0.0,15.0,15.0,18.0916,40.3685,68.1656,1.7543,1.7,51.946,56.0,80.795
20160101153000,0.0,15.0,15.0,17.9491,40.3685,68.1656,1.7583,1.7,51.946,56.0,80.795
20160101154500,0.0,15.0,15.0,18.0082,40.3685,68.1656,1.7623,1.7,51.946,56.0,80.795
20160101160000,0.0,15.0,15.0,17.9248,40.3685,68.1656,1.7623,1.7,51.946,56.0,80.795
20160101161500,0.0,15.0,15.0,18.0082,40.3685,68.1656,1.7583,1.7,51.946,56.0,80.795
20160101163000,0.0,15.0,15.0,18.1149,40.3685,68.1656,1.7583,1.7,51.946,56.0,80.795
20160101164500,0.0,15.0,15.0,17.9127,40.3685,68.1656,1.7704,1.7,51.3519,56.0,80.795
20160101170000,0.0,15.0,15.0,17.9553,40.3685,68.1656,1.7623,1.7,52.234,56.0,80.795
20160101171500,0.0,15.0,15.0,18.1585,40.3685,68.1656,1.7623,1.7,52.234,56.0,80.795
