PropertyTimestampInNumber,CoolOutputPercent,MixedAirTemp,OutdoorAirDamperMinPositionActive,OutdoorAirEnthalpyReference,SupplyAirPress,SupplyAirPressSetpoint,SupplyAirTemp,SupplyAirTempSetpoint,SupplyFanSpeedOutput
20160101143000,33.72,61.829,15.0,17.9491,1.5054,1.5,57.1125,56.0,69.55
20160101144500,25.765,61.829,15.0,18.0916,1.5175,1.5,54.5383,56.0,69.55
20160101150000,34.47,61.829,15.0,18.0916,1.5054,1.5,57.1125,56.0,69.55
20160101151500,20.375,61.829,15.0,18.0916,1.5134,1.5,56.2844,56.0,69.55
20160101153000,26.63,61.829,15.0,17.9491,1.5175,1.5,54.5023,56.0,69.55
20160101154500,32.325,61.829,15.0,18.0082,1.5175,1.5,54.5023,56.0,69.55
20160101160000,44.19,61.1989,15.0,17.9248,1.4974,1.5,56.4464,56.0,69.55
20160101161500,42.27,61.1989,15.0,18.0082,1.4974,1.5,57.5986,56.0,69.55
20160101163000,38.1,61.1989,15.0,18.1149,1.5134,1.5,57.5986,56.0,69.55
20160101164500,18.525,61.1989,15.0,17.9127,1.5175,1.5,56.3384,56.0,69.55
20160101170000,21.86,61.1989,15.0,17.9553,1.5134,1.5,54.4122,56.0,69.55
20160101171500,19.005,61.1989,15.0,18.1585,1.5134,1.5,55.1143,56.0,69.55
20160101173000,24.42,61.1989,15.0,18.2404,1.5134,1.5,54.5023,56.0,69.55
20160101174500,28.48,61.1989,15.0,18.2404,1.5175,1.5,54.5023,56.0,69.55
20160101180000,20.43,61.1989,15.0,18.0738,1.5054,1.5,54.5023,56.0,69.55
20160101181500,17.4,61.1989,15.0,17.9496,1.5255,1.5,55.5104,56.0,69.55
20160101183000,15.13,61.1989,15.0,17.9659,1.5175,1.5,55.5104,56.0,69.55
20160101184500,20.305,61.1989,15.0,17.7632,1.5134,1.5,56.6985,56.0,69.55
20160101190000,21.075,61.1989,15.0,17.4651,1.5134,1.5,56.6985,56.0,69.55
20160101191500,29.645,61.1989,15.0,17.4651,1.4974,1.5,56.6985,56.0,69.55
20160101193000,42.19,61.1989,15.0,17.152,1.4974,1.5,58.3906,56.0,69.55
20160101194500,33.95,61.1989,15.0,17.2772,1.4894,1.5,57.5986,56.0,69.55
20160101200000,45.625,61.1989,15.0,17.2042,1.4853,1.5,57.5986,56.0,69.55
20160101201500,45.07,61.1989,15.0,17.2042,1.4853,1.5,56.8605,56.0,69.55
20160101203000,45.07,61.1989,15.0,17.2042,1.4853,1.5,56.8605,56.0,69.55
20160101204500,41.205,61.1989,15.0,17.2544,1.4894,1.5,55.2403,56.0,69.55
20160101210000,43.245,61.1989,15.0,16.985,1.4934,1.5,56.4464,56.0,69.55
20160101211500,42.77,61.1989,15.0,16.985,1.5014,1.5,55.4023,56.0,69.55
20160101213000,41.785,61.1989,15.0,16.912,1.5134,1.5,56.1764,56.0,69.55
20160101214500,21.25,61.1989,15.0,17.0323,1.4974,1.5,54.2862,56.0,69.55
20160101220000,17.445,61.1989,15.0,16.9434,1.5094,1.5,54.2862,56.0,69.55
20160101221500,16.365,61.1989,15.0,17.0617,1.5134,1.5,54.2862,56.0,69.55
20160101223000,16.365,61.1989,15.0,16.8842,1.5175,1.5,56.0864,56.0,69.55
20160101224500,18.85,60.4608,15.0,16.8842,1.5215,1.5,55.1503,56.0,69.55
20160101230000,19.45,60.4608,15.0,16.8102,1.5255,1.5,54.3402,56.0,69.55
20160101231500,17.285,60.4608,15.0,16.8102,1.5175,1.5,55.0603,56.0,69.55
20160101233000,24.545,60.4608,15.0,16.6621,1.5415,1.5,56.7345,56.0,69.55
20160101234500,47.885,60.4608,15.0,16.7198,1.5576,1.5,58.0666,56.0,69.55
20160102000000,37.79,60.4608,15.0,16.9505,1.5456,1.5,55.0603,56.0,69.55
20160102001500,31.51,60.4608,15.0,16.8351,1.5496,1.5,54.4482,56.0,69.55
20160102003000,18.175,60.4608,15.0,16.9505,1.5375,1.5,55.3483,56.0,69.55
20160102004500,15.515,60.4608,15.0,16.874,1.5335,1.5,56.1224,56.0,69.55
20160102010000,46.62,60.4608,15.0,16.8351,1.5415,1.5,57.7606,56.0,69.55
20160102011500,47.375,60.4608,15.0,16.7198,1.4131,1.5,57.7606,56.0,62.655
20160102013000,21.15,60.4608,15.0,16.8351,1.4372,1.5,53.1341,56.0,62.655
20160102014500,11.415,60.4608,15.0,16.7596,1.4211,1.5,55.8884,56.0,62.655
20160102020000,45.4,60.4608,15.0,16.4962,1.4091,1.5,58.6787,56.0,62.655
20160102021500,6.6,60.4608,15.0,16.4962,1.4332,1.5,54.5383,56.0,62.655
20160102023000,50.415,61.0909,15.0,16.4962,1.4131,1.5,59.2907,56.0,63.735
20160102024500,11.145,61.0909,15.0,16.366,1.4572,1.5,54.2862,56.0,64.74
20160102030000,49.345,61.0909,15.0,16.44,1.397,1.5,58.1206,56.0,64.74
20160102031500,12.06,61.0909,15.0,16.4217,1.4572,1.5,53.6382,56.0,65.745
20160102033000,44.44,61.0909,15.0,16.366,1.4291,1.5,58.7687,56.0,65.745
20160102034500,34.57,61.0909,15.0,16.44,1.4131,1.5,54.4482,56.0,66.75
20160102040000,16.5,61.0909,15.0,16.44,1.4171,1.5,55.0603,56.0,66.75
20160102041500,47.18,61.0909,15.0,16.3276,1.4171,1.5,58.3546,56.0,68.225
20160102043000,28.99,61.0909,15.0,16.0711,1.4291,1.5,54.5383,56.0,68.225
20160102044500,18.585,61.0909,15.0,15.8646,1.4211,1.5,53.9622,56.0,68.225
20160102050000,17.735,61.0909,15.0,15.9904,1.4372,1.5,53.9622,56.0,68.225
20160102051500,17.735,61.0909,15.0,15.9904,1.4372,1.5,54.7363,56.0,68.225
20160102053000,18.485,61.0909,15.0,16.1028,1.4372,1.5,55.9244,56.0,68.225
20160102054500,18.055,61.0909,15.0,15.9904,1.4211,1.5,55.9244,56.0,68.225
20160102060000,15.94,61.0909,15.0,15.8218,1.4412,1.5,55.9244,56.0,68.225
20160102061500,42.79,61.0909,15.0,16.0038,1.4452,1.5,58.3186,56.0,68.225
20160102063000,27.59,61.0909,15.0,15.9342,1.4372,1.5,56.8245,56.0,68.225
20160102064500,26.03,61.0909,15.0,15.9342,1.4332,1.5,56.8245,56.0,68.225
20160102070000,18.59,61.0909,15.0,16.0038,1.4372,1.5,55.9244,56.0,68.225
20160102071500,19.78,61.0909,15.0,16.0038,1.4412,1.5,55.9244,56.0,68.225
20160102073000,20.685,61.0909,15.0,15.8904,1.4251,1.5,55.0243,56.0,68.225
20160102074500,35.865,61.0909,15.0,15.8904,1.4372,1.5,56.2844,56.0,68.225
20160102080000,38.16,61.0909,15.0,15.8904,1.4332,1.5,56.2844,56.0,68.225
20160102081500,32.255,61.0909,15.0,15.9342,1.4332,1.5,56.2844,56.0,68.225
20160102083000,29.865,61.0909,15.0,15.8218,1.4372,1.5,55.4743,56.0,68.225
20160102084500,25.12,61.0909,15.0,15.6417,1.4332,1.5,56.2124,56.0,68.225
20160102090000,25.12,61.0909,15.0,15.7532,1.4332,1.5,56.2124,56.0,68.225
20160102091500,30.82,61.0909,15.0,15.8646,1.4372,1.5,55.4743,56.0,68.225
20160102093000,39.78,61.0909,15.0,16.0317,1.4291,1.5,55.4743,56.0,68.225
20160102094500,39.78,61.0909,15.0,16.1431,1.4291,1.5,55.4743,56.0,68.225
20160102100000,39.78,61.0909,15.0,16.2919,1.4291,1.5,57.2745,56.0,68.225
20160102101500,31.23,61.0909,15.0,16.1439,1.4372,1.5,57.2745,56.0,68.225
20160102103000,22.53,61.919,15.0,16.2726,1.4291,1.5,57.2745,56.0,68.225
20160102104500,21.99,61.919,15.0,16.3821,1.4372,1.5,56.2124,56.0,68.225
20160102110000,39.52,61.919,15.0,16.6009,1.4211,1.5,56.2124,56.0,68.225
20160102111500,39.52,61.919,15.0,16.7946,1.4372,1.5,56.2124,56.0,68.225
20160102113000,22.32,61.919,15.0,16.7946,1.4372,1.5,54.9883,56.0,68.225
20160102114500,39.545,61.919,15.0,16.7147,1.4291,1.5,55.7264,56.0,68.225
20160102120000,43.365,61.919,15.0,16.8477,1.4251,1.5,55.7264,56.0,68.225
20160102121500,40.015,61.919,15.0,16.9542,1.4171,1.5,55.7264,56.0,68.225
20160102123000,24.11,61.919,15.0,17.0295,1.4291,1.5,55.7264,56.0,68.225
20160102124500,23.35,61.919,15.0,17.135,1.4332,1.5,55.7264,56.0,68.225
