1.0855    0.092496    0.089555   0.0066766  8.3043e-08   0.0050961  6.5248e-05   0.0056737   6.941e-06     0.00124  0.00018968  0.00010748
0.092496      1.1086     0.10149    0.012638  1.4551e-07    0.015308    0.000151    0.012593  1.0783e-05   0.0078217   0.0014671  0.00049257
0.089555     0.10149      1.0966   0.0092869   1.308e-07    0.010296  0.00011376    0.008488   9.828e-06    0.004844  0.00088236  0.00031995
0.0066766    0.012638   0.0092869      1.0148  5.5778e-08    0.014754  5.7104e-05     0.01617  3.6228e-06   0.0027873  0.00016851  0.00054541
8.3043e-08  1.4551e-07   1.308e-07  5.5778e-08           1  2.0302e-07  1.2709e-09  1.3962e-07  3.0442e-10  4.8322e-08  3.3585e-09  8.1803e-09
0.0050961    0.015308    0.010296    0.014754  2.0302e-07      1.0352  8.7098e-05    0.030097  1.1255e-05   0.0067415  0.00046298   0.0011321
6.5248e-05    0.000151  0.00011376  5.7104e-05  1.2709e-09  8.7098e-05           1  0.00011035  7.2645e-08  6.6892e-05  1.5165e-05  4.7946e-06
0.0056737    0.012593    0.008488     0.01617  1.3962e-07    0.030097  0.00011035      1.0833  6.2507e-06   0.0040381   0.0002025   0.0012526
6.941e-06  1.0783e-05   9.828e-06  3.6228e-06  3.0442e-10  1.1255e-05  7.2645e-08  6.2507e-06           1  2.6725e-06  2.1945e-07   4.217e-07
0.00124   0.0078217    0.004844   0.0027873  4.8322e-08   0.0067415  6.6892e-05   0.0040381  2.6725e-06      1.0056   0.0011693  0.00025721
0.00018968   0.0014671  0.00088236  0.00016851  3.3585e-09  0.00046298  1.5165e-05   0.0002025  2.1945e-07   0.0011693      1.0003  2.1906e-05
0.00010748  0.00049257  0.00031995  0.00054541  8.1803e-09   0.0011321  4.7946e-06   0.0012526   4.217e-07  0.00025721  2.1906e-05           1
