AirFlowNormalized,AirValvePosition,DischargeAirTemp,HeatOutput,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
68.6667,56,91.7,100,70.0,73.9,70.9
68.6667,56,91.7,100,70.5,73.9,70.9
68.6667,56,95.9,100,70.7,73.9,70.9
68.6667,56,91.7,100,70.8,73.9,70.9
68.6667,56,86.8,100,70.9,73.9,70.9
68.6667,56,86.8,100,71.0,73.9,70.9
68.6667,56,94.1,100,71.1,73.9,70.9
71.1667,56,58.9,100,70.4,73.9,70.9
68.6667,56,70.5,100,69.8,73.9,70.9
68.6667,56,95.9,100,70.4,73.9,70.9
69.8333,56,93.5,100,70.6,73.9,70.9
68.6667,56,86.8,100,70.7,73.9,70.9
68.6667,56,93.3,100,70.8,73.9,70.9
68.6667,56,86.9,100,70.9,73.9,70.9
68.6667,56,95.9,100,71.0,73.9,70.9
68.6667,56,90.4,100,71.0,73.9,70.9
68.6667,56,92.8,100,71.1,73.9,70.9
68.6667,56,86.9,100,71.0,73.9,70.9
67.5,56,94.7,100,71.1,73.9,70.9
69.8333,56,94.7,100,71.1,73.9,70.9
68.6667,56,60.0,100,70.4,73.9,70.9
68.6667,56,73.3,100,69.8,73.9,70.9
68.6667,56,91.6,100,70.4,73.9,70.9
67.5,56,93.5,100,70.6,73.9,70.9
68.6667,56,84.9,100,70.7,73.9,70.9
68.6667,56,89.7,100,70.8,73.9,70.9
68.6667,56,94.1,100,70.8,73.9,70.9
68.6667,56,94.1,100,70.8,73.9,70.9
69.8333,56,93.0,100,70.9,73.9,70.9
68.6667,56,88.7,100,70.9,73.9,70.9
67.5,56,86.2,100,70.9,73.9,70.9
68.6667,57,85.0,100,71.0,73.9,70.9
66.0,55,88.0,100,71.0,73.9,70.9
69.8333,58,89.1,100,71.0,73.9,70.9
69.8333,57,91.1,100,71.0,73.9,70.9
69.8333,57,91.1,100,71.0,73.9,70.9
69.8333,57,92.3,100,71.0,73.9,70.9
68.6667,57,92.3,100,71.1,73.9,70.9
68.6667,57,59.6,0,70.8,73.9,70.9
69.8333,57,59.6,100,70.2,73.9,70.9
68.6667,57,77.2,100,70.1,73.9,70.9
69.8333,57,86.2,100,71.0,73.9,70.9
68.6667,57,74.3,0,71.2,73.9,70.9
69.8333,57,58.8,100,70.2,73.9,70.9
69.8333,57,64.6,100,69.9,73.9,70.9
69.8333,57,86.7,100,70.6,73.9,70.9
69.8333,57,89.2,100,71.0,73.9,70.9
68.6667,57,89.2,100,71.1,73.9,70.9
68.6667,57,60.4,100,70.5,73.9,70.9
71.1667,60,60.4,100,70.1,73.9,70.9
69.8333,55,80.5,100,70.1,73.9,70.9
69.8333,55,90.4,100,70.7,73.9,70.9
68.6667,55,93.1,100,70.9,73.9,70.9
69.8333,55,78.9,0,71.2,73.9,70.9
69.8333,55,59.2,100,70.5,73.9,70.9
68.6667,55,61.5,100,70.0,73.9,70.9
69.8333,55,91.7,100,70.3,73.9,70.9
69.8333,55,92.9,100,70.7,73.9,70.9
69.8333,55,92.9,100,70.9,73.9,70.9
69.8333,55,68.7,0,71.2,73.9,70.9
69.8333,55,59.2,100,70.5,73.9,70.9
69.8333,55,60.3,100,70.1,73.9,70.9
67.5,55,86.8,100,70.1,73.9,70.9
68.6667,55,91.1,100,70.6,73.9,70.9
68.6667,55,91.1,100,70.8,73.9,70.9
69.8333,55,86.2,100,71.0,73.9,70.9
68.6667,55,85.0,100,71.1,73.9,70.9
68.6667,55,60.0,0,70.7,73.9,70.9
