AirFlowNormalized,AirValvePosition,DischargeAirTemp,HeatOutput,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
100.0,72,63.0,100,63.7,75.0,72.0
100.0,72,63.0,100,63.7,75.0,72.0
100.0,72,66.2,100,63.6,75.0,72.0
100.0,72,62.4,100,63.7,75.0,72.0
100.0,72,64.9,100,63.8,75.0,72.0
100.0,72,65.8,100,63.7,75.0,72.0
100.0,72,62.0,100,63.7,75.0,72.0
100.0,72,65.3,100,63.6,75.0,72.0
98.9831,72,65.3,100,63.5,75.0,72.0
100.0,72,65.3,100,63.5,75.0,72.0
98.9831,72,64.0,100,63.5,75.0,72.0
100.0,72,64.0,100,63.5,75.0,72.0
100.0,72,61.8,100,63.5,75.0,72.0
100.0,72,65.3,100,63.5,75.0,72.0
100.0,72,65.3,100,63.3,75.0,72.0
100.0,72,62.0,100,63.3,75.0,72.0
100.0,72,62.0,100,63.3,75.0,72.0
98.9831,72,65.3,100,63.2,75.0,72.0
100.0,72,63.2,100,63.3,75.0,72.0
100.0,72,65.4,100,63.1,75.0,72.0
100.0,72,65.4,100,63.2,75.0,72.0
100.0,72,65.4,100,63.2,75.0,72.0
100.0,72,61.6,100,63.2,75.0,72.0
100.0,72,65.3,100,63.1,75.0,72.0
100.0,72,64.0,100,63.1,75.0,72.0
98.9831,72,62.5,100,63.1,75.0,72.0
100.0,72,65.3,100,63.0,75.0,72.0
100.0,72,65.3,100,63.0,75.0,72.0
100.0,72,65.3,100,63.2,75.0,72.0
100.0,72,65.3,100,63.1,75.0,72.0
100.0,72,65.3,100,63.1,75.0,72.0
100.0,72,65.3,100,63.1,75.0,72.0
100.0,72,62.4,100,63.0,75.0,72.0
100.0,72,62.4,100,63.0,75.0,72.0
100.0,72,61.6,100,63.0,75.0,72.0
100.0,72,61.6,100,63.0,75.0,72.0
100.0,72,64.4,100,62.8,75.0,72.0
100.0,72,64.4,100,62.8,75.0,72.0
100.0,72,65.5,100,62.9,75.0,72.0
100.0,72,65.5,100,63.0,75.0,72.0
98.9831,72,65.5,100,63.0,75.0,72.0
100.8475,72,64.8,100,63.0,75.0,72.0
100.8475,72,65.8,100,62.9,75.0,72.0
98.9831,72,65.8,100,62.9,75.0,72.0
100.0,72,64.4,100,62.9,75.0,72.0
100.0,72,62.4,100,62.9,75.0,72.0
100.0,72,62.4,100,62.8,75.0,72.0
100.0,72,62.4,100,62.8,75.0,72.0
98.9831,72,63.2,100,62.9,75.0,72.0
100.8475,72,64.4,100,62.9,75.0,72.0
98.9831,72,65.8,100,63.0,75.0,72.0
100.8475,72,62.4,100,62.9,75.0,72.0
100.8475,72,65.3,100,62.9,75.0,72.0
100.8475,72,66.2,100,63.0,75.0,72.0
100.8475,72,63.1,100,63.0,75.0,72.0
100.8475,72,63.1,100,63.0,75.0,72.0
100.8475,72,64.8,100,62.9,75.0,72.0
98.9831,72,64.8,100,62.8,75.0,72.0
100.0,72,64.8,100,63.0,75.0,72.0
100.0,72,64.8,100,63.0,75.0,72.0
100.0,72,64.8,100,63.0,75.0,72.0
100.0,72,64.8,100,63.0,75.0,72.0
100.0,72,64.8,100,63.0,75.0,72.0
100.0,72,64.8,100,63.0,75.0,72.0
100.0,72,64.8,100,63.0,75.0,72.0
100.0,72,64.8,100,63.0,75.0,72.0
100.0,72,64.8,100,63.0,75.0,72.0
100.0,72,64.8,100,62.9,75.0,72.0
98.9831,72,64.8,100,62.9,75.0,72.0
100.0,72,64.8,100,62.8,75.0,72.0
98.9831,72,64.8,100,62.8,75.0,72.0
98.9831,72,65.5,100,62.9,75.0,72.0
100.0,72,65.5,100,62.8,75.0,72.0
100.0,72,64.8,100,62.9,75.0,72.0
100.0,72,64.8,100,62.8,75.0,72.0
100.0,72,64.8,100,62.8,75.0,72.0
100.0,72,62.4,100,62.8,75.0,72.0
100.0,72,62.4,100,62.8,75.0,72.0
100.0,72,64.4,100,62.7,75.0,72.0
100.0,72,65.3,100,62.7,75.0,72.0
100.0,72,65.3,100,62.7,75.0,72.0
98.9831,72,65.3,100,62.7,75.0,72.0
100.0,72,65.3,100,62.6,75.0,72.0
100.0,72,62.0,100,62.6,75.0,72.0
100.0,72,62.7,100,62.6,75.0,72.0
100.0,72,64.4,100,62.6,75.0,72.0
100.0,72,64.4,100,62.6,75.0,72.0
98.9831,72,64.4,100,62.6,75.0,72.0
100.0,72,64.4,100,62.6,75.0,72.0
100.0,72,64.4,100,62.5,75.0,72.0
100.0,72,64.4,100,62.5,75.0,72.0
100.0,72,64.4,100,62.5,75.0,72.0
100.0,72,64.4,100,62.5,75.0,72.0
