AirFlowNormalized,AirValvePosition,DischargeAirTemp,HeatOutput,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
61.6,45,117.4,100,72.0,80.0,78.0
61.6,45,115.7,100,72.2,80.0,78.0
61.6,45,118.3,100,72.2,80.0,78.0
61.6,45,114.2,100,72.3,80.0,78.0
61.6,45,108.4,100,72.5,80.0,78.0
61.6,45,102.8,100,72.9,80.0,78.0
61.6,45,113.5,100,72.6,80.0,78.0
61.6,45,108.9,100,72.6,80.0,78.0
62.6,45,104.1,100,72.5,80.0,78.0
62.6,45,116.4,100,72.4,80.0,78.0
61.4,45,116.4,100,72.4,80.0,78.0
62.4,45,108.4,100,72.5,80.0,78.0
62.4,45,109.7,100,72.6,80.0,78.0
62.4,45,107.6,100,72.6,80.0,78.0
62.4,45,119.5,100,72.6,80.0,78.0
62.4,45,113.3,100,72.5,80.0,78.0
61.6,45,115.9,100,72.4,80.0,78.0
62.4,45,105.1,100,72.4,80.0,78.0
62.4,45,117.4,100,72.4,80.0,78.0
62.4,45,117.4,100,72.6,80.0,78.0
62.4,45,113.9,100,72.6,80.0,78.0
61.6,45,104.3,100,72.7,80.0,78.0
61.6,45,116.6,100,72.7,80.0,78.0
61.6,45,118.3,100,72.7,80.0,78.0
61.6,45,108.6,100,72.7,80.0,78.0
61.6,45,114.9,100,72.7,80.0,78.0
61.6,45,118.3,100,72.5,80.0,78.0
61.6,45,118.3,100,72.4,80.0,78.0
61.6,45,112.7,100,72.6,80.0,78.0
62.4,45,106.9,100,72.5,80.0,78.0
61.4,45,104.4,100,72.6,80.0,78.0
61.4,47,106.7,100,72.4,80.0,78.0
59.2,44,113.2,100,72.5,80.0,78.0
60.6,47,113.2,100,72.6,80.0,78.0
61.4,47,116.6,100,72.3,80.0,78.0
61.4,47,116.6,100,72.3,80.0,78.0
62.2,47,116.6,100,72.2,80.0,78.0
61.4,47,118.3,100,72.8,80.0,78.0
61.4,47,119.5,100,72.4,80.0,78.0
61.4,47,106.0,100,72.3,80.0,78.0
61.4,47,104.7,100,72.2,80.0,78.0
61.4,47,108.5,100,72.2,80.0,78.0
61.4,47,105.2,100,72.2,80.0,78.0
61.4,47,105.2,100,72.1,80.0,78.0
61.4,47,110.5,100,72.1,80.0,78.0
61.4,47,116.6,100,72.1,80.0,78.0
61.4,47,116.6,100,72.1,80.0,78.0
60.2,47,116.6,100,72.1,80.0,78.0
61.0,47,118.3,100,72.0,80.0,78.0
66.4,52,98.3,100,72.1,80.0,78.0
62.6,46,104.3,100,72.1,80.0,78.0
62.6,46,115.8,100,71.9,80.0,78.0
62.6,46,114.5,100,71.7,79.7,76.7
61.8,46,106.0,100,71.6,79.7,76.7
61.8,46,115.0,100,71.6,79.7,76.7
61.8,46,117.4,100,71.8,79.7,76.7
63.0,46,117.4,100,72.1,79.7,76.7
61.8,46,117.4,100,72.2,79.7,76.7
61.8,46,117.4,100,72.2,79.7,76.7
61.8,46,117.4,100,72.3,79.8,76.8
61.8,46,117.4,100,72.4,79.9,76.9
61.8,46,117.4,100,72.4,79.9,76.9
62.6,46,117.4,100,72.4,79.9,76.9
62.6,46,119.5,100,72.6,79.9,76.9
62.6,46,111.1,100,72.6,79.9,76.9
61.4,46,106.0,100,72.6,79.9,76.9
61.4,46,104.4,100,72.6,79.9,76.9
61.4,46,104.4,100,72.6,79.9,76.9
61.4,46,104.4,100,72.7,79.9,76.9
61.4,46,107.2,100,72.7,79.9,76.9
61.4,46,105.8,100,72.7,79.9,76.9
61.4,46,104.4,100,72.7,79.9,76.9
61.4,46,104.4,100,72.7,79.9,76.9
61.4,46,104.4,100,72.7,79.9,76.9
61.4,46,104.4,100,72.7,79.9,76.9
59.6,46,106.0,100,72.7,79.9,76.9
58.6,46,113.2,100,72.7,79.9,76.9
58.6,46,105.2,100,72.6,79.9,76.9
58.6,46,106.9,100,72.6,79.9,76.9
58.6,46,105.6,100,72.6,79.9,76.9
58.0,46,107.7,100,72.6,79.9,76.9
61.4,44,104.4,100,72.6,79.9,76.9
61.4,44,104.4,100,72.6,79.9,76.9
61.4,44,115.0,100,72.6,79.9,76.9
61.4,44,117.4,100,72.7,79.9,76.9
61.4,44,117.4,100,72.7,79.9,76.9
60.6,44,117.4,100,72.7,79.9,76.9
60.6,44,117.4,100,72.7,79.9,76.9
60.6,44,117.4,100,72.7,79.9,76.9
61.4,44,117.4,100,72.7,79.9,76.9
61.4,44,117.4,100,72.7,79.9,76.9
61.4,44,117.4,100,72.8,79.9,76.9
61.4,44,117.4,100,72.8,79.9,76.9
61.4,44,115.1,100,72.8,79.9,76.9
61.4,44,116.6,100,72.8,79.9,76.9
61.4,44,116.6,100,72.8,79.9,76.9
61.4,44,116.6,100,72.8,79.9,76.9
61.4,44,116.6,100,72.8,79.9,76.9
59.8,44,116.6,100,72.8,79.9,76.9
59.8,44,118.3,100,72.8,79.9,76.9
59.8,44,119.5,100,72.9,79.9,76.9
59.8,44,110.0,100,72.9,79.9,76.9
60.4,44,105.2,100,72.9,79.9,76.9
60.4,44,117.4,100,72.9,79.9,76.9
57.2,44,120.6,100,72.9,79.9,76.9
57.2,44,120.6,100,72.9,79.9,76.9
57.2,44,114.2,100,72.8,79.9,76.9
57.2,44,111.8,100,72.8,79.9,76.9
56.6,44,115.1,100,72.8,79.9,76.9
58.4,44,120.6,100,72.9,79.9,76.9
58.4,44,120.6,100,72.9,79.9,76.9
58.4,44,120.6,100,72.9,79.9,76.9
61.2,44,120.6,100,72.9,79.9,76.9
61.2,44,111.9,100,72.9,79.9,76.9
60.4,44,109.2,100,72.9,79.9,76.9
60.4,44,111.0,100,72.9,79.9,76.9
61.4,44,111.0,100,72.9,79.9,76.9
61.4,44,106.9,100,72.9,79.9,76.9
61.4,44,106.9,100,72.9,79.9,76.9
61.4,44,113.5,100,72.9,79.9,76.9
60.6,44,111.1,100,72.9,79.9,76.9
61.4,44,108.9,100,72.9,79.9,76.9
61.4,44,106.9,100,72.9,79.9,76.9
59.8,44,104.4,100,72.9,79.9,76.9
59.8,46,104.4,100,72.9,79.9,76.9
59.8,46,105.9,100,72.9,79.9,76.9
60.6,46,119.5,100,72.8,79.9,76.9
61.8,46,117.4,100,72.8,79.9,76.9
61.8,45,117.4,100,72.9,79.9,76.9
61.8,45,115.8,100,72.9,79.9,76.9
61.8,45,115.8,100,72.9,79.9,76.9
61.8,45,115.8,100,73.0,79.9,76.9
61.8,45,115.8,100,73.1,79.9,76.9
61.8,45,113.3,100,73.1,79.9,76.9
60.0,45,113.3,100,73.1,79.9,76.9
59.2,45,113.3,100,73.2,79.9,76.9
60.4,45,113.3,100,73.2,79.9,76.9
60.4,45,113.3,100,73.2,79.9,76.9
59.4,45,109.9,100,73.2,79.9,76.9
59.4,45,113.1,100,73.3,79.9,76.9
59.4,45,116.6,100,73.3,79.9,76.9
60.4,45,116.6,100,73.3,79.9,76.9
60.4,45,116.6,100,73.3,79.9,76.9
60.4,45,116.6,100,73.4,79.9,76.9
60.4,45,116.6,100,73.4,79.9,76.9
60.4,45,116.6,100,73.4,79.9,76.9
60.4,45,107.8,100,73.5,79.9,76.9
60.4,45,118.3,100,73.7,79.9,76.9
60.4,45,119.5,100,73.6,79.9,76.9
60.4,45,111.0,100,73.6,79.9,76.9
60.4,45,105.2,100,73.6,79.9,76.9
61.6,45,105.2,100,73.7,79.9,76.9
61.6,45,107.6,100,73.7,79.9,76.9
61.6,45,110.9,100,73.7,79.9,76.9
60.8,45,116.7,100,73.7,79.9,76.9
60.8,45,115.1,100,73.7,79.9,76.9
60.8,45,106.1,100,73.7,79.9,76.9
60.8,45,116.3,100,73.7,79.9,76.9
60.8,45,118.3,100,73.6,79.9,76.9
60.8,45,110.3,100,73.6,79.9,76.9
60.8,45,105.5,100,73.5,79.9,76.9
60.8,45,104.4,100,73.1,79.9,76.9
60.8,45,109.1,100,72.9,79.9,76.9
60.8,45,116.6,100,72.7,79.9,76.9
60.8,45,116.6,100,73.1,79.9,76.9
60.8,45,116.6,100,74.0,79.9,76.9
60.8,45,116.6,100,74.7,79.9,76.9
60.8,45,118.3,100,75.0,79.9,76.9
60.8,45,103.8,100,74.6,79.9,76.9
60.8,45,109.2,100,74.5,79.9,76.9
60.8,45,109.2,100,74.3,79.9,76.9
60.8,45,106.8,100,74.3,79.9,76.9
60.8,45,115.0,100,73.7,79.9,76.9
60.8,45,118.3,100,73.6,79.9,76.9
60.8,45,118.3,100,73.4,79.9,76.9
60.8,45,114.0,100,73.3,79.9,76.9
60.8,45,109.4,100,73.4,79.9,76.9
60.8,45,106.9,100,73.7,80.0,78.0
60.8,45,115.8,100,73.5,80.0,78.0
60.8,45,113.5,100,73.9,80.0,78.0
60.8,45,110.2,100,74.0,80.0,78.0
60.8,45,106.3,100,74.2,80.0,78.0
60.8,45,105.1,100,73.8,80.0,78.0
60.8,45,114.2,100,74.0,80.0,78.0
60.8,45,111.7,100,74.0,80.0,78.0
60.8,45,115.8,100,74.2,80.0,78.0
60.8,45,118.3,100,74.3,80.0,78.0
57.6,45,114.2,100,74.5,80.0,78.0
57.6,45,119.5,100,74.5,80.0,78.0
57.6,45,121.4,100,74.5,80.0,78.0
57.6,45,113.3,100,74.5,80.0,78.0
58.2,45,117.4,100,74.5,80.0,78.0
58.2,45,120.6,100,74.3,80.0,78.0
57.4,45,120.6,100,74.4,80.0,78.0
57.4,45,108.7,100,74.4,80.0,78.0
57.4,45,111.6,100,74.5,80.0,78.0
58.2,45,117.4,100,74.5,80.0,78.0
59.0,45,117.4,100,74.5,80.0,78.0
58.4,45,117.4,100,74.5,80.0,78.0
58.4,45,119.5,100,74.5,80.0,78.0
60.0,45,119.5,100,74.5,80.0,78.0
61.0,45,114.4,100,74.6,80.0,78.0
61.0,45,111.7,100,74.6,80.0,78.0
61.0,45,106.9,100,74.8,80.0,78.0
61.0,45,110.3,100,74.8,80.0,78.0
61.0,45,116.6,100,74.8,80.0,78.0
61.0,45,114.4,100,74.8,80.0,78.0
61.0,45,105.2,100,74.7,80.0,78.0
61.0,45,118.3,100,74.6,80.0,78.0
61.8,45,103.7,100,74.7,80.0,78.0
61.8,45,113.0,100,74.6,80.0,78.0
61.8,45,118.3,100,74.6,80.0,78.0
60.2,45,113.4,100,74.6,80.0,78.0
61.8,45,104.4,100,74.6,80.0,78.0
61.8,45,117.4,100,74.6,80.0,78.0
61.8,45,102.8,100,74.6,80.0,78.0
