AirFlowNormalized,AirValvePosition,DischargeAirTemp,SpaceTemp,SpaceTempHeatingSetpointActive
101.1538,32,59.5,64.9,63.0
101.1538,32,55.2,65.0,63.0
100.0,32,59.1,65.0,63.0
101.1538,32,55.6,65.0,63.0
102.3077,32,58.7,64.9,63.0
102.3077,32,57.6,64.9,63.0
100.0,32,57.6,64.9,63.0
101.1538,32,59.6,65.0,63.0
101.1538,32,56.0,65.0,63.0
100.0,32,59.5,65.1,63.0
100.0,32,56.8,64.9,63.0
100.0,32,56.8,64.8,63.0
101.1538,32,59.3,64.9,63.0
102.3077,32,56.0,64.9,63.0
100.0,32,59.1,64.9,63.0
101.1538,32,57.6,65.0,63.0
98.8462,32,57.6,64.8,63.0
101.1538,32,59.6,64.9,63.0
102.3077,32,55.8,64.8,63.0
100.0,32,58.3,64.6,63.0
101.1538,32,58.3,64.7,63.0
102.3077,32,56.3,64.8,63.0
100.0,32,59.5,64.8,63.0
102.6923,32,57.2,64.8,63.0
102.6923,32,57.2,64.7,63.0
102.6923,32,59.5,64.7,63.0
103.8462,32,56.4,64.6,63.0
102.3077,32,58.3,64.6,63.0
101.1538,32,59.2,64.7,63.0
102.6923,32,56.0,64.6,63.0
102.6923,32,59.1,64.7,63.0
102.6923,32,57.6,64.6,63.0
101.1538,32,57.0,64.6,63.0
102.3077,32,59.5,64.6,63.0
103.8462,32,56.4,64.6,63.0
101.1538,32,58.3,64.3,63.0
102.3077,32,58.3,64.4,63.0
102.3077,32,55.9,64.4,63.0
102.3077,32,59.1,64.4,63.0
103.8462,32,56.4,64.5,63.0
102.6923,32,57.5,64.5,63.0
103.8462,32,58.8,64.5,63.0
103.8462,32,56.0,64.5,63.0
102.3077,32,59.1,64.6,63.0
102.3077,32,57.2,64.6,63.0
101.1538,32,57.2,64.5,63.0
101.1538,32,59.4,64.5,63.0
102.3077,32,55.9,64.6,63.0
102.3077,32,58.3,64.6,63.0
93.8462,31,57.6,64.8,63.0
93.8462,31,55.9,64.8,63.0
96.5385,32,59.5,64.6,63.0
97.6923,32,57.2,64.6,63.0
96.5385,32,56.3,64.6,63.0
96.5385,32,59.5,64.6,63.0
98.8462,32,56.4,64.6,63.0
96.1538,32,57.2,64.5,63.0
96.1538,32,59.2,64.6,63.0
96.1538,32,55.6,64.6,63.0
95.0,32,58.7,64.4,63.0
96.1538,32,58.0,64.5,63.0
96.1538,32,56.3,64.4,63.0
95.0,32,59.1,64.5,63.0
96.5385,32,57.6,64.5,63.0
95.0,32,56.7,64.4,63.0
96.1538,32,59.5,64.4,63.0
97.6923,32,57.2,64.6,63.0
95.0,32,57.2,64.5,63.0
96.1538,32,59.7,64.6,63.0
96.1538,32,56.8,64.5,63.0
96.1538,32,57.5,64.5,63.0
96.1538,32,59.6,64.6,63.0
96.1538,32,56.8,64.6,63.0
96.1538,32,57.9,64.6,63.0
96.1538,32,59.5,64.6,63.0
97.6923,32,56.8,64.7,63.0
96.1538,32,57.5,64.7,63.0
96.1538,32,59.5,64.7,63.0
96.1538,32,56.4,64.6,63.0
96.1538,32,57.4,64.4,63.0
96.1538,32,59.5,64.6,63.0
96.1538,32,56.8,64.8,63.0
96.1538,32,57.5,64.8,63.0
96.1538,32,59.5,64.9,63.0
96.1538,32,56.4,64.9,63.0
96.1538,32,57.5,65.0,63.0
96.1538,32,59.5,65.0,63.0
96.1538,32,56.8,65.1,63.0
96.1538,32,57.4,65.1,63.0
96.1538,32,59.5,65.0,63.0
96.1538,32,56.8,65.0,63.0
96.1538,32,57.5,65.0,63.0
95.0,32,59.5,65.0,63.0
96.1538,32,56.3,64.9,63.0
95.0,32,58.3,64.9,63.0
96.5385,32,58.3,65.0,63.0
96.5385,32,56.0,65.0,63.0
96.5385,32,58.7,65.0,63.0
96.5385,32,58.7,65.1,63.0
96.5385,32,56.0,65.1,63.0
95.0,32,58.7,64.9,63.0
106.1539,34,58.7,64.8,63.0
102.3077,33,56.0,64.8,63.0
102.3077,33,57.9,64.8,63.0
101.1538,33,59.5,64.8,63.0
101.1538,33,56.4,64.7,63.0
100.0,33,57.1,64.7,63.0
101.1538,33,59.5,64.8,63.0
102.3077,33,56.4,64.8,63.0
102.3077,33,57.5,64.8,63.0
102.3077,33,59.5,64.8,63.0
100.0,33,56.8,64.7,63.0
102.3077,33,56.8,64.8,63.0
101.1538,33,59.5,64.7,63.0
101.1538,33,57.2,64.8,63.0
100.0,33,57.2,64.7,63.0
102.3077,33,59.1,64.7,63.0
102.3077,33,57.6,64.8,63.0
101.1538,33,56.3,64.7,63.0
100.0,33,58.8,64.8,63.0
101.1538,33,58.8,64.7,63.0
101.1538,33,56.1,64.7,63.0
101.1538,33,58.3,64.7,63.0
101.1538,33,58.3,64.7,63.0
102.3077,33,56.3,64.7,63.0
101.1538,33,57.9,64.6,63.0
101.1538,33,59.5,64.7,63.0
102.3077,33,56.4,64.7,63.0
100.0,33,57.1,64.6,63.0
102.3077,33,59.5,64.7,63.0
102.3077,33,56.8,64.7,63.0
102.3077,33,56.8,64.6,63.0
100.0,33,59.2,64.6,63.0
102.3077,33,57.2,64.6,63.0
102.3077,33,57.2,64.6,63.0
101.1538,33,59.5,64.6,63.0
102.6923,33,56.4,64.7,63.0
102.6923,33,56.4,64.6,63.0
102.6923,33,59.2,64.6,63.0
105.0,33,55.8,64.6,63.0
101.1538,33,57.5,64.6,63.0
103.8462,33,58.8,64.6,63.0
105.0,33,55.6,64.7,63.0
102.3077,33,58.3,64.6,63.0
103.8462,33,57.6,64.7,63.0
102.3077,33,55.9,64.7,63.0
102.3077,33,59.5,64.8,63.0
102.3077,33,55.6,64.8,63.0
100.0,33,57.9,64.7,63.0
102.6923,33,57.9,64.8,63.0
101.1538,33,55.9,64.7,63.0
101.1538,33,59.5,64.8,63.0
101.1538,33,55.6,64.8,63.0
101.1538,33,59.1,64.8,63.0
102.6923,33,56.4,64.8,63.0
101.1538,33,57.1,64.8,63.0
102.6923,33,59.0,65.0,63.0
102.6923,33,55.6,64.9,63.0
102.6923,33,59.1,64.9,63.0
103.8462,33,57.6,65.0,63.0
101.1538,33,57.0,65.0,63.0
102.3077,33,59.6,65.0,63.0
102.3077,33,56.4,65.1,63.0
102.3077,33,57.9,65.0,63.0
102.3077,33,58.8,65.1,63.0
102.3077,33,56.0,65.1,63.0
102.3077,33,58.8,65.0,63.0
102.3077,33,58.0,65.0,63.0
102.3077,33,56.3,65.0,63.0
102.3077,33,59.1,65.1,63.0
102.3077,33,57.2,65.1,63.0
101.1538,33,56.6,65.1,63.0
102.3077,33,59.5,65.1,63.0
102.3077,33,56.8,65.1,63.0
102.3077,33,56.8,65.0,63.0
101.1538,33,59.5,65.0,63.0
102.6923,33,56.0,65.0,63.0
102.6923,33,58.7,65.0,63.0
102.6923,33,58.7,65.1,63.0
102.6923,33,56.0,65.0,63.0
102.6923,33,59.5,65.1,63.0
102.6923,33,56.4,65.1,63.0
102.6923,33,57.5,65.0,63.0
102.6923,33,59.2,65.0,63.0
102.6923,33,55.6,65.0,63.0
100.0,33,58.3,65.0,63.0
102.3077,33,58.3,65.1,63.0
102.3077,33,56.0,65.0,63.0
102.3077,33,59.1,65.1,63.0
102.3077,33,56.9,65.1,63.0
101.1538,33,56.9,65.0,63.0
102.3077,33,59.5,64.9,63.0
102.3077,33,56.0,64.9,63.0
101.1538,33,58.3,65.0,63.0
102.3077,33,58.3,65.1,63.0
102.3077,33,56.3,65.0,63.0
102.3077,33,59.1,65.1,63.0
102.3077,33,57.2,65.1,63.0
102.3077,33,57.2,64.9,63.0
102.3077,33,59.5,64.8,63.0
102.3077,33,56.0,64.9,63.0
102.3077,33,58.3,64.9,63.0
102.3077,33,58.3,65.0,63.0
102.3077,33,56.3,65.0,63.0
102.3077,33,59.5,64.9,63.0
102.3077,33,56.8,65.0,63.0
102.3077,33,56.8,65.0,63.0
102.3077,33,59.5,65.0,63.0
102.3077,33,56.3,65.0,63.0
102.3077,33,57.5,65.0,63.0
102.3077,33,59.2,65.0,63.0
101.1538,33,55.6,64.9,63.0
101.1538,33,58.3,64.8,63.0
102.6923,33,58.3,64.8,63.0
101.1538,33,56.0,64.9,63.0
102.3077,33,58.7,65.0,63.0
102.3077,33,58.0,65.0,63.0
102.3077,33,56.3,64.9,63.0
102.3077,33,59.5,64.9,63.0
102.3077,33,56.8,64.9,63.0
102.3077,33,57.6,64.8,63.0
102.3077,33,59.2,64.8,63.0
102.3077,33,56.0,64.8,63.0
101.1538,33,58.3,64.8,63.0
102.6923,33,58.3,65.0,63.0
101.1538,33,55.9,65.0,63.0
102.3077,33,59.5,64.9,63.0
103.8462,33,56.4,65.0,63.0
98.8462,33,57.1,64.9,63.0
103.8462,33,59.2,65.0,63.0
102.6923,33,55.3,64.9,63.0
101.1538,33,58.7,65.0,63.0
102.6923,33,56.8,65.0,63.0
102.6923,33,56.8,64.9,63.0
103.8462,33,57.9,65.0,63.0
102.6923,33,55.9,65.0,63.0
102.6923,33,59.2,65.0,63.0
102.6923,33,55.2,65.0,63.0
102.6923,33,59.1,64.9,63.0
102.6923,33,54.7,64.8,63.0
101.1538,33,59.1,64.8,63.0
102.3077,33,54.3,64.9,63.0
102.3077,33,59.1,64.8,63.0
102.3077,33,55.0,64.9,63.0
102.3077,33,59.5,65.0,63.0
102.3077,33,54.7,65.0,63.0
102.3077,33,59.2,65.1,63.0
102.3077,33,55.5,65.2,63.0
102.3077,33,58.0,65.3,63.0
100.0,33,57.1,65.2,63.0
103.8462,33,56.0,65.1,63.0
101.1538,33,58.3,64.9,63.0
102.3077,33,55.2,64.9,63.0
102.3077,33,59.5,64.8,63.0
102.3077,33,54.8,65.0,63.0
101.1538,33,59.6,65.1,63.0
102.3077,33,55.5,65.1,63.0
102.3077,33,58.8,65.1,63.0
102.3077,33,56.7,65.0,63.0
102.3077,33,58.1,65.0,63.0
101.1538,33,57.0,65.1,63.0
102.3077,33,58.0,65.2,63.0
100.0,33,57.1,65.2,63.0
102.3077,33,58.8,65.3,63.0
102.3077,33,56.3,65.3,63.0
100.0,33,59.6,65.3,63.0
101.1538,33,56.0,65.3,63.0
100.0,33,59.5,65.4,63.0
101.1538,33,56.4,65.3,63.0
101.1538,33,57.9,65.4,63.0
102.3077,33,57.9,65.4,63.0
102.3077,33,56.4,65.3,63.0
101.1538,33,59.5,65.4,63.0
102.6923,33,56.8,65.3,63.0
102.6923,33,57.9,65.2,63.0
102.6923,33,59.2,65.3,63.0
102.6923,33,56.4,65.3,63.0
100.0,33,59.1,65.2,63.0
102.3077,33,58.2,65.3,63.0
102.3077,33,56.7,65.3,63.0
102.3077,33,59.5,65.3,63.0
102.3077,33,57.2,65.1,63.0
102.3077,33,57.2,65.1,63.0
101.1538,33,59.5,65.2,63.0
102.3077,33,57.2,65.2,63.0
101.1538,33,57.2,65.1,63.0
101.1538,33,59.1,65.2,63.0
102.3077,33,58.0,65.2,63.0
102.3077,33,56.4,65.2,63.0
101.1538,33,58.3,65.0,63.0
101.1538,33,59.5,65.0,63.0
102.6923,33,57.2,65.1,63.0
102.6923,33,57.2,65.1,63.0
101.1538,33,59.0,65.1,63.0
102.3077,33,58.4,65.1,63.0
101.1538,33,56.4,65.1,63.0
102.3077,33,58.3,65.0,63.0
102.3077,33,58.3,65.0,63.0
103.8462,33,56.4,64.8,63.0
102.3077,33,58.0,64.8,63.0
101.1538,33,59.2,64.9,63.0
102.6923,33,57.2,64.9,63.0
102.6923,33,57.2,64.8,63.0
102.6923,33,59.1,64.8,63.0
102.6923,33,58.3,64.9,63.0
102.6923,33,56.4,64.8,63.0
102.6923,33,57.9,64.7,63.0
102.6923,33,59.1,64.7,63.0
102.6923,33,57.6,64.8,63.0
102.6923,33,56.7,64.8,63.0
102.6923,33,58.3,64.8,63.0
102.6923,33,59.1,64.8,63.0
102.6923,33,57.2,64.7,63.0
102.6923,33,57.2,64.6,63.0
