AirFlowNormalized,AirValvePosition,DischargeAirTemp,HeatOutput,SpaceTemp
61.4545,59,106.8,100,68.7
62.5455,59,103.5,100,68.7
60.1818,59,108.4,100,68.7
61.4545,59,103.5,100,68.6
61.4545,59,95.3,100,68.4
62.5455,59,95.3,100,68.5
61.4545,59,106.8,100,68.6
61.4545,59,95.7,100,68.6
61.4545,59,94.2,100,68.6
61.4545,59,108.7,100,68.7
60.1818,59,107.6,100,68.7
61.4545,59,95.3,100,68.7
61.4545,59,104.9,100,68.7
61.4545,59,94.9,100,68.7
61.4545,59,107.6,100,68.7
61.4545,59,101.5,100,68.7
60.1818,59,106.7,100,68.6
61.4545,59,94.2,100,68.4
61.4545,59,107.5,100,68.5
61.4545,59,107.5,100,68.6
61.4545,59,107.5,100,68.6
61.4545,59,95.4,100,68.6
61.4545,59,106.7,100,68.6
61.4545,59,108.4,100,68.4
61.4545,59,95.2,100,68.4
61.4545,59,102.7,100,68.4
61.4545,59,107.9,100,68.4
61.4545,59,107.9,100,68.5
58.9091,59,107.9,100,68.5
58.9091,59,100.7,100,68.6
60.1818,59,96.2,100,68.4
61.4545,59,94.2,100,68.3
61.4545,59,98.9,100,68.4
61.4545,59,101.0,100,68.4
61.4545,59,105.8,100,68.4
61.4545,59,105.8,100,68.4
61.4545,59,105.8,100,68.4
61.4545,59,107.6,100,68.4
61.4545,59,107.6,100,68.5
62.5455,59,98.5,100,68.5
61.4545,59,97.3,100,68.6
61.4545,59,101.3,100,68.6
61.4545,59,97.2,100,68.6
61.4545,59,95.9,100,68.6
61.4545,59,95.9,100,68.6
60.1818,59,104.7,100,68.6
61.4545,59,106.6,100,68.6
61.4545,59,106.6,100,68.6
61.4545,59,106.6,100,68.6
60.1818,59,93.6,100,68.6
58.9091,59,96.0,100,68.6
58.9091,59,105.1,100,68.6
58.9091,59,110.1,100,68.6
58.9091,59,99.1,100,68.6
58.9091,59,104.2,100,68.6
57.6364,59,108.4,100,68.6
58.9091,59,108.4,100,68.3
58.9091,59,108.4,100,68.4
58.9091,59,108.4,100,68.3
58.9091,59,108.4,100,68.4
58.9091,59,108.4,100,68.3
58.9091,59,108.4,100,68.4
58.9091,59,108.4,100,68.4
58.9091,59,108.4,100,68.4
58.9091,59,106.9,100,68.4
58.9091,59,99.7,100,68.4
58.9091,59,97.2,100,68.4
58.9091,59,97.2,100,68.4
58.9091,59,96.0,100,68.4
58.9091,59,101.3,100,68.4
58.9091,59,98.6,100,68.4
58.9091,59,97.2,100,68.4
58.9091,59,96.0,100,68.4
58.9091,59,97.9,100,68.4
58.9091,59,96.0,100,68.4
58.9091,59,96.0,100,68.4
58.9091,59,98.2,100,68.4
58.9091,59,96.0,100,68.4
58.9091,59,98.5,100,68.4
58.9091,59,97.4,100,68.4
58.9091,59,100.2,100,68.4
58.9091,59,96.6,100,68.4
60.1818,59,96.6,100,68.4
57.6364,59,103.7,100,68.4
57.6364,59,108.4,100,68.4
57.6364,59,108.4,100,68.4
58.9091,59,108.4,100,68.4
58.9091,59,108.4,100,68.4
61.4545,59,106.8,100,68.4
62.5455,59,106.8,100,68.4
62.5455,59,106.8,100,68.4
62.5455,59,106.8,100,68.4
61.4545,59,106.8,100,68.4
61.4545,59,105.1,100,68.4
61.4545,59,105.1,100,68.5
61.4545,59,105.1,100,68.5
61.4545,59,105.1,100,68.5
62.5455,59,105.1,100,68.5
62.5455,59,106.8,100,68.5
61.4545,59,106.8,100,68.5
62.5455,59,106.8,100,68.5
58.9091,55,101.8,100,68.4
58.9091,55,96.9,100,68.3
58.9091,55,106.8,100,68.2
58.9091,55,106.8,100,68.3
58.9091,55,108.4,100,68.3
58.9091,55,108.4,100,68.2
58.9091,55,104.5,100,68.2
58.9091,55,107.8,100,68.3
60.1818,55,107.8,100,68.3
58.9091,55,107.8,100,68.3
58.9091,55,107.8,100,68.3
60.1818,55,107.8,100,68.4
60.1818,55,106.1,100,68.4
60.1818,55,100.9,100,68.4
60.1818,55,104.5,100,68.4
60.1818,55,104.5,100,68.4
60.1818,55,98.1,100,68.4
61.4545,55,99.7,100,68.3
61.4545,55,106.9,100,68.3
