AirFlowNormalized,AirValvePosition,DischargeAirTemp,HeatOutput,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
102.6316,56,69.6,100,66.4,69.5,66.5
100.5263,56,67.2,100,66.6,69.5,66.5
102.6316,56,70.5,100,66.6,69.5,66.5
100.5263,56,66.7,100,66.5,69.5,66.5
98.1579,56,58.8,100,66.1,69.5,66.5
100.5263,56,57.9,100,65.5,69.5,66.5
102.6316,56,56.4,100,65.0,69.5,66.5
102.6316,56,57.2,100,64.9,69.5,66.5
100.5263,56,59.9,100,64.8,69.5,66.5
100.5263,56,67.2,100,65.5,69.5,66.5
100.5263,56,71.6,100,66.2,69.5,66.5
100.5263,56,65.8,100,66.1,69.5,66.5
100.5263,56,67.8,100,66.2,69.5,66.5
100.5263,56,67.8,100,66.4,69.5,66.5
100.5263,56,70.5,100,66.6,69.5,66.5
102.6316,56,66.7,100,66.6,69.5,66.5
102.6316,56,58.1,100,66.0,69.5,66.5
100.5263,56,57.2,100,65.3,69.5,66.5
102.6316,56,57.2,100,65.0,69.5,66.5
100.5263,56,57.2,100,64.7,69.5,66.5
100.5263,56,63.2,100,64.9,69.5,66.5
100.5263,56,67.3,100,65.7,69.5,66.5
100.5263,56,67.3,100,65.9,69.5,66.5
102.6316,56,70.1,100,66.2,69.5,66.5
100.5263,56,65.8,100,66.3,69.5,66.5
100.5263,56,66.7,100,66.3,69.5,66.5
100.5263,56,70.1,100,66.6,69.5,66.5
100.5263,56,70.1,100,66.7,69.5,66.5
102.6316,56,70.1,100,66.7,69.5,66.5
100.5263,56,70.1,100,66.7,69.5,66.5
102.6316,56,67.7,100,66.6,69.5,66.5
100.5263,56,58.8,100,66.1,69.5,66.5
100.5263,56,56.8,100,65.3,69.5,66.5
102.6316,56,56.8,100,65.0,69.5,66.5
102.6316,56,56.8,100,64.6,69.5,66.5
102.6316,56,63.6,100,64.9,69.5,66.5
100.5263,56,72.4,100,65.8,69.5,66.5
100.5263,56,70.5,100,66.1,69.5,66.5
100.5263,56,70.5,100,66.3,69.5,66.5
100.5263,56,68.7,100,66.2,69.5,66.5
102.6316,56,68.7,100,66.4,69.5,66.5
102.6316,56,68.7,100,66.4,69.5,66.5
102.6316,56,68.7,100,66.5,69.5,66.5
100.5263,56,67.3,100,66.6,69.5,66.5
100.5263,56,66.5,100,66.6,69.5,66.5
100.5263,56,66.5,100,66.7,69.5,66.5
100.5263,56,58.0,100,65.8,69.5,66.5
102.6316,56,56.0,100,65.1,69.5,66.5
105.0,56,56.7,100,64.8,69.5,66.5
98.1579,55,56.7,100,64.6,69.5,66.5
98.1579,55,63.2,100,65.2,69.5,66.5
98.1579,55,68.6,100,65.8,69.5,66.5
96.0526,55,72.4,100,66.2,69.5,66.5
98.1579,55,70.8,100,66.3,69.5,66.5
98.1579,55,67.3,100,66.1,69.5,66.5
98.1579,55,72.0,100,66.2,69.5,66.5
96.0526,55,72.0,100,66.4,69.5,66.5
98.1579,55,72.0,100,66.4,69.5,66.5
96.0526,55,72.0,100,66.5,69.5,66.5
96.0526,55,72.0,100,66.5,69.5,66.5
98.1579,55,72.0,100,66.5,69.5,66.5
100.5263,55,72.0,100,66.5,69.5,66.5
100.5263,55,72.0,100,66.6,69.5,66.5
