AirFlowNormalized,AirValvePosition,DischargeAirTemp,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
98.2,57,55.1,65.0,60.6,57.6
97.0,57,55.1,65.0,60.6,57.6
98.2,57,55.1,64.8,60.6,57.6
98.2,57,55.1,64.8,60.6,57.6
98.2,57,55.9,64.8,60.6,57.6
97.0,57,55.9,64.8,60.6,57.6
98.2,57,55.2,64.8,60.6,57.6
98.2,57,55.8,64.8,60.6,57.6
98.2,57,55.8,64.7,60.6,57.6
98.2,57,55.2,64.6,60.6,57.6
98.2,57,55.2,64.6,60.6,57.6
98.2,57,55.2,64.5,60.6,57.6
98.2,57,55.2,64.5,60.6,57.6
98.2,57,55.2,64.6,60.6,57.6
98.2,57,55.2,64.6,60.6,57.6
98.2,57,55.2,64.6,60.6,57.6
98.2,57,55.2,64.4,60.6,57.6
98.2,57,55.2,64.4,60.6,57.6
98.2,57,55.2,64.4,60.6,57.6
100.0,57,55.2,64.3,60.6,57.6
99.0,57,55.2,64.3,60.6,57.6
99.0,57,55.2,64.3,60.6,57.6
99.0,57,55.2,64.4,60.6,57.6
99.0,57,55.2,64.4,60.6,57.6
97.0,57,55.2,64.3,60.6,57.6
99.0,57,55.2,64.3,60.6,57.6
99.0,57,55.2,64.2,60.6,57.6
99.0,57,55.2,64.2,60.6,57.6
99.0,57,55.2,64.2,60.6,57.6
99.0,57,55.2,64.1,60.6,57.6
99.0,57,55.2,64.1,60.6,57.6
99.0,57,55.2,64.2,60.6,57.6
99.0,57,55.2,64.2,60.6,57.6
99.0,57,55.2,64.2,60.6,57.6
99.0,57,55.2,64.1,60.6,57.6
99.0,57,55.2,64.1,60.6,57.6
99.0,57,55.2,64.1,60.6,57.6
99.0,57,55.2,64.1,60.6,57.6
99.0,57,55.9,64.0,60.6,57.6
99.0,57,54.3,64.0,60.6,57.6
99.0,57,55.3,64.1,60.6,57.6
99.0,57,54.3,64.1,60.6,57.6
99.0,57,55.2,64.0,60.6,57.6
99.0,57,55.2,64.0,60.6,57.6
99.0,57,55.2,64.0,60.6,57.6
99.0,57,55.2,64.0,60.6,57.6
99.0,57,55.2,63.9,60.6,57.6
0.0,0,57.6,64.4,68.4,65.4
0.0,0,59.0,64.6,68.4,65.4
0.0,0,59.0,64.7,68.4,65.4
0.0,0,59.9,64.8,68.4,65.4
0.0,0,59.9,65.0,68.4,65.4
0.0,0,59.9,65.0,68.4,65.4
0.0,0,59.9,65.1,68.4,65.4
0.0,0,60.7,65.1,68.4,65.4
0.0,0,60.7,65.1,68.4,65.4
0.0,0,60.7,65.2,68.4,65.4
0.0,0,60.7,65.3,68.4,65.4
0.0,0,60.7,65.5,68.4,65.4
0.0,0,60.7,65.5,68.4,65.4
0.0,0,60.7,65.5,68.4,65.4
0.0,0,60.7,65.5,68.4,65.4
0.0,0,60.7,65.6,68.4,65.4
0.0,0,60.7,65.6,68.4,65.4
0.0,0,60.7,65.7,68.4,65.4
0.0,0,61.5,65.7,68.4,65.4
0.0,0,61.5,65.7,68.4,65.4
0.0,0,61.5,65.7,68.4,65.4
0.0,0,61.5,65.7,68.4,65.4
0.0,0,61.5,65.8,68.4,65.4
0.0,0,61.5,65.8,68.4,65.4
0.0,0,61.5,66.0,68.4,65.4
0.0,0,61.5,66.0,68.4,65.4
0.0,0,61.5,66.1,68.4,65.4
0.0,0,61.5,66.1,68.4,65.4
0.0,0,61.5,66.2,68.4,65.4
0.0,0,61.5,66.1,68.4,65.4
0.0,0,61.5,66.1,68.4,65.4
0.0,0,61.5,66.1,68.4,65.4
0.0,0,61.5,66.1,68.4,65.4
0.0,0,61.5,66.1,68.4,65.4
0.0,0,61.5,66.1,68.4,65.4
0.0,0,61.5,66.1,68.4,65.4
0.0,0,61.5,66.1,68.4,65.4
0.0,0,61.5,66.1,68.4,65.4
0.0,0,61.5,66.1,68.4,65.4
0.0,0,61.5,66.2,68.4,65.4
0.0,0,61.5,66.2,68.4,65.4
0.0,0,61.5,66.2,68.4,65.4
0.0,0,61.5,66.1,68.4,65.4
0.0,0,61.5,66.2,68.4,65.4
0.0,0,61.5,66.2,68.4,65.4
0.0,0,61.5,66.3,68.4,65.4
0.0,0,61.5,66.2,68.4,65.4
0.0,0,61.5,66.2,68.4,65.4
103.0,58,56.0,67.2,64.3,61.3
95.0,56,55.1,67.1,64.3,61.3
97.0,57,54.5,67.0,64.8,61.8
97.0,57,54.5,66.7,64.6,61.6
97.0,57,54.5,66.6,64.6,61.6
97.0,57,54.5,66.3,64.3,61.3
97.0,57,54.5,66.1,64.3,61.3
97.0,57,53.9,66.1,64.8,61.8
95.0,56,55.1,66.0,64.8,61.8
97.0,57,54.3,65.7,64.9,61.9
98.2,57,54.3,65.7,65.1,62.1
96.2,57,55.1,65.6,65.1,62.1
96.2,56,55.1,65.5,65.0,62.0
94.2,55,55.1,65.3,65.0,62.0
98.2,57,54.3,65.2,64.9,61.9
96.2,55,54.3,65.1,64.9,61.9
94.2,55,54.3,65.1,65.0,62.0
94.2,55,54.3,65.0,65.0,62.0
94.2,55,54.3,65.0,65.0,62.0
94.2,55,54.3,65.0,65.0,62.0
94.2,55,54.3,65.0,65.0,62.0
94.2,55,55.1,64.8,64.9,61.9
93.0,55,55.1,64.7,64.9,61.9
92.0,54,54.3,64.6,64.9,61.9
90.0,54,54.3,64.6,64.9,61.9
87.8,52,54.3,64.7,64.9,61.9
88.8,53,54.3,64.7,65.0,62.0
