AirFlowNormalized,AirValvePosition,DischargeAirTemp,HeatOutput,SpaceTemp
29.25,36,60.0,100,67.7
29.25,36,64.0,100,67.8
28.5,36,65.3,100,67.9
29.25,36,63.3,100,67.9
29.25,36,63.3,100,67.9
31.0,36,63.3,100,67.9
29.25,36,64.4,100,67.9
29.25,36,62.6,100,67.9
29.25,36,62.6,100,68.0
29.25,36,64.8,100,68.1
28.5,36,64.8,100,68.0
29.25,36,62.8,100,68.0
29.25,36,64.0,100,68.0
29.25,36,62.8,100,67.9
28.5,36,64.4,100,67.9
29.25,36,62.4,100,67.9
29.25,36,64.0,100,67.9
28.5,36,62.4,100,67.8
29.25,36,63.9,100,67.8
28.5,36,65.2,100,67.9
29.25,36,64.0,100,67.8
28.5,36,64.0,100,67.8
29.25,36,63.2,100,67.8
28.5,36,64.4,100,67.8
27.25,36,74.4,100,67.7
29.25,36,77.2,100,67.8
29.25,36,77.2,100,67.9
27.25,36,78.2,100,67.9
28.5,36,74.9,100,68.1
29.25,36,73.2,100,68.1
28.5,36,73.2,100,67.9
28.5,36,73.2,100,67.9
27.25,36,76.3,100,68.1
30.0,36,75.3,100,68.0
28.5,36,77.2,100,68.0
29.25,36,77.2,100,68.0
29.25,36,77.2,100,68.1
29.25,36,77.2,100,68.2
28.5,36,55.6,0,68.3
29.25,36,54.3,0,68.2
30.0,36,55.2,0,68.2
29.25,36,54.3,0,68.3
30.0,36,54.3,0,68.2
31.0,36,54.3,0,68.0
30.0,36,54.3,0,68.0
31.0,36,54.3,0,67.9
31.75,36,54.3,0,68.0
30.0,36,54.3,0,68.0
30.0,36,54.3,0,68.0
31.75,36,54.3,0,67.9
31.0,36,54.3,0,67.9
29.25,36,55.5,0,67.9
29.25,36,54.7,0,67.9
31.0,36,54.7,0,67.9
29.25,36,54.7,0,67.9
28.5,36,54.7,100,67.7
30.0,36,54.7,100,67.4
29.25,36,54.7,100,67.6
28.5,36,54.7,100,67.6
29.25,36,55.5,100,67.6
29.25,36,58.3,100,67.6
30.0,36,60.3,100,67.6
28.5,36,64.4,100,67.7
28.5,36,76.3,100,67.7
28.5,36,75.4,100,67.8
29.25,36,73.5,100,67.8
29.25,36,73.5,100,67.9
28.5,36,72.2,100,68.1
28.5,36,72.2,100,68.1
28.5,36,72.2,100,68.1
29.25,36,55.2,0,68.2
28.5,36,54.3,0,67.9
27.25,36,54.3,0,67.9
29.25,36,54.3,0,67.9
29.25,36,54.3,0,67.7
29.25,36,54.3,0,67.8
29.25,36,54.3,0,68.1
28.5,36,54.3,0,68.1
28.5,36,55.1,0,67.9
29.25,36,55.1,0,67.9
30.0,36,55.1,100,67.7
29.25,36,55.1,100,68.1
29.25,36,55.1,100,67.9
30.0,36,55.1,100,67.8
29.25,36,55.1,100,67.7
29.25,36,55.1,100,67.7
30.0,36,55.1,100,67.7
31.0,36,53.9,100,67.7
31.0,36,53.9,100,67.7
28.5,36,53.9,100,67.7
30.0,36,53.9,100,67.7
30.0,36,57.6,100,67.7
31.0,36,57.6,100,67.7
29.25,36,57.6,100,67.7
30.0,36,57.6,100,67.7
30.0,36,58.7,100,67.7
29.25,36,60.0,100,67.8
28.5,36,60.0,100,67.8
