AirFlowNormalized,AirValvePosition,DischargeAirTemp,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
104.2857,24,52.3,62.1,69.5,66.5
102.8571,24,52.3,62.1,69.5,66.5
102.8571,24,52.3,62.0,69.5,66.5
104.2857,24,52.3,62.0,69.5,66.5
104.2857,24,52.3,62.0,69.5,66.5
98.0952,24,52.3,62.0,69.5,66.5
105.7143,24,51.5,62.0,69.5,66.5
103.3333,24,52.2,61.9,69.5,66.5
103.3333,24,52.2,61.9,69.5,66.5
103.3333,24,51.5,61.8,69.5,66.5
105.2381,24,51.5,61.7,69.5,66.5
103.3333,24,51.5,61.7,69.5,66.5
103.3333,24,51.5,61.6,69.5,66.5
103.3333,24,51.5,61.5,69.5,66.5
105.7143,24,51.5,61.5,69.5,66.5
101.9048,24,51.5,61.5,69.5,66.5
101.9048,24,51.5,61.4,69.5,66.5
101.9048,24,51.5,61.4,69.5,66.5
105.2381,24,51.5,61.4,69.5,66.5
105.2381,24,51.5,61.4,69.5,66.5
100.4762,24,51.5,61.4,69.5,66.5
104.2857,24,51.5,61.3,69.5,66.5
101.9048,24,51.5,61.3,69.5,66.5
101.9048,24,51.5,61.3,69.5,66.5
104.2857,24,50.8,61.2,69.5,66.5
104.2857,24,51.4,61.2,69.5,66.5
104.2857,24,51.4,61.1,69.5,66.5
100.0,24,50.7,61.1,69.5,66.5
105.2381,24,51.4,61.1,69.5,66.5
105.2381,24,51.4,61.0,69.5,66.5
105.2381,24,51.4,61.0,69.5,66.5
103.3333,24,51.4,61.0,69.5,66.5
100.4762,24,51.4,61.0,69.5,66.5
102.8571,24,51.4,61.0,69.5,66.5
104.2857,24,51.4,60.9,69.5,66.5
104.2857,24,51.4,60.9,69.5,66.5
104.2857,24,51.4,60.9,69.5,66.5
101.9048,24,51.4,60.9,69.5,66.5
106.6667,24,51.4,60.9,69.5,66.5
103.3333,24,51.4,60.9,69.5,66.5
105.7143,24,51.4,60.9,69.5,66.5
105.7143,24,51.4,60.9,69.5,66.5
105.7143,24,51.4,60.9,69.5,66.5
102.8571,24,51.4,60.9,69.5,66.5
105.7143,24,51.4,60.9,69.5,66.5
105.7143,24,51.4,60.9,69.5,66.5
104.2857,24,51.4,60.9,69.5,66.5
104.2857,24,51.4,60.9,69.5,66.5
102.8571,24,52.0,60.9,69.5,66.5
106.6667,24,52.0,60.9,69.5,66.5
101.9048,23,52.0,60.9,69.5,66.5
101.9048,23,51.4,60.8,69.5,66.5
103.3333,23,51.4,60.8,69.5,66.5
100.4762,23,51.4,60.8,69.5,66.5
101.9048,23,51.4,60.8,69.5,66.5
100.4762,23,51.4,60.8,69.5,66.5
101.9048,23,51.4,60.8,69.5,66.5
103.3333,23,51.4,60.9,69.5,66.5
103.3333,23,51.4,60.9,69.5,66.5
100.4762,23,51.4,60.9,69.5,66.5
100.4762,23,51.4,60.9,69.5,66.5
104.2857,23,51.4,60.9,69.5,66.5
100.4762,23,51.4,60.9,69.5,66.5
100.4762,23,51.4,60.9,69.5,66.5
100.4762,23,51.4,60.9,69.5,66.5
103.3333,23,51.4,60.9,69.5,66.5
100.4762,23,51.4,60.9,69.5,66.5
100.4762,23,51.4,60.8,69.5,66.5
102.8571,23,51.4,60.8,69.5,66.5
105.2381,23,51.4,60.8,69.5,66.5
101.9048,23,51.4,60.8,69.5,66.5
97.619,23,51.4,60.8,69.5,66.5
103.3333,23,51.4,60.7,69.5,66.5
103.3333,23,50.7,60.7,69.5,66.5
97.619,23,51.4,60.7,69.5,66.5
97.619,23,51.4,60.6,69.5,66.5
97.619,23,50.7,60.6,69.5,66.5
104.2857,23,50.7,60.6,69.5,66.5
102.8571,23,50.7,60.6,69.5,66.5
100.0,23,50.7,60.5,69.5,66.5
100.0,23,50.7,60.5,69.5,66.5
