AirFlowNormalized,AirValvePosition,DischargeAirTemp,HeatOutput,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
28.5714,43,94.1,100,72.5,79.6,76.0
27.1429,43,94.1,100,72.5,79.6,76.0
27.8571,43,94.1,100,72.5,79.6,76.0
27.5,43,92.3,100,72.7,79.6,76.0
27.5,43,89.4,100,72.7,79.6,76.0
27.5,43,85.3,100,72.6,79.6,76.0
27.8571,43,90.2,100,72.6,79.6,76.0
27.1429,43,90.2,100,72.5,79.6,76.0
27.1429,43,86.1,100,72.6,79.6,76.0
27.5,43,91.8,100,72.7,79.6,76.0
27.5,43,93.5,100,72.6,79.6,76.0
27.1429,43,89.1,100,72.5,79.6,76.0
27.5,43,87.6,100,72.4,79.6,76.0
27.8571,43,87.6,100,72.5,79.6,76.0
27.8571,43,94.7,100,72.6,79.6,76.0
27.8571,43,91.1,100,72.5,79.6,76.0
27.1429,43,92.4,100,72.4,79.6,76.0
27.5,43,87.4,100,72.4,79.6,76.0
27.5,43,93.5,100,72.3,79.6,76.0
28.5714,43,95.3,100,72.5,79.6,76.0
28.5714,43,89.4,100,72.4,79.6,76.0
27.5,43,86.8,100,72.4,79.6,76.0
27.5,43,92.9,100,72.3,79.6,76.0
27.5,43,94.1,100,72.3,79.6,76.0
26.4286,43,89.2,100,72.4,79.6,76.0
27.8571,43,92.9,100,72.4,79.6,76.0
27.8571,43,94.1,100,72.3,79.6,76.0
27.5,43,94.1,100,72.3,79.6,76.0
27.1429,43,88.9,100,72.2,79.6,76.0
27.5,43,85.6,100,72.3,79.6,76.0
28.5714,43,85.6,100,72.3,79.6,76.0
27.8571,43,86.8,100,72.2,79.6,76.0
26.4286,43,91.7,100,72.2,79.6,76.0
27.5,43,90.4,100,72.1,79.6,76.0
28.5714,43,93.5,100,72.2,79.6,76.0
27.5,43,93.5,100,72.3,79.6,76.0
27.8571,43,93.5,100,72.2,79.6,76.0
27.5,43,93.5,100,72.1,79.6,76.0
27.1429,43,94.7,100,72.1,79.6,76.0
27.5,43,84.4,100,72.1,79.6,76.0
27.8571,43,84.4,100,72.2,79.6,76.0
27.5,43,86.2,100,72.2,79.6,76.0
27.1429,43,84.4,100,72.1,79.6,76.0
27.1429,43,84.4,100,72.0,79.6,76.0
28.5714,43,89.2,100,72.0,79.6,76.0
27.8571,43,92.9,100,72.2,79.6,76.0
27.8571,43,92.9,100,72.1,79.6,76.0
27.5,43,92.9,100,72.1,79.6,76.0
27.5,43,92.9,100,72.0,79.6,76.0
25.3571,42,87.2,100,72.0,79.6,76.0
26.0714,42,87.2,100,72.2,79.6,76.0
26.0714,42,94.7,100,72.1,79.6,76.0
26.0714,42,91.7,100,72.1,79.6,76.0
25.3571,42,86.9,100,72.0,79.6,76.0
24.8214,42,94.1,100,72.0,79.6,76.0
24.2857,42,94.1,100,72.1,79.6,76.0
25.3571,42,94.1,100,72.2,79.6,76.0
26.0714,42,95.3,100,72.1,79.6,76.0
26.0714,42,95.3,100,72.1,79.6,76.0
25.3571,42,94.3,100,72.1,79.6,76.0
26.0714,42,95.3,100,72.2,79.6,76.0
26.0714,42,95.3,100,72.2,79.6,76.0
26.0714,42,95.3,100,72.2,79.6,76.0
26.0714,42,95.3,100,72.1,79.6,76.0
26.4286,42,90.5,100,72.1,79.6,76.0
27.5,42,87.5,100,72.2,79.6,76.0
26.0714,42,86.3,100,72.3,79.6,76.0
26.0714,42,86.3,100,72.2,79.6,76.0
26.0714,42,86.3,100,72.2,79.6,76.0
26.0714,42,87.2,100,72.2,79.6,76.0
25.3571,42,86.2,100,72.2,79.6,76.0
26.0714,42,86.2,100,72.4,79.6,76.0
24.8214,42,86.2,100,72.3,79.6,76.0
25.3571,42,86.2,100,72.2,79.6,76.0
26.0714,42,86.2,100,72.2,79.6,76.0
25.3571,42,87.9,100,72.1,79.6,76.0
26.0714,42,91.8,100,72.3,79.6,76.0
26.4286,42,86.3,100,72.2,79.6,76.0
24.8214,42,86.3,100,72.1,79.6,76.0
24.8214,42,86.3,100,72.1,79.6,76.0
26.0714,42,87.5,100,72.1,79.6,76.0
26.0714,42,86.3,100,72.2,79.6,76.0
24.8214,42,86.3,100,72.2,79.6,76.0
24.2857,42,93.8,100,72.1,79.6,76.0
24.2857,42,95.3,100,72.0,79.6,76.0
25.3571,42,95.3,100,71.9,79.6,76.0
25.3571,42,95.3,100,72.1,79.6,76.0
26.0714,42,94.1,100,72.1,79.6,76.0
25.3571,42,94.1,100,71.9,79.6,76.0
26.0714,42,94.1,100,71.9,79.6,76.0
24.8214,42,94.1,100,71.8,79.6,76.0
26.0714,42,94.1,100,72.0,79.6,76.0
26.4286,42,94.1,100,72.0,79.6,76.0
26.0714,42,93.0,100,71.9,79.6,76.0
25.3571,42,93.0,100,71.8,79.6,76.0
26.0714,42,94.7,100,71.8,79.6,76.0
26.4286,42,94.7,100,71.9,79.6,76.0
26.0714,42,94.7,100,72.0,79.6,76.0
25.3571,42,94.7,100,71.9,79.6,76.0
26.0714,42,94.7,100,71.9,79.6,76.0
24.2857,42,95.9,100,71.8,79.6,76.0
26.4286,3,88.7,100,72.0,79.6,76.0
23.75,40,91.1,100,71.9,79.6,76.0
24.8214,41,95.9,100,71.9,79.6,76.0
24.8214,41,97.2,100,71.8,79.6,76.0
26.0714,42,94.8,100,71.8,79.6,76.0
27.1429,42,91.7,100,71.9,79.6,76.0
26.4286,42,88.8,100,72.1,79.6,76.0
26.4286,42,92.4,100,71.9,79.6,76.0
27.1429,42,95.4,100,71.9,79.6,76.0
26.4286,42,95.4,100,71.9,79.6,76.0
26.4286,42,95.4,100,71.9,79.6,76.0
26.0714,42,95.4,100,72.1,79.6,76.0
27.5,42,90.8,100,71.9,79.6,76.0
26.4286,42,88.5,100,71.9,79.6,76.0
26.0714,42,89.9,100,71.9,79.6,76.0
26.4286,42,89.9,100,71.9,79.6,76.0
26.4286,42,86.9,100,72.1,79.6,76.0
26.4286,42,86.9,100,71.9,79.6,76.0
27.1429,42,90.1,100,71.9,79.6,76.0
26.4286,42,88.5,100,71.9,79.6,76.0
27.1429,42,88.5,100,71.9,79.6,76.0
26.4286,42,86.9,100,72.1,79.6,76.0
27.1429,42,86.9,100,72.0,79.6,76.0
26.4286,42,85.6,100,71.9,79.6,76.0
26.0714,42,87.4,100,71.9,79.6,76.0
27.1429,42,95.0,100,71.9,79.6,76.0
27.1429,42,95.0,100,72.1,79.6,76.0
26.4286,42,95.0,100,72.1,79.6,76.0
27.1429,42,93.5,100,71.9,79.6,76.0
27.5,42,93.5,100,71.9,79.6,76.0
27.1429,42,93.5,100,71.8,79.6,76.0
26.4286,42,93.5,100,72.0,79.6,76.0
27.5,42,93.5,100,71.9,79.6,76.0
26.4286,42,92.3,100,71.8,79.6,76.0
27.5,42,92.3,100,71.8,79.6,76.0
27.1429,42,93.5,100,71.8,79.6,76.0
27.8571,42,92.2,100,71.9,79.6,76.0
27.1429,42,89.8,100,71.9,79.6,76.0
27.1429,42,92.8,100,71.8,79.6,76.0
27.1429,42,94.7,100,71.8,79.6,76.0
27.5,42,94.7,100,71.8,79.6,76.0
26.4286,42,94.7,100,71.9,79.6,76.0
26.4286,42,94.7,100,72.0,79.6,76.0
27.1429,42,94.7,100,71.9,79.6,76.0
26.0714,42,93.7,100,71.9,79.6,76.0
27.5,42,87.5,100,71.9,79.6,76.0
27.1429,42,94.7,100,72.1,79.6,76.0
27.5,42,94.7,100,72.1,79.6,76.0
27.1429,42,89.9,100,72.0,79.6,76.0
27.5,42,86.2,100,72.0,79.6,76.0
27.5,42,87.4,100,72.0,79.6,76.0
27.1429,42,89.2,100,72.2,79.6,76.0
26.4286,42,91.1,100,72.2,79.6,76.0
27.8571,42,94.5,100,72.1,79.6,76.0
27.1429,42,92.5,100,72.1,79.6,76.0
27.5,42,87.0,100,72.1,79.6,76.0
27.5,42,94.7,100,72.3,79.6,76.0
27.1429,42,94.7,100,72.4,79.6,76.0
