AirFlowNormalized,AirValvePosition,DischargeAirTemp,HeatOutput,SpaceTemp
48.913,41,60.3,0,62.3
50.2174,41,56.4,0,62.3
49.5652,41,59.9,0,62.2
49.5652,41,56.8,0,62.2
49.5652,41,59.2,0,62.2
50.2174,41,58.4,0,62.0
50.2174,41,58.4,0,61.9
48.913,41,60.1,0,61.7
50.0,41,57.2,0,61.7
50.0,41,60.3,0,61.5
50.0,41,58.0,0,61.4
50.0,41,58.0,0,61.3
50.0,41,60.0,0,61.1
50.0,41,57.2,0,60.9
50.0,41,59.9,0,60.7
50.0,41,58.4,0,60.6
50.0,41,58.4,0,60.5
50.0,41,60.3,0,60.2
50.0,41,57.0,0,60.2
50.0,41,59.5,0,60.2
50.0,41,59.5,0,60.2
50.0,41,57.2,0,60.1
50.0,41,60.3,0,59.7
50.0,41,58.4,0,59.7
50.0,41,58.4,0,59.7
50.0,41,60.3,0,59.6
50.0,41,57.6,100,59.2
50.0,41,59.1,100,59.2
50.0,41,60.0,100,59.2
50.6522,41,57.2,100,59.2
50.0,41,59.9,100,59.2
50.6522,41,58.4,100,59.2
50.0,41,58.4,100,58.8
50.0,41,60.4,100,58.8
50.0,41,58.0,100,58.8
50.0,41,60.7,100,58.8
50.6522,41,65.8,100,58.8
50.6522,41,85.7,100,58.8
50.0,41,92.5,100,58.8
50.0,41,85.2,100,59.2
50.0,41,87.4,100,59.6
50.0,41,84.4,100,59.4
50.0,41,86.7,100,59.6
50.0,41,90.6,100,59.7
50.6522,41,92.8,100,59.7
49.5652,41,92.8,100,59.7
48.913,41,95.2,100,59.7
49.5652,41,92.4,100,59.7
48.913,41,95.3,100,60.1
46.9565,40,91.1,100,59.8
46.9565,40,92.3,100,60.1
46.3043,40,90.9,100,60.2
46.9565,40,85.0,100,60.2
46.9565,40,85.0,100,60.2
46.9565,40,61.5,0,60.4
47.8261,40,57.6,0,60.2
46.5217,40,58.3,0,60.2
46.5217,40,60.0,0,59.7
46.5217,40,56.8,0,59.7
46.5217,40,59.5,0,59.7
47.6087,40,58.8,0,59.7
46.5217,40,57.5,0,59.7
46.5217,40,59.9,0,59.7
47.6087,40,58.8,100,59.2
46.3043,40,57.9,100,59.3
46.3043,40,60.3,100,59.2
46.3043,40,58.4,100,59.2
46.3043,40,58.4,100,59.2
46.3043,40,60.3,100,59.2
46.9565,40,58.0,100,59.2
46.9565,40,58.6,100,59.2
46.9565,40,60.4,100,59.0
46.9565,40,58.0,100,59.2
45.8696,40,59.1,100,58.8
46.5217,40,62.4,100,58.8
47.6087,40,71.0,100,58.8
46.3043,40,90.6,100,58.8
46.3043,40,90.6,100,58.8
46.3043,40,83.7,100,58.8
46.3043,40,87.8,100,59.0
46.3043,40,85.6,100,59.2
46.3043,40,85.6,100,59.2
46.3043,40,88.0,100,59.2
46.3043,40,95.9,100,59.2
46.9565,40,93.9,100,59.2
46.3043,40,95.3,100,59.2
46.3043,40,96.6,100,59.2
46.3043,40,94.7,100,59.2
