AirFlowNormalized,AirValvePosition,DischargeAirTemp,SpaceTemp
98.0952,64,55.5,73.6
98.0952,64,55.5,73.7
99.2857,64,55.5,73.7
98.0952,64,55.5,73.7
99.2857,64,55.5,73.7
99.2857,64,55.5,73.7
100.9524,64,55.5,73.7
99.2857,64,55.5,73.7
99.2857,64,55.5,73.7
99.2857,64,55.5,73.7
98.0952,64,55.5,73.7
98.0952,64,55.5,73.6
99.2857,64,55.5,73.7
98.0952,64,55.5,73.7
99.2857,64,55.5,73.6
98.0952,64,55.5,73.6
98.0952,64,55.5,73.5
99.2857,64,55.5,73.6
99.2857,64,55.5,73.6
99.2857,64,55.5,73.6
98.0952,64,55.5,73.6
99.2857,64,55.5,73.5
99.2857,64,55.5,73.6
99.2857,64,55.5,73.5
98.0952,64,55.5,73.5
98.0952,64,55.5,73.5
99.2857,64,55.5,73.4
99.2857,64,55.5,73.4
99.2857,64,55.5,73.4
99.2857,64,55.5,73.4
99.2857,64,55.5,73.5
99.2857,64,55.5,73.6
99.2857,64,55.5,73.4
99.2857,64,55.5,73.4
100.9524,64,55.5,73.5
99.2857,64,55.5,73.5
98.0952,64,55.5,73.5
100.9524,64,55.5,73.5
99.2857,64,55.5,73.4
102.381,64,54.7,73.4
99.2857,64,55.5,73.4
99.2857,64,55.5,73.4
99.2857,64,55.5,73.3
99.2857,64,55.5,73.4
99.2857,64,55.5,73.4
99.2857,64,55.5,73.4
100.9524,64,55.5,73.4
102.381,64,55.5,73.3
102.381,64,55.5,73.4
98.0952,62,54.7,73.3
99.2857,63,55.6,73.5
98.0952,63,55.6,73.5
99.2857,63,55.6,73.5
99.2857,63,55.6,73.4
99.2857,63,55.6,73.4
100.9524,63,55.6,73.6
99.2857,63,55.6,73.5
99.2857,63,55.6,73.4
99.2857,63,55.6,73.6
99.2857,63,55.6,73.6
99.2857,63,55.6,73.6
100.9524,63,55.0,73.6
98.0952,63,55.0,73.6
99.2857,63,55.0,73.6
98.0952,63,55.0,73.6
98.0952,63,55.0,73.6
98.0952,63,55.0,73.6
99.2857,63,55.0,73.4
99.2857,63,55.0,73.4
98.0952,63,55.0,73.5
98.0952,63,55.0,73.6
98.0952,63,55.0,73.6
99.2857,63,55.0,73.6
99.2857,63,55.0,73.7
99.2857,63,55.0,73.7
98.0952,63,55.0,73.8
98.0952,63,55.0,73.8
99.2857,63,55.0,73.8
99.2857,63,55.0,73.8
100.9524,63,55.0,73.8
98.0952,63,55.0,73.9
99.2857,63,55.0,73.9
99.2857,63,55.0,73.9
98.0952,63,55.0,73.9
98.0952,63,55.0,73.8
98.0952,63,55.0,73.8
98.0952,63,55.0,73.8
98.0952,63,55.0,73.8
98.0952,63,55.0,73.7
98.0952,63,55.0,73.8
98.0952,63,55.0,73.8
98.0952,63,55.0,73.8
99.2857,63,55.0,73.8
99.2857,63,55.0,73.8
96.4286,63,55.0,73.8
98.0952,63,55.0,73.8
98.0952,64,55.0,73.7
98.0952,64,55.0,73.8
98.0952,64,55.0,73.7
98.0952,64,55.0,73.7
98.0952,64,55.0,73.7
98.0952,12,55.0,73.6
99.2857,66,55.0,73.7
100.9524,66,55.0,73.7
100.9524,66,55.0,73.8
100.9524,66,55.0,73.7
100.9524,66,55.0,73.6
100.9524,66,55.0,73.5
100.9524,66,55.0,73.6
100.9524,66,55.0,73.4
102.381,66,55.0,73.5
102.381,66,55.0,73.6
100.9524,66,55.0,73.4
100.9524,66,55.0,73.5
100.9524,66,55.0,73.4
100.9524,66,55.0,73.4
99.2857,66,55.0,73.4
99.2857,66,55.0,73.4
99.2857,66,55.0,73.4
100.9524,66,55.0,73.3
100.9524,66,55.0,73.3
99.2857,66,55.0,73.3
100.9524,66,55.0,73.3
100.9524,66,55.0,73.3
100.9524,66,55.0,73.3
99.2857,66,55.0,73.2
100.9524,66,55.0,73.3
100.9524,66,55.0,73.3
102.381,66,55.0,73.4
100.9524,66,55.0,73.3
102.381,66,55.0,73.3
100.9524,66,55.0,73.3
102.381,66,55.0,73.2
100.9524,66,55.0,73.3
100.9524,66,55.0,73.3
102.381,66,55.0,73.2
102.381,66,55.6,73.3
100.9524,66,55.6,73.3
100.9524,65,54.7,73.3
102.381,65,55.6,73.3
100.9524,65,55.6,73.3
102.381,65,55.6,73.4
102.381,65,55.6,73.4
100.9524,65,54.7,73.4
100.9524,65,55.5,73.2
100.9524,65,55.5,73.5
102.381,65,55.5,73.5
100.9524,65,55.5,73.4
100.9524,65,55.5,73.4
99.2857,65,55.5,73.5
100.9524,65,55.5,73.4
100.9524,65,55.5,73.6
100.9524,65,55.5,73.6
100.9524,65,55.5,73.6
102.381,65,55.5,73.6
99.2857,65,55.5,73.6
100.9524,65,55.5,73.6
100.9524,65,55.5,73.8
100.9524,65,55.5,73.7
99.2857,65,55.5,73.7
99.2857,65,55.5,73.7
100.9524,65,55.5,73.8
99.2857,65,55.5,73.8
100.9524,65,55.5,73.8
99.2857,65,55.5,73.8
100.9524,65,55.5,73.9
100.9524,65,55.5,73.8
99.2857,65,55.5,74.0
99.2857,65,55.5,74.0
98.0952,65,55.5,73.9
100.9524,65,55.5,73.8
99.2857,65,55.5,73.8
99.2857,65,55.5,73.8
100.9524,65,55.5,73.8
100.9524,65,55.5,73.8
100.9524,65,55.5,73.9
99.2857,65,55.5,74.0
99.2857,65,55.5,74.0
100.9524,65,55.5,74.0
99.2857,65,55.5,73.9
99.2857,65,55.5,74.0
99.2857,65,55.5,74.0
98.0952,65,55.5,74.0
99.2857,65,55.5,74.0
98.0952,65,55.5,74.0
98.0952,65,55.5,74.0
98.0952,66,55.5,74.1
99.2857,66,55.5,74.1
99.2857,66,55.5,74.1
99.2857,66,55.5,74.1
98.0952,66,55.5,74.1
99.2857,66,55.5,74.1
99.2857,66,55.5,74.1
98.0952,66,55.5,74.1
99.2857,66,55.5,74.1
99.2857,66,55.5,74.1
99.2857,66,55.5,74.1
99.2857,66,55.5,74.1
99.2857,66,55.5,74.1
99.2857,66,55.5,74.1
100.9524,66,55.5,74.0
99.2857,66,55.5,74.0
99.2857,66,55.5,74.0
100.9524,66,55.5,73.8
99.2857,66,55.5,73.9
99.2857,66,55.5,74.0
100.9524,66,55.5,74.0
100.9524,66,55.5,74.0
100.9524,66,55.5,74.0
100.9524,66,55.5,74.0
99.2857,66,55.5,74.0
100.9524,66,55.5,74.0
99.2857,66,55.5,73.8
99.2857,66,55.5,74.0
100.9524,66,55.5,73.8
99.2857,66,55.5,73.9
100.9524,66,55.5,73.9
102.381,66,55.5,73.9
100.9524,66,55.5,73.9
99.2857,66,55.5,73.7
102.381,66,55.5,73.7
102.381,66,55.5,73.7
100.9524,66,55.5,73.8
100.9524,66,55.5,73.8
100.9524,66,55.5,73.8
100.9524,66,55.5,73.8
102.381,66,56.3,73.8
100.9524,66,56.3,73.8
102.381,66,55.2,73.8
102.381,66,56.0,73.8
100.9524,66,56.0,73.8
102.381,65,56.0,73.9
100.9524,65,56.0,73.8
102.381,65,56.0,73.8
100.9524,65,56.0,73.8
102.381,65,56.0,73.7
100.9524,64,56.0,73.7
100.9524,64,56.0,73.7
100.9524,64,56.0,73.7
100.9524,64,56.0,73.8
100.9524,64,56.0,73.7
100.9524,64,56.0,73.7
100.9524,64,56.0,73.7
102.381,64,56.0,73.8
100.9524,64,55.2,73.8
100.9524,64,55.2,73.8
100.9524,64,55.2,73.8
100.9524,64,55.9,73.8
100.9524,64,55.9,73.9
99.2857,64,55.9,73.9
98.0952,64,55.9,74.0
98.0952,64,55.9,74.1
99.2857,64,55.9,74.1
98.0952,64,55.9,74.2
99.2857,64,55.2,74.2
96.4286,64,55.9,74.1
