AirFlowNormalized,AirValvePosition,DischargeAirTemp,HeatOutput,SpaceTemp
102.1053,77,77.7,100,70.2
100.8772,77,76.3,100,70.4
100.8772,77,82.0,100,70.9
102.1053,77,56.0,100,70.1
102.1053,77,56.0,100,67.7
100.8772,77,68.2,100,69.4
98.9474,77,77.2,100,70.2
100.0,77,71.1,100,70.5
97.8947,77,74.9,100,70.8
98.9474,77,82.5,100,71.1
98.9474,77,70.9,100,71.3
100.8772,77,55.5,100,68.9
97.8947,77,82.0,100,68.4
100.0,77,70.2,100,69.9
100.0,77,81.6,100,70.6
98.9474,77,78.7,100,70.3
98.9474,77,82.5,100,71.0
100.0,77,57.2,100,70.3
100.0,77,57.2,100,67.7
100.0,77,77.3,100,69.6
100.0,77,80.2,100,70.5
100.0,77,71.3,100,70.3
98.9474,77,81.1,100,70.6
100.0,77,82.5,100,70.7
100.0,77,57.6,0,70.7
100.0,77,55.9,100,67.4
100.0,77,77.3,100,69.7
100.0,77,81.1,100,70.3
100.0,77,81.1,100,70.6
100.0,77,75.9,100,70.7
100.0,77,75.0,100,71.1
100.0,77,55.6,100,69.6
100.0,77,59.0,100,67.5
100.0,77,73.4,100,69.3
100.0,77,79.6,100,70.2
98.9474,77,79.6,100,70.2
100.8772,77,80.6,100,70.6
100.8772,77,80.6,100,71.0
100.8772,77,55.9,100,68.7
100.8772,77,77.2,100,68.5
100.8772,77,71.6,100,70.0
100.8772,77,74.5,100,70.3
100.8772,77,74.5,100,70.8
100.8772,77,75.4,100,71.0
102.1053,77,56.0,100,69.6
100.8772,77,68.0,100,67.5
100.8772,77,80.4,100,69.4
100.8772,77,80.4,100,70.1
100.8772,77,80.4,100,70.4
96.8421,73,73.0,100,70.3
98.9474,74,58.5,100,70.9
97.8947,74,55.6,100,68.1
97.8947,74,74.4,100,69.3
97.8947,74,71.2,100,70.3
97.8947,74,73.9,100,70.4
97.8947,75,81.1,100,70.6
98.9474,75,80.1,100,71.0
97.8947,75,75.4,100,71.3
98.9474,75,55.9,100,68.1
98.9474,75,79.7,100,69.1
97.8947,75,81.1,100,70.0
97.8947,75,81.1,100,70.5
97.8947,75,81.1,100,70.6
98.9474,75,81.1,100,71.2
97.8947,75,55.9,100,68.2
97.8947,75,76.0,100,68.9
97.8947,75,73.0,100,69.9
97.8947,75,68.3,100,70.5
96.8421,75,73.5,100,70.9
97.8947,75,56.0,100,69.6
97.8947,75,74.4,100,67.5
98.9474,75,71.5,100,69.7
97.8947,75,71.5,100,70.6
98.9474,75,73.7,100,70.8
98.9474,75,73.7,100,70.9
98.9474,75,56.4,100,70.2
98.9474,75,63.0,100,67.2
97.8947,75,72.8,100,69.3
98.9474,75,74.9,100,70.4
97.8947,75,74.9,100,70.7
97.8947,75,77.3,100,71.2
98.9474,75,56.0,100,69.8
98.9474,75,58.3,100,67.7
97.8947,75,77.2,100,69.1
98.9474,75,82.0,100,70.1
97.8947,75,82.0,100,70.6
97.8947,75,80.1,100,71.0
97.8947,75,82.4,100,71.0
100.0,75,56.0,100,69.3
97.8947,75,83.1,100,68.5
97.8947,75,81.1,100,69.8
97.8947,75,82.0,100,70.5
97.8947,75,79.6,100,70.7
98.9474,75,79.6,100,70.9
100.0,75,55.9,100,68.8
97.8947,75,78.8,100,67.9
98.9474,75,78.8,100,70.0
98.9474,75,78.8,100,70.3
100.0,75,82.0,100,70.4
98.9474,75,64.8,100,71.0
100.0,75,56.0,100,68.2
97.8947,80,78.4,100,68.9
97.8947,80,74.9,100,70.2
96.8421,81,82.0,100,70.4
97.8947,81,83.2,100,70.7
97.8947,81,84.3,100,71.2
97.8947,81,56.3,100,68.4
97.8947,82,80.5,100,68.6
98.9474,82,79.2,100,70.1
96.8421,82,83.7,100,70.5
