AirFlowNormalized,AirValvePosition,DischargeAirTemp,HeatOutput,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
62.0,47,57.2,100,65.6,68.9,65.9
63.2,47,57.2,100,65.2,68.9,65.9
62.2,47,82.0,100,65.3,68.9,65.9
62.2,47,61.2,0,66.3,68.9,65.9
62.2,47,57.2,100,65.6,68.9,65.9
63.0,47,57.2,100,65.2,68.9,65.9
62.0,47,77.8,100,65.3,68.9,65.9
62.0,47,58.8,0,66.1,68.9,65.9
63.4,47,57.2,100,65.3,68.9,65.9
61.8,47,57.2,100,65.0,68.9,65.9
61.8,47,77.3,100,65.6,68.9,65.9
61.0,47,63.6,100,66.0,68.9,65.9
62.6,47,63.6,100,66.0,68.9,65.9
60.8,47,63.6,100,66.0,68.9,65.9
62.6,47,64.4,100,65.8,68.9,65.9
61.4,46,63.6,100,65.8,68.9,65.9
59.4,46,63.6,100,65.8,68.9,65.9
60.2,46,63.6,100,65.8,68.9,65.9
60.2,46,64.4,100,65.8,68.9,65.9
60.2,46,64.4,100,65.8,68.9,65.9
60.2,46,64.4,100,65.8,68.9,65.9
60.2,46,63.6,100,65.8,68.9,65.9
60.2,46,63.6,100,65.8,68.9,65.9
60.2,46,64.4,100,65.8,68.9,65.9
60.2,46,63.3,100,65.7,68.9,65.9
61.0,46,63.3,100,65.7,68.9,65.9
61.0,46,64.4,100,65.6,68.9,65.9
61.0,46,64.4,100,65.7,68.9,65.9
61.0,46,64.4,100,65.6,68.9,65.9
61.0,46,64.4,100,65.6,68.9,65.9
59.2,46,63.6,100,65.6,68.9,65.9
60.4,48,63.6,100,65.6,68.9,65.9
58.0,45,63.6,100,65.6,68.9,65.9
62.0,47,63.6,100,65.6,68.9,65.9
59.8,47,65.8,100,65.7,68.9,65.9
58.6,47,65.8,100,65.9,68.9,65.9
59.6,47,67.2,100,66.0,68.9,65.9
58.4,47,67.2,100,66.0,68.9,65.9
59.8,47,67.2,100,66.1,68.9,65.9
59.8,47,57.9,0,66.6,68.9,65.9
58.8,47,57.2,0,66.5,68.9,65.9
61.0,47,81.6,100,67.3,79.3,76.3
58.8,47,83.0,100,67.9,79.3,76.3
62.4,47,85.5,100,68.2,79.3,76.3
57.8,47,90.4,100,68.6,79.3,76.3
59.0,47,90.4,100,69.0,79.3,76.3
59.6,47,90.4,100,69.4,79.3,76.3
61.4,47,90.4,100,69.7,79.3,76.3
58.6,47,92.3,100,70.0,79.3,76.3
64.2,52,86.8,100,70.3,79.3,76.3
60.6,46,88.0,100,70.7,79.3,76.3
63.6,46,88.0,100,70.9,79.3,76.3
61.2,46,83.8,100,71.1,79.3,76.3
61.2,46,82.1,100,71.3,79.3,76.3
58.4,46,91.7,100,71.5,79.3,76.3
60.0,46,91.7,100,72.1,79.3,76.3
59.0,46,91.7,100,72.6,79.3,76.3
57.6,46,91.7,100,72.5,79.6,76.6
59.0,46,91.7,100,72.4,79.4,76.4
59.0,46,91.7,100,72.5,79.4,76.4
59.8,46,91.7,100,72.6,79.4,76.4
56.4,46,91.7,100,72.7,79.4,76.4
59.2,46,91.7,100,72.7,79.4,76.4
59.8,46,89.4,100,72.8,79.4,76.4
58.2,46,83.4,100,72.9,79.4,76.4
57.6,46,81.6,100,73.0,79.4,76.4
58.6,46,82.5,100,73.1,79.4,76.4
59.8,46,81.6,100,73.1,79.4,76.4
61.6,46,86.2,100,73.2,79.4,76.4
59.2,46,81.3,100,73.2,79.4,76.4
62.4,46,81.3,100,73.3,79.4,76.4
62.4,46,82.7,100,73.3,79.4,76.4
59.4,46,85.9,100,73.4,79.4,76.4
62.4,46,81.5,100,73.4,79.4,76.4
59.4,46,86.6,100,73.5,79.4,76.4
57.8,47,88.0,100,73.5,79.4,76.4
57.0,47,91.1,100,73.6,79.4,76.4
59.2,47,84.3,100,73.6,79.4,76.4
60.2,47,81.5,100,73.6,79.4,76.4
60.2,47,82.8,100,73.7,79.4,76.4
60.2,47,81.1,100,73.7,79.4,76.4
58.2,46,83.8,100,73.7,79.4,76.4
58.8,46,85.3,100,73.8,79.4,76.4
58.8,46,91.1,100,73.8,79.4,76.4
58.8,46,92.2,100,73.9,79.2,76.2
56.4,46,92.2,100,74.0,79.3,76.3
57.8,46,92.2,100,74.0,79.3,76.3
59.4,46,92.2,100,74.0,79.3,76.3
62.2,46,92.2,100,74.0,79.3,76.3
59.4,46,91.1,100,74.0,79.3,76.3
62.8,46,91.1,100,74.1,79.4,76.4
59.0,46,91.1,100,74.1,79.4,76.4
61.4,46,91.1,100,74.1,79.4,76.4
59.6,46,89.9,100,74.1,79.4,76.4
60.4,46,89.9,100,74.2,79.4,76.4
59.4,46,89.9,100,74.2,79.4,76.4
60.0,46,91.1,100,74.2,79.4,76.4
59.4,46,91.1,100,74.1,79.4,76.4
57.4,46,91.1,100,74.2,79.4,76.4
60.2,46,91.1,100,74.2,79.4,76.4
60.2,46,91.1,100,74.2,79.4,76.4
59.0,46,83.2,100,74.2,79.4,76.4
59.0,46,83.2,100,74.2,79.6,76.6
62.2,46,91.7,100,74.2,79.5,76.5
58.0,48,91.7,100,74.2,79.4,76.4
59.2,48,86.5,100,74.3,79.4,76.4
59.2,48,82.1,100,74.3,79.4,76.4
59.2,48,82.1,100,74.3,79.6,76.6
59.8,48,82.1,100,74.3,79.5,76.5
59.8,48,91.1,100,74.3,79.4,76.4
61.6,48,91.1,100,74.3,79.4,76.4
60.4,48,91.1,100,74.3,79.4,76.4
61.2,47,87.5,100,74.3,79.4,76.4
61.2,47,82.2,100,74.3,79.6,76.6
61.2,47,82.2,100,74.3,79.4,76.4
61.2,46,82.2,100,74.3,79.4,76.4
59.8,46,82.2,100,74.3,79.4,76.4
60.6,46,82.2,100,74.3,79.4,76.4
62.2,46,80.7,100,74.3,79.4,76.4
62.2,46,82.6,100,74.3,79.4,76.4
60.4,46,82.6,100,74.3,79.4,76.4
60.4,46,81.6,100,74.3,79.4,76.4
61.8,46,81.6,100,74.3,79.4,76.4
60.2,46,82.8,100,74.3,79.4,76.4
62.2,47,84.2,100,74.3,79.4,76.4
59.4,47,87.4,100,74.3,79.4,76.4
60.4,47,87.4,100,74.3,79.4,76.4
59.2,46,91.6,100,74.4,79.4,76.4
61.4,46,90.4,100,74.5,79.4,76.4
61.4,46,90.4,100,74.5,79.4,76.4
61.4,46,90.4,100,74.6,79.4,76.4
60.2,46,90.4,100,74.6,79.4,76.4
60.2,46,90.4,100,74.6,79.4,76.4
62.0,46,90.4,100,74.6,79.4,76.4
59.8,46,90.4,100,74.6,79.4,76.4
59.2,46,90.4,100,74.6,79.4,76.4
60.8,46,90.4,100,74.6,79.4,76.4
60.8,46,90.4,100,74.6,79.4,76.4
59.6,46,90.4,100,74.6,79.4,76.4
58.6,46,90.4,100,74.6,79.4,76.4
60.4,46,91.7,100,74.6,79.4,76.4
59.0,46,91.7,100,74.7,79.4,76.4
59.0,46,91.7,100,74.6,79.4,76.4
61.0,46,90.4,100,74.6,79.4,76.4
61.0,46,90.4,100,74.6,79.4,76.4
61.0,46,85.3,100,74.7,79.4,76.4
60.2,46,82.6,100,74.7,79.4,76.4
61.0,46,92.3,100,74.7,79.4,76.4
60.2,46,88.8,100,74.8,79.4,76.4
60.2,46,83.2,100,74.8,79.4,76.4
60.2,46,83.2,100,74.8,79.4,76.4
60.2,46,87.6,100,75.0,79.4,76.4
59.4,46,89.3,100,75.0,79.4,76.4
59.4,46,87.4,100,75.0,79.4,76.4
61.8,46,87.4,100,75.1,79.4,76.4
59.0,46,84.4,100,75.1,79.4,76.4
62.8,46,82.6,100,75.1,79.4,76.4
57.6,46,91.7,100,75.1,79.4,76.4
61.8,46,88.4,100,75.1,79.4,76.4
60.2,46,83.2,100,75.2,79.4,76.4
60.2,46,82.1,100,75.2,79.4,76.4
60.2,46,85.6,100,75.2,79.4,76.4
60.2,46,89.8,100,75.3,79.4,76.4
60.2,46,92.3,100,75.4,79.4,76.4
60.2,46,91.1,100,75.4,79.4,76.4
59.4,46,91.1,100,75.4,79.4,76.4
59.4,46,91.1,100,75.4,79.4,76.4
57.4,46,92.3,100,75.4,79.4,76.4
60.2,46,87.4,100,75.4,79.4,76.4
57.6,46,90.9,100,75.4,79.4,76.4
59.8,46,80.7,100,75.5,79.4,76.4
60.8,46,82.1,100,75.5,79.4,76.4
60.8,46,92.3,100,75.5,79.4,76.4
58.2,46,92.3,100,75.5,79.4,76.4
59.2,46,86.3,100,75.5,79.4,76.4
58.0,46,83.5,100,75.5,79.4,76.4
59.0,46,82.4,100,75.5,79.4,76.4
57.8,46,82.4,100,75.5,79.4,76.4
57.8,46,92.3,100,75.5,79.4,76.4
58.6,47,82.6,100,75.5,79.4,76.4
58.6,47,82.6,100,75.5,79.4,76.4
59.8,47,81.7,100,75.6,79.4,76.4
59.8,47,84.8,100,75.6,79.4,76.4
59.8,47,91.1,100,75.7,79.4,76.4
58.8,46,91.1,100,75.7,79.4,76.4
58.0,46,91.1,100,75.7,79.4,76.4
59.4,46,92.3,100,75.7,79.4,76.4
59.4,47,91.1,100,75.7,79.4,76.4
58.8,47,92.3,100,75.7,79.4,76.4
59.6,48,92.3,100,75.7,79.4,76.4
58.8,48,82.1,100,75.7,79.4,76.4
62.8,48,90.4,100,75.8,79.4,76.4
61.8,47,92.4,100,75.8,79.4,76.4
58.0,47,90.6,100,75.8,79.4,76.4
61.2,47,82.0,100,75.8,79.4,76.4
62.2,47,90.8,100,75.8,79.4,76.4
