AirFlowNormalized,AirValvePosition,DischargeAirTemp,HeatOutput,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
61.4,42,56.4,0,69.1,71.4,68.4
61.4,42,56.4,0,69.1,71.4,68.4
61.4,42,57.6,0,69.1,71.4,68.4
61.4,42,57.6,0,69.1,71.4,68.4
61.4,42,56.4,0,69.1,71.4,68.4
61.4,42,56.4,0,69.1,71.4,68.4
61.4,42,57.1,0,69.0,71.4,68.4
62.2,42,56.0,0,69.0,71.4,68.4
62.2,42,56.0,0,68.9,71.4,68.4
61.4,42,57.3,0,68.9,71.4,68.4
61.4,42,56.0,0,68.9,71.4,68.4
61.4,42,56.0,0,69.0,71.4,68.4
61.4,42,56.9,0,68.9,71.4,68.4
61.4,42,56.0,0,68.9,71.4,68.4
61.4,42,56.8,0,68.9,71.4,68.4
61.4,42,56.8,0,69.1,71.4,68.4
61.4,42,56.0,0,68.9,71.4,68.4
61.4,42,56.0,0,68.8,71.4,68.4
61.4,42,57.1,0,68.8,71.4,68.4
61.4,42,56.0,0,68.8,71.4,68.4
61.4,42,57.1,0,68.7,71.4,68.4
61.4,42,56.3,0,69.0,71.4,68.4
61.4,42,56.3,0,69.2,71.4,68.4
61.4,42,57.0,0,69.1,71.4,68.4
61.4,42,56.4,0,69.0,71.4,68.4
61.4,42,56.4,0,68.9,71.4,68.4
61.4,42,57.1,0,68.9,71.4,68.4
61.4,42,55.7,0,68.8,71.4,68.4
61.4,42,57.1,0,68.8,71.4,68.4
61.4,42,56.3,0,68.7,71.4,68.4
60.2,42,56.3,0,68.7,71.4,68.4
60.2,44,56.9,0,68.6,71.4,68.4
60.2,42,56.0,0,68.5,71.4,68.4
60.2,44,57.1,0,68.6,71.4,68.4
60.2,44,57.1,0,68.6,71.4,68.4
60.2,44,56.0,0,68.4,71.4,68.4
61.2,44,56.8,0,68.3,71.4,68.4
60.2,44,56.8,0,68.3,71.4,68.4
60.2,44,56.0,0,68.4,71.4,68.4
60.2,44,57.1,0,68.4,71.4,68.4
59.4,44,56.3,0,68.4,71.4,68.4
60.8,44,56.3,0,68.6,71.4,68.4
60.8,44,56.3,0,68.4,71.4,68.4
60.8,44,56.3,0,68.4,71.4,68.4
60.0,44,57.1,0,68.3,71.4,68.4
59.4,44,56.0,0,68.3,71.4,68.4
60.4,44,56.8,0,68.4,71.4,68.4
59.2,44,56.0,0,68.7,71.4,68.4
59.2,44,56.8,0,68.7,71.4,68.4
64.8,48,56.8,0,68.7,71.4,68.4
62.8,43,84.3,100,69.7,74.0,71.0
62.8,43,94.1,100,69.9,74.0,71.0
62.8,43,90.0,100,70.2,74.1,71.1
62.8,43,85.0,100,70.4,74.0,71.0
