AirFlowNormalized,AirValvePosition,DischargeAirTemp,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
0.0,8,65.8,68.2,68.0,61.6
0.0,9,65.8,68.3,68.0,61.6
28.75,30,58.0,68.3,68.0,61.6
30.25,30,58.0,68.3,68.0,61.6
30.75,30,58.0,68.2,68.0,61.6
30.75,30,58.0,68.2,68.0,61.6
31.5,30,58.0,68.1,68.0,61.6
31.5,30,57.0,68.0,68.0,61.6
31.5,30,57.0,67.9,68.0,61.6
31.5,30,57.6,67.8,68.0,61.6
31.5,30,57.6,67.8,68.0,61.6
31.5,30,57.6,67.7,68.0,61.6
32.25,30,57.6,67.7,68.0,61.6
0.0,8,58.3,67.6,68.0,61.6
0.0,7,63.6,67.7,68.0,61.6
0.0,7,64.8,67.7,68.0,61.6
0.0,7,64.8,67.8,68.0,61.6
0.0,7,64.8,67.9,68.0,61.6
0.0,7,64.8,67.9,68.0,61.6
0.0,7,64.8,68.0,68.0,61.6
0.0,7,64.8,68.0,68.0,61.6
0.0,7,64.8,68.1,68.0,61.6
0.0,7,64.8,68.1,68.0,61.6
0.0,7,64.8,68.1,68.0,61.6
0.0,7,64.8,68.1,68.0,61.6
0.0,7,64.8,68.2,68.0,61.6
0.0,7,64.8,68.2,68.0,61.6
0.0,7,64.8,68.2,68.0,61.6
0.0,7,64.8,68.2,68.0,61.6
0.0,7,64.8,68.2,68.0,61.6
0.0,7,64.8,68.2,68.0,61.6
0.0,7,64.8,68.2,68.0,61.6
0.0,7,64.8,68.2,68.0,61.6
0.0,7,64.8,68.2,68.0,61.6
0.0,7,64.8,68.2,68.0,61.6
0.0,7,64.8,68.2,68.0,61.6
0.0,7,64.8,68.2,68.0,61.6
0.0,7,64.8,68.2,68.0,61.6
0.0,7,64.8,68.2,68.0,61.6
0.0,7,64.8,68.2,68.0,61.6
0.0,7,64.8,68.2,68.0,61.6
0.0,7,64.8,68.2,68.0,61.6
0.0,7,64.8,68.2,68.0,61.6
0.0,7,64.8,68.2,68.0,61.6
14.0,7,64.8,68.2,68.0,61.6
14.0,7,64.8,68.2,68.0,61.6
14.0,7,64.8,68.2,68.0,61.6
14.0,7,64.8,68.2,68.0,61.6
14.0,7,64.8,68.1,68.0,61.6
14.0,7,64.8,68.1,68.0,61.6
14.0,7,64.8,68.1,68.0,61.6
14.0,7,64.8,68.1,68.0,61.6
14.0,7,64.8,68.1,68.0,61.6
0.0,7,64.8,68.1,68.0,61.6
0.0,7,64.8,68.1,68.0,61.6
0.0,7,64.8,68.1,68.0,61.6
0.0,7,64.8,68.1,68.0,61.6
14.0,7,64.8,68.1,68.0,61.6
0.0,7,64.8,68.1,68.0,61.6
0.0,7,64.8,68.1,68.0,61.6
0.0,7,64.8,68.1,68.0,61.6
0.0,7,64.8,68.1,68.0,61.6
14.0,7,64.8,68.1,68.0,61.6
14.0,7,64.8,68.1,68.0,61.6
14.0,7,64.8,68.1,68.0,61.6
0.0,7,64.8,68.1,68.0,61.6
14.0,7,64.8,68.1,68.0,61.6
0.0,7,64.8,68.1,68.0,61.6
14.0,7,64.8,68.1,68.0,61.6
14.0,7,64.8,68.2,68.0,61.6
0.0,7,64.8,68.2,68.0,61.6
14.0,7,64.8,68.2,68.0,61.6
14.0,7,64.8,68.2,68.0,61.6
14.0,7,64.8,68.2,68.0,61.6
14.0,7,64.8,68.2,68.0,61.6
0.0,7,64.8,68.2,68.0,61.6
0.0,7,64.8,68.2,68.0,61.6
0.0,7,64.8,68.2,68.0,61.6
0.0,7,64.8,68.2,68.0,61.6
0.0,7,64.8,68.2,68.0,61.6
0.0,7,64.8,68.2,68.0,61.6
0.0,7,64.8,68.2,68.0,61.6
14.0,7,64.8,68.2,68.0,61.6
0.0,7,64.8,68.2,68.0,61.6
0.0,7,64.8,68.2,68.0,61.6
0.0,7,64.8,68.2,68.0,61.6
14.0,7,64.8,68.2,68.0,61.6
0.0,7,64.8,68.1,68.0,61.6
0.0,7,64.8,68.1,68.0,61.6
14.0,7,64.8,68.1,68.0,61.6
0.0,7,64.8,68.1,68.0,61.6
14.0,7,64.8,68.1,68.0,61.6
14.0,7,64.8,68.1,68.0,61.6
14.0,7,64.8,68.1,68.0,61.6
14.0,7,64.8,68.1,68.0,61.6
14.0,7,64.0,68.1,68.0,61.6
14.0,7,64.0,68.1,68.0,61.6
14.0,7,64.0,68.1,68.0,61.6
15.5,7,64.0,68.1,68.0,61.6
15.5,7,64.0,68.1,68.0,61.6
15.5,7,64.0,68.1,68.0,61.6
14.0,0,64.0,68.1,68.0,61.6
15.5,0,64.0,68.1,68.0,61.6
14.0,0,64.0,68.1,68.0,61.6
15.5,0,64.0,68.1,68.0,61.6
14.0,0,64.0,68.1,68.0,61.6
15.5,0,64.0,68.2,68.0,61.6
14.0,0,64.0,68.2,68.0,61.6
14.0,0,64.0,68.2,68.0,61.6
15.5,0,64.0,68.2,68.0,61.6
14.0,0,64.0,68.2,68.0,61.6
15.5,0,64.0,68.2,68.0,61.6
15.5,0,64.0,68.2,68.0,61.6
14.0,1,64.0,68.3,68.0,61.6
15.5,2,64.0,68.3,68.0,61.6
15.5,1,64.0,68.3,68.0,61.6
15.5,1,64.0,68.2,68.0,61.6
14.0,3,64.0,68.3,68.0,61.6
15.5,4,64.0,68.3,68.0,61.6
15.5,5,64.0,68.3,68.0,61.6
15.5,7,64.0,68.3,68.0,61.6
15.5,8,64.0,68.3,68.0,61.6
17.0,17,62.4,68.3,68.0,61.6
24.5,25,57.6,68.3,68.0,61.6
24.5,25,57.6,68.2,68.0,61.6
24.5,25,57.6,68.2,68.0,61.6
25.25,25,57.6,68.1,68.0,61.6
25.25,25,57.6,68.1,68.0,61.6
25.25,25,57.6,67.9,68.0,61.6
25.25,25,57.6,67.9,68.0,61.6
25.25,25,57.6,67.9,68.0,61.6
24.5,25,57.6,67.8,68.0,61.6
25.25,25,57.6,67.8,68.0,61.6
24.5,25,57.6,67.8,68.0,61.6
17.0,9,60.8,67.7,68.0,61.6
18.25,8,61.9,67.7,68.0,61.6
17.0,8,62.8,67.8,68.0,61.6
17.0,8,62.8,67.8,68.0,61.6
17.0,8,62.8,67.8,68.0,61.6
17.0,8,62.8,67.9,68.0,61.6
15.5,8,62.8,67.9,68.0,61.6
17.0,8,62.8,67.9,68.0,61.6
17.0,8,62.8,67.9,68.0,61.6
15.5,8,62.8,67.9,68.0,61.6
15.5,8,62.8,67.9,68.0,61.6
15.5,8,63.6,68.0,68.0,61.6
15.5,8,63.6,68.0,68.0,61.6
15.5,8,63.6,68.0,68.0,61.6
15.5,8,63.6,68.1,68.0,61.6
15.5,8,63.6,68.1,68.0,61.6
15.5,8,63.6,68.1,68.0,61.6
14.0,8,63.6,68.1,68.0,61.6
15.5,8,63.6,68.1,68.0,61.6
15.5,8,63.6,68.1,68.0,61.6
15.5,8,63.6,68.1,68.0,61.6
14.0,8,63.6,68.2,68.0,61.6
15.5,8,63.6,68.2,68.0,61.6
14.0,8,63.6,68.2,68.0,61.6
14.0,8,63.6,68.2,68.0,61.6
14.0,8,63.6,68.2,68.0,61.6
14.0,8,63.6,68.2,68.0,61.6
15.5,8,63.6,68.2,68.0,61.6
14.0,8,63.6,68.2,68.0,61.6
14.0,8,63.6,68.2,68.0,61.6
14.0,8,63.6,68.2,68.0,61.6
14.0,8,63.6,68.2,68.0,61.6
14.0,8,63.6,68.2,68.0,61.6
14.0,8,64.4,68.1,68.0,61.6
14.0,8,64.4,68.1,68.0,61.6
14.0,8,64.4,68.1,68.0,61.6
14.0,8,64.4,68.2,68.0,61.6
0.0,8,64.4,68.1,68.0,61.6
14.0,8,64.4,68.1,68.0,61.6
0.0,8,64.4,68.2,68.0,61.6
14.0,8,64.4,68.2,68.0,61.6
14.0,8,64.4,68.2,68.0,61.6
14.0,8,64.4,68.2,68.0,61.6
0.0,8,64.4,68.2,68.0,61.6
14.0,8,64.4,68.2,68.0,61.6
0.0,8,64.4,68.2,68.0,61.6
14.0,8,64.4,68.2,68.0,61.6
14.0,8,64.4,68.2,68.0,61.6
14.0,8,64.4,68.2,68.0,61.6
0.0,8,64.4,68.2,68.0,61.6
14.0,8,64.4,68.2,68.0,61.6
0.0,8,64.4,68.2,68.0,61.6
0.0,8,64.4,68.2,68.0,61.6
0.0,8,64.4,68.2,68.0,61.6
0.0,8,64.4,68.2,68.0,61.6
0.0,8,64.4,68.2,68.0,61.6
14.0,8,64.4,68.2,68.0,61.6
0.0,8,64.4,68.2,68.0,61.6
0.0,8,64.4,68.2,68.0,61.6
0.0,8,64.4,68.2,68.0,61.6
14.0,8,64.4,68.2,68.0,61.6
14.0,8,63.6,68.2,68.0,61.6
0.0,8,63.6,68.2,68.0,61.6
14.0,8,63.6,68.2,68.0,61.6
0.0,8,63.6,68.2,68.0,61.6
0.0,8,63.6,68.2,68.0,61.6
14.0,8,63.6,68.2,68.0,61.6
14.0,8,63.6,68.2,68.0,61.6
0.0,8,63.6,68.2,68.0,61.6
14.0,8,63.6,68.1,68.0,61.6
0.0,8,63.6,68.1,68.0,61.6
14.0,8,63.6,68.1,68.0,61.6
14.0,8,63.6,68.1,68.0,61.6
