AirFlowNormalized,AirValvePosition,DischargeAirTemp,SpaceTemp
19.2647,33,57.3,68.3
19.8529,33,57.3,68.3
19.2647,33,57.3,68.3
18.5294,33,58.0,68.3
19.2647,33,58.0,68.4
19.2647,33,58.0,68.4
19.2647,33,58.0,68.4
19.2647,33,57.2,68.4
19.2647,33,57.2,68.4
19.2647,33,57.2,68.4
18.5294,33,57.9,68.4
19.2647,33,57.9,68.4
19.2647,33,57.9,68.4
19.2647,33,57.9,68.4
18.5294,33,57.9,68.4
18.5294,33,57.9,68.4
18.5294,33,57.9,68.4
18.5294,33,57.9,68.4
19.2647,33,57.9,68.4
18.5294,33,57.9,68.4
18.5294,33,57.9,68.4
19.2647,33,57.9,68.4
19.2647,33,57.9,68.4
19.2647,33,57.9,68.4
19.2647,33,57.2,68.4
19.2647,33,57.2,68.4
19.2647,33,57.2,68.4
19.8529,33,57.2,68.4
18.5294,33,57.9,68.4
17.6471,33,57.9,68.4
18.5294,33,57.9,68.4
19.2647,33,57.2,68.4
19.2647,33,57.2,68.4
19.2647,33,57.2,68.4
19.8529,33,57.2,68.4
19.2647,33,57.2,68.4
19.2647,33,57.2,68.4
19.8529,33,57.2,68.3
19.2647,33,57.9,68.3
19.8529,33,57.9,68.3
19.2647,33,57.9,68.3
19.2647,33,57.9,68.3
19.2647,33,57.9,68.3
19.2647,33,57.2,68.3
20.5882,33,57.2,68.3
19.2647,33,57.9,68.3
19.8529,33,57.9,68.3
19.2647,33,57.9,68.3
19.8529,33,57.9,68.3
17.6471,32,57.9,68.3
17.0588,32,57.9,68.3
17.0588,32,57.9,68.3
17.6471,33,57.9,68.2
17.6471,33,57.9,68.2
17.6471,33,57.9,68.2
17.6471,33,57.9,68.2
17.6471,33,57.9,68.2
17.6471,33,57.9,68.2
15.1471,32,57.9,68.2
13.3824,31,57.9,68.3
13.3824,31,57.9,68.3
13.3824,31,57.9,68.3
13.3824,31,57.9,68.3
13.3824,31,57.9,68.3
13.3824,31,57.9,68.3
13.3824,31,57.9,68.3
13.3824,31,57.9,68.3
13.3824,31,57.2,68.3
12.3529,31,57.2,68.3
13.3824,31,57.2,68.3
13.3824,31,57.2,68.3
12.3529,31,57.2,68.4
13.3824,31,57.2,68.4
13.3824,31,57.2,68.4
12.3529,31,57.2,68.4
12.3529,31,57.2,68.4
13.3824,31,57.2,68.4
12.3529,31,57.2,68.4
13.3824,31,57.2,68.4
13.3824,31,57.2,68.4
13.3824,31,57.2,68.4
13.3824,31,57.2,68.4
13.3824,31,57.2,68.4
12.3529,31,57.2,68.4
12.3529,31,57.2,68.4
12.3529,31,57.8,68.4
12.3529,31,57.8,68.4
13.3824,31,57.8,68.4
13.3824,31,57.8,68.4
14.4118,31,57.8,68.4
14.4118,31,57.8,68.4
14.4118,31,57.8,68.4
14.4118,31,57.8,68.4
14.4118,31,57.8,68.4
14.4118,31,57.8,68.4
14.4118,31,57.2,68.3
14.4118,31,57.2,68.4
15.1471,31,57.2,68.3
14.4118,31,57.2,68.3
15.1471,31,57.2,68.3
15.1471,31,57.2,68.3
0.0,0,60.0,68.3
0.0,0,61.5,68.4
