AirFlowNormalized,AirValvePosition,DischargeAirTemp,HeatOutput,SpaceTemp,SpaceTempCoolingSetpointActive,SpaceTempHeatingSetpointActive
103.2558,55,58.7,100,66.3,70.0,67.0
103.2558,55,59.3,100,66.4,70.0,67.0
101.1628,55,60.0,100,66.9,70.0,67.0
101.1628,55,60.0,100,66.9,70.0,67.0
101.1628,55,58.0,100,66.7,70.0,67.0
101.1628,55,58.0,100,66.6,70.0,67.0
102.3256,55,59.5,100,66.4,70.0,67.0
102.3256,55,57.6,100,66.3,70.0,67.0
102.3256,55,57.6,100,66.2,70.0,67.0
102.3256,55,59.5,100,66.1,70.0,67.0
100.9302,55,59.5,100,66.1,70.0,67.0
100.9302,55,64.0,100,66.1,70.0,67.0
100.9302,55,70.1,100,66.4,70.0,67.0
100.9302,55,70.1,100,67.0,70.0,67.0
100.9302,55,58.7,0,67.3,70.0,67.0
100.9302,55,58.7,0,67.1,70.0,67.0
100.9302,55,57.3,100,66.7,70.0,67.0
100.9302,55,57.3,100,66.4,70.0,67.0
100.9302,55,58.7,100,66.2,70.0,67.0
100.9302,55,58.7,100,66.0,70.0,67.0
100.9302,55,59.6,100,66.0,70.0,67.0
100.9302,55,57.9,100,65.8,70.0,67.0
102.3256,55,57.9,100,65.8,70.0,67.0
102.3256,55,64.0,100,65.8,70.0,67.0
100.6977,55,72.0,100,66.1,70.0,67.0
100.6977,55,74.8,100,66.8,70.0,67.0
100.6977,55,60.8,0,67.3,70.0,67.0
100.6977,55,57.2,0,67.2,70.0,67.0
100.6977,55,58.4,0,66.8,70.0,67.0
100.6977,55,57.5,100,66.4,70.0,67.0
100.6977,55,56.8,100,66.1,70.0,67.0
103.2558,57,59.1,100,66.0,70.0,67.0
97.2093,53,58.0,100,65.8,70.0,67.0
101.1628,57,59.2,100,65.8,70.0,67.0
102.5581,57,60.7,100,65.7,70.0,67.0
100.9302,57,70.1,100,65.8,70.0,67.0
102.3256,57,77.8,100,66.4,70.0,67.0
102.3256,57,73.9,100,67.1,70.0,67.0
102.3256,57,57.6,0,67.3,70.0,67.0
102.3256,57,57.6,0,66.9,70.0,67.0
102.3256,57,57.6,100,66.6,70.0,67.0
102.3256,57,57.6,100,66.3,70.0,67.0
102.3256,57,57.6,100,66.1,70.0,67.0
102.3256,57,57.6,100,65.9,70.0,67.0
100.9302,57,59.1,100,65.8,70.0,67.0
100.9302,57,58.3,100,65.7,70.0,67.0
102.3256,57,64.4,100,65.8,70.0,67.0
100.0,57,74.8,100,66.1,70.0,67.0
100.0,57,75.6,100,66.8,70.0,67.0
120.0,72,59.6,0,67.4,70.0,67.0
100.9302,55,56.8,0,67.2,70.0,67.0
103.2558,55,58.3,0,66.7,70.0,67.0
103.2558,55,57.6,100,66.4,70.0,67.0
103.2558,55,57.6,100,66.1,70.0,67.0
103.2558,55,59.1,100,65.9,70.0,67.0
100.9302,54,59.1,100,65.8,70.0,67.0
100.9302,54,58.4,100,65.7,70.0,67.0
100.9302,54,62.8,100,65.6,70.0,67.0
100.9302,54,75.5,100,66.0,70.0,67.0
100.9302,54,77.7,100,66.7,70.0,67.0
98.6047,54,65.4,0,67.3,70.0,67.0
100.9302,54,57.9,0,67.1,70.0,67.0
100.9302,54,57.9,100,66.7,70.0,67.0
100.9302,54,57.9,100,66.3,70.0,67.0
100.9302,54,58.7,100,66.0,70.0,67.0
100.9302,54,58.0,100,65.8,70.0,67.0
100.9302,54,58.0,100,65.6,70.0,67.0
100.9302,54,58.0,100,65.6,70.0,67.0
100.9302,54,66.9,100,65.6,70.0,67.0
100.9302,54,73.0,100,66.4,70.0,67.0
98.6047,54,71.1,100,67.1,70.0,67.0
100.9302,54,56.8,0,67.3,70.0,67.0
100.9302,54,57.5,0,66.9,70.0,67.0
100.9302,54,56.8,100,66.4,70.0,67.0
100.9302,54,57.5,100,66.1,70.0,67.0
97.2093,54,57.5,100,65.8,70.0,67.0
97.2093,54,58.7,100,65.7,70.0,67.0
97.2093,55,57.6,100,65.6,70.0,67.0
97.2093,55,63.6,100,65.6,70.0,67.0
97.2093,55,72.0,100,66.1,70.0,67.0
97.2093,55,70.1,100,66.9,70.0,67.0
100.9302,55,60.9,0,67.3,70.0,67.0
99.0698,55,57.6,0,67.0,70.0,67.0
100.6977,55,57.6,100,66.5,70.0,67.0
100.6977,55,57.6,100,66.1,70.0,67.0
100.6977,55,59.9,100,65.8,70.0,67.0
100.6977,55,58.4,100,65.6,70.0,67.0
100.6977,55,58.4,100,65.5,70.0,67.0
