OutdoorAirEnthalpyReference,SpaceRelativeHumidityActive,SpaceTemp,SupplyAirPress,SupplyAirTemp,SupplyAirTempSetpoint,SupplyFanSpeedOutput
16.985,39.9107,68.1656,1.7704,51.1899,56.0,80.795
16.985,39.9107,68.1656,1.7623,51.892,56.0,80.795
16.912,39.9107,68.1656,1.7704,51.892,56.0,80.795
17.0323,39.9107,68.1656,1.7623,51.892,56.0,80.795
16.9434,39.9107,68.1656,1.7664,51.892,56.0,80.795
17.0617,39.9107,68.1656,1.7704,51.892,56.0,80.795
16.8842,39.9107,68.1656,1.7623,51.892,56.0,80.795
16.8842,39.4835,68.1656,1.7704,51.892,56.0,80.795
16.8102,39.4835,68.1656,1.7664,51.892,56.0,80.795
16.8102,39.4835,68.1656,1.7623,51.892,56.0,80.795
16.6621,39.4835,68.1656,1.7623,51.892,56.0,80.795
16.7198,39.4835,68.1656,1.7664,50.8479,56.0,80.795
16.9505,39.4835,68.1656,1.7623,51.982,56.0,80.795
16.8351,39.4835,68.1656,1.7704,51.3159,56.0,80.795
16.9505,39.4835,68.1656,1.7623,51.946,56.0,80.795
16.874,38.9647,68.1656,1.7664,51.1899,56.0,80.795
16.8351,38.9647,68.1656,1.7664,51.1899,56.0,80.795
16.7198,38.9647,68.1656,1.6218,51.1899,56.0,77.635
16.8351,38.0797,67.3015,1.6138,51.1899,56.0,76.66
16.7596,38.0797,67.3015,1.6098,51.1899,56.0,76.66
16.4962,38.0797,66.3834,1.6178,50.2718,56.0,76.66
16.4962,38.0797,66.3834,1.6138,50.9019,56.0,76.66
16.4962,38.0797,66.3834,1.6098,50.9019,56.0,76.66
16.366,38.7816,66.3834,1.6138,50.9019,56.0,76.66
16.44,38.7816,66.3834,1.6098,51.64,56.0,76.66
16.4217,38.3848,66.3834,1.6098,50.7399,56.0,76.66
16.366,38.3848,66.3834,1.6299,51.3519,56.0,76.66
16.44,38.3848,66.3834,1.6259,50.6859,56.0,76.66
16.44,37.9881,66.3834,1.6259,51.568,56.0,76.66
16.3276,37.9881,66.3834,1.6339,50.5239,56.0,76.66
16.0711,37.9881,66.3834,1.6259,51.568,56.0,76.66
15.8646,37.9881,66.3834,1.6339,51.568,56.0,76.66
15.9904,37.9881,66.3834,1.6178,51.568,56.0,76.66
15.9904,37.5914,66.3834,1.6299,51.568,56.0,76.66
16.1028,37.5914,66.3834,1.6339,50.6139,56.0,76.66
15.9904,37.1641,67.0675,1.6339,51.568,56.0,76.66
15.8218,37.1641,67.0675,1.6178,50.9019,56.0,76.66
16.0038,37.1641,67.0675,1.6218,50.9019,56.0,76.66
15.9342,37.1641,67.0675,1.6218,51.568,56.0,76.66
15.9342,36.6759,67.0675,1.6218,51.568,56.0,76.66
16.0038,36.6759,67.0675,1.6259,51.568,56.0,76.66
16.0038,36.6759,67.0675,1.6339,50.9019,56.0,76.66
15.8904,36.6759,67.0675,1.6178,51.982,56.0,76.66
15.8904,36.6759,67.0675,1.6259,50.6499,56.0,76.66
15.8904,36.6759,67.0675,1.6218,51.856,56.0,76.66
15.9342,36.1876,67.0675,1.6299,51.2259,56.0,76.66
15.8218,36.1876,67.0675,1.6259,50.5239,56.0,76.66
15.6417,36.1876,67.0675,1.6259,51.532,56.0,76.66
15.7532,35.7909,67.0675,1.6259,51.532,56.0,76.66
15.8646,35.7909,67.0675,1.6218,50.5599,56.0,76.66
16.0317,35.7909,67.0675,1.6178,51.766,56.0,76.66
16.1431,35.7909,67.0675,1.6218,51.766,56.0,76.66
16.2919,35.7909,67.0675,1.6178,51.766,56.0,76.66
16.1439,35.7909,67.0675,1.6178,51.766,56.0,76.66
16.2726,35.3331,67.0675,1.6178,50.9019,56.0,76.66
16.3821,35.3331,67.0675,1.6178,52.018,56.0,76.66
16.6009,35.3331,67.0675,1.6218,52.018,56.0,76.66
16.7946,34.7838,67.0675,1.6138,52.018,56.0,76.66
16.7946,35.1805,67.0675,1.6178,52.018,56.0,76.66
16.7147,35.1805,67.0675,1.6218,50.5599,56.0,76.66
16.8477,34.6922,67.0675,1.6138,51.982,56.0,76.66
16.9542,34.2039,67.0675,1.6178,51.982,56.0,76.66
17.0295,34.2039,67.0675,1.6178,52.9361,56.0,76.66
17.135,34.6312,67.0675,1.6178,51.2259,56.0,76.66
17.135,34.6312,67.0675,1.6098,52.018,56.0,76.66
17.2405,34.2345,67.0675,1.6178,52.018,56.0,76.66
17.3988,34.2345,67.0675,1.6299,52.018,56.0,77.785
17.3109,34.2345,67.0675,1.6299,52.9001,56.0,77.785
17.4155,34.2345,67.0675,1.6339,51.604,56.0,77.785
17.52,34.2345,67.0675,1.6178,52.5221,56.0,77.785
17.729,34.2345,67.0675,1.6299,51.532,56.0,77.785
17.7813,33.5936,67.0675,1.6178,52.8461,56.0,77.785
17.689,33.5936,67.0675,1.6259,52.8461,56.0,77.785
17.6992,33.5936,67.0675,1.6259,51.946,56.0,77.785
17.8735,33.5936,67.0675,1.6299,51.946,56.0,77.785
18.0581,33.5936,67.0675,1.6218,51.946,56.0,77.785
18.4615,33.5936,67.0675,1.6259,51.946,56.0,77.785
18.4272,33.5936,67.0675,1.6259,51.946,56.0,77.785
18.2195,33.5936,67.0675,1.6259,51.0279,56.0,77.785
18.0741,33.5936,67.0675,1.6339,51.0279,56.0,77.785
18.1149,33.5936,67.0675,1.6259,51.0279,56.0,77.785
18.0765,33.5936,67.0675,1.6339,51.0279,56.0,77.785
18.1171,33.5936,67.0675,1.6259,51.766,56.0,77.785
18.0738,34.0819,67.0675,1.6259,51.2259,56.0,77.785
17.9496,34.0819,67.0675,1.6218,51.856,56.0,77.785
17.9496,34.0819,67.0675,1.6299,51.1899,56.0,77.785
18.3223,34.0819,67.0675,1.6218,51.856,56.0,77.785
18.3223,34.0819,67.0675,1.6259,51.856,56.0,77.785
18.2807,34.0819,67.0675,1.6259,51.856,56.0,77.785
18.2807,34.4786,67.0675,1.6259,51.856,56.0,77.785
18.2807,34.4786,67.0675,1.6299,50.9019,56.0,77.785
18.3418,34.4786,67.0675,1.6259,50.9019,56.0,77.785
18.2953,34.4786,67.0675,1.6259,51.73,56.0,77.785
18.4156,34.4786,67.0675,1.6178,51.73,56.0,77.785
18.2953,34.8753,67.0675,1.6299,51.73,56.0,77.785
18.2109,34.8753,67.0675,1.6259,51.73,56.0,77.785
18.1266,34.8753,67.0675,1.6259,51.73,56.0,77.785
18.1266,34.8753,67.0675,1.6299,51.73,56.0,77.785
18.1595,34.8753,67.0675,1.6299,51.73,56.0,77.785
18.1595,34.8753,67.0675,1.6339,51.0639,56.0,77.785
17.9248,34.8753,67.0675,1.6138,52.018,56.0,77.785
18.0082,34.8753,67.0675,1.6259,52.018,56.0,77.785
18.0916,34.8753,67.0675,1.6259,51.0999,56.0,77.785
17.9248,34.8753,67.0675,1.6178,51.766,56.0,77.785
18.2195,34.8753,67.0675,1.6259,51.766,56.0,77.785
18.1321,34.8753,67.0675,1.6339,51.1899,56.0,77.785
18.1893,34.8753,67.0675,1.6218,51.856,56.0,77.785
18.1893,34.8753,67.0675,1.6259,51.856,56.0,77.785
18.2195,34.8753,67.0675,1.6299,50.9739,56.0,77.785
18.1321,34.8753,67.0675,1.6259,52.234,56.0,77.785
17.9574,34.8753,67.0675,1.6218,52.234,56.0,77.785
17.845,34.8753,67.0675,1.6178,50.8479,56.0,77.785
17.845,34.8753,67.0675,1.6259,52.018,56.0,77.785
17.845,34.8753,67.0675,1.6259,52.018,56.0,77.785
17.9314,34.8753,67.0675,1.6259,51.3519,56.0,77.785
17.818,34.8753,67.0675,1.6218,51.3519,56.0,77.785
17.6202,34.8753,67.0675,1.6218,51.3519,56.0,77.785
17.7326,34.8753,67.0675,1.6218,51.3519,56.0,77.785
17.6202,34.8753,67.0675,1.6259,51.3519,56.0,77.785
17.7326,34.8753,67.0675,1.6259,51.892,56.0,77.785
17.5912,34.4481,67.0675,1.6259,51.892,56.0,77.785
17.7326,34.4481,67.0675,1.6259,51.3159,56.0,77.785
17.7326,34.4481,67.0675,1.6218,52.072,56.0,77.785
17.7326,34.4481,67.0675,1.6259,52.072,56.0,77.785
17.7326,34.4481,67.0675,1.6259,51.0639,56.0,77.785
17.6202,34.4481,67.0675,1.6259,51.766,56.0,77.785
17.5345,34.4481,67.0675,1.6259,51.766,56.0,77.785
17.6174,34.4481,67.0675,1.6178,51.766,56.0,77.785
17.585,34.4481,67.0675,1.6299,51.766,56.0,77.785
17.4696,34.4481,67.0675,1.6259,51.766,56.0,77.785
17.5506,34.4481,67.0675,1.6178,51.766,56.0,77.785
17.4342,34.4481,67.0675,1.6299,51.766,56.0,77.785
17.585,34.4481,67.0675,1.6178,51.766,56.0,77.785
17.5506,34.4481,67.0675,1.6259,51.0639,56.0,77.785
17.5506,34.4481,67.0675,1.6259,52.018,56.0,77.785
17.6315,34.4481,67.0675,1.6218,52.018,56.0,77.785
17.6315,33.9903,67.0675,1.6259,52.018,56.0,77.785
17.5941,33.9903,67.0675,1.6218,52.018,56.0,77.785
17.4951,33.9903,67.0675,1.6259,52.018,56.0,77.785
17.5548,33.9903,67.0675,1.6218,52.018,56.0,77.785
17.6741,33.9903,67.0675,1.6138,52.018,56.0,77.785
17.5941,33.9903,67.0675,1.6259,50.8479,56.0,77.785
17.5941,33.9903,67.0675,1.6178,52.306,56.0,77.785
17.6315,33.9903,67.0675,1.6178,51.766,56.0,77.785
17.7124,33.9903,67.0675,1.6218,51.766,56.0,77.785
18.1149,33.9903,67.0675,1.6218,51.766,56.0,77.785
18.2449,33.9903,67.0675,1.6178,52.306,56.0,77.785
18.4815,33.9903,67.0675,1.6218,52.306,56.0,77.785
18.6232,34.4481,67.0675,1.6218,52.9721,56.0,77.785
18.8304,34.4481,67.0675,1.6138,52.108,56.0,77.785
18.9117,34.4481,67.0675,1.6178,52.6841,56.0,77.785
18.9328,34.4481,67.0675,1.6178,52.6841,56.0,77.785
18.65,34.4481,67.0675,1.6178,52.6841,56.0,77.785
18.65,34.4481,67.0675,1.6138,53.3501,56.0,77.785
18.5842,34.4481,67.0675,1.6178,52.5581,56.0,77.785
18.445,34.4481,67.0675,1.6178,52.5581,56.0,77.785
18.4538,34.4481,67.0675,1.6178,52.5581,56.0,77.785
18.5593,34.4481,67.0675,1.6098,53.3501,56.0,77.785
18.7703,34.4481,67.8056,1.6218,53.3501,56.0,77.785
18.9286,34.4481,67.8056,1.6138,52.5221,56.0,77.785
19.0341,34.4481,67.8056,1.6339,53.6742,56.0,77.785
19.3502,33.9293,67.8056,1.6339,53.0081,56.0,77.785
19.5058,33.9293,67.8056,1.6299,53.8362,56.0,77.785
19.6103,33.9293,67.8056,1.6299,53.1881,56.0,77.785
19.7596,33.9293,67.8056,1.6299,53.1881,56.0,77.785
19.9761,33.9293,67.8056,1.6379,53.1881,56.0,77.785
19.9666,33.9293,67.8056,1.6259,53.1881,56.0,77.785
20.0806,33.9293,67.8056,1.6259,53.1881,56.0,77.785
20.4464,33.9293,67.8056,1.6259,53.1881,56.0,77.785
20.3654,33.9293,67.8056,1.6259,54.1242,56.0,77.785
20.3481,33.9293,67.8056,1.6178,54.1242,56.0,77.785
20.4496,33.9293,67.8056,1.6178,54.1242,56.0,77.785
20.4496,33.9293,67.8056,1.6259,54.1242,56.0,77.785
20.5512,33.9293,67.8056,1.6098,53.5482,56.0,77.785
20.6527,33.9293,67.8056,1.6259,53.5482,56.0,77.785
20.673,33.5021,67.8056,1.6259,53.0081,56.0,77.785
20.4293,33.5021,67.8056,1.6259,53.0081,56.0,77.785
20.3654,33.5021,67.8056,1.6259,53.0081,56.0,77.785
20.1946,33.5021,67.8056,1.6218,53.0081,56.0,77.785
19.9891,33.5021,67.8056,1.6299,51.946,56.0,77.785
19.7202,33.5021,67.8056,1.6218,52.7201,56.0,77.785
19.4465,33.5021,67.8056,1.6299,52.072,56.0,77.785
18.9423,33.5021,67.8056,1.6379,52.072,56.0,77.785
18.8319,33.5021,67.8056,1.6339,52.5941,56.0,77.785
18.6662,33.5021,67.8056,1.6339,51.892,56.0,77.785
18.65,33.5021,67.8056,1.6339,52.7741,56.0,77.785
18.5195,33.5021,67.8056,1.6339,52.072,56.0,77.785
18.4417,33.5021,67.8056,1.6339,51.3519,56.0,77.785
18.2149,33.5021,67.8056,1.6339,52.072,56.0,77.785
18.2772,33.5021,67.8056,1.6339,52.072,56.0,77.785
18.1041,33.5021,67.8056,1.6419,51.478,56.0,77.785
17.9888,33.5021,67.8056,1.6379,51.478,56.0,77.785
17.7004,33.5021,67.8056,1.6379,51.478,56.0,77.785
17.5506,33.5021,67.8056,1.6379,50.9019,56.0,77.785
17.3179,33.5021,67.8056,1.6339,51.856,56.0,77.785
17.1433,33.5021,67.8056,1.6419,51.1899,56.0,77.785
16.8688,33.5021,67.8056,1.6339,51.82,56.0,77.785
16.8842,33.5021,67.8056,1.6379,51.2799,56.0,77.785
16.5292,33.5021,67.8056,1.6339,51.2799,56.0,77.785
16.6003,33.5021,67.8056,1.6339,51.2799,56.0,77.785
16.481,33.5021,67.8056,1.6379,50.6859,56.0,77.785
16.3021,33.5021,67.8056,1.6379,51.2259,56.0,77.785
16.0098,33.5021,67.8056,1.6339,51.766,56.0,77.785
16.0098,33.5021,67.8056,1.6419,50.5239,56.0,77.785
15.8935,33.5021,67.8056,1.6419,51.3519,56.0,77.785
15.7722,33.5021,67.8056,1.6419,51.3519,56.0,77.785
