MixedAirTemp,OutdoorAirEnthalpyReference,SpaceRelativeHumidityActive,SupplyAirPress,SupplyAirTemp,SupplyFanSpeedOutput
63.4671,16.44,26.483,1.4532,54.8623,58.595
63.4671,16.4217,26.2084,1.4412,54.8623,58.595
63.4671,16.366,26.2084,1.4532,54.8623,58.595
64.1152,16.44,25.9032,1.4492,54.8623,58.595
64.1152,16.44,25.9032,1.5014,55.6364,59.695
63.4671,16.3276,25.9032,1.5054,54.8623,59.695
63.4671,16.0711,25.6285,1.5134,54.8623,59.695
63.4671,15.8646,25.6285,1.5094,54.8623,59.695
63.4671,15.9904,25.6285,1.5134,54.8623,59.695
63.4671,15.9904,25.2928,1.5134,54.8623,59.695
63.4671,16.1028,25.2928,1.5175,54.8623,59.695
63.4671,15.9904,25.2928,1.5255,54.8623,59.695
63.4671,15.8218,25.2928,1.5857,54.8623,60.645
63.4671,16.0038,25.2928,1.5656,54.8623,60.645
63.4671,15.9342,25.0182,1.5616,54.8623,60.645
63.4671,15.9342,25.0182,1.5175,54.8623,60.645
63.4671,16.0038,25.0182,1.5134,54.8623,60.645
63.4671,16.0038,25.0182,1.5134,54.8623,60.645
63.4671,15.8904,25.0182,1.5134,55.7984,60.645
63.4671,15.8904,24.652,1.5175,54.9523,60.645
63.4671,15.8904,24.652,1.5134,55.7984,60.645
63.4671,15.9342,24.652,1.5175,55.1503,60.645
63.4671,15.8218,24.3163,1.5175,55.1503,60.645
63.4671,15.6417,24.3163,1.5175,55.1503,60.645
63.4671,15.7532,24.3163,1.5215,55.1503,60.645
63.4671,15.8646,24.3163,1.5175,55.1503,60.645
63.4671,16.0317,24.3163,1.5496,55.7984,60.645
64.8353,16.1431,24.0721,1.5496,55.7984,60.645
64.8353,16.2919,24.0721,1.5536,55.7984,60.645
64.8353,16.1439,23.767,1.5576,55.7984,60.645
64.8353,16.2726,23.767,1.5576,55.7984,60.645
64.8353,16.3821,23.767,1.5496,55.7984,60.645
64.8353,16.6009,23.4313,1.5496,55.7984,60.645
64.8353,16.7946,23.4313,1.5576,55.7984,60.645
64.8353,16.7946,23.4313,1.5616,55.7984,60.645
64.8353,16.7147,23.4313,1.5616,54.8263,60.645
64.8353,16.8477,23.4313,1.4051,56.5005,61.35
64.8353,16.9542,23.4313,1.4653,56.5005,61.35
64.8353,17.0295,23.4313,1.5857,55.1863,61.35
64.8353,17.135,23.4313,1.4974,55.1863,61.35
64.8353,17.135,23.4313,1.5857,55.9244,61.35
65.7534,17.2405,23.4313,1.5616,55.9244,60.375
65.7534,17.3988,23.4313,1.5697,55.9244,60.375
65.7534,17.3109,23.4313,1.5576,55.9244,60.375
65.7534,17.4155,23.4313,1.5656,55.9244,60.375
65.7534,17.52,23.4313,1.5616,55.9244,60.375
65.7534,17.729,23.4313,1.5656,55.9244,60.375
65.7534,17.7813,23.4313,1.5656,55.9244,60.375
65.7534,17.689,23.4313,1.4051,56.7885,62.725
64.8353,17.6992,23.4313,1.4332,56.7885,65.675
64.8353,17.8735,23.4313,1.5054,56.7885,64.285
63.9172,18.0581,23.4313,1.4452,55.8884,64.285
63.9172,18.4615,23.4313,1.5415,55.8884,64.285
63.9172,18.4272,23.4313,1.5576,55.8884,61.62
63.9172,18.2195,23.889,1.4813,54.8263,61.62
63.9172,18.0741,23.889,1.5014,54.8263,61.62
