MixedAirTemp,OutdoorAirEnthalpyReference,SupplyAirPress,SupplyAirTemp,SupplyFanSpeedOutput
65.7534,19.4712,1.3368,54.4482,64.44
65.7534,19.4422,1.3368,54.4482,64.44
65.7534,19.4422,1.3328,55.2403,64.44
65.7534,19.7482,1.3368,54.5023,64.44
65.7534,18.9704,1.3368,54.5023,64.44
65.7534,18.2999,1.3007,54.5023,63.445
65.7534,17.8115,1.3007,54.5023,63.445
65.7534,17.9294,1.3007,54.5023,63.445
65.7534,17.709,1.2927,55.1863,63.445
65.7534,17.4152,1.2927,55.1863,63.445
65.7534,19.9924,1.2967,54.2862,63.445
64.7453,19.5345,1.3007,54.2862,63.445
64.7453,19.2808,1.2927,54.9883,63.445
64.7453,19.0929,1.3007,54.9883,63.445
64.7453,19.0541,1.3007,54.9883,63.445
64.7453,18.9279,1.3007,54.3762,63.445
64.7453,18.4409,1.3007,55.3483,63.445
64.7453,18.5218,1.2967,55.3483,63.445
64.7453,18.5218,1.2967,54.5743,63.445
65.5734,18.5218,1.3167,55.2403,63.445
65.5734,18.5218,1.3167,55.2403,63.445
65.5734,18.3137,1.3167,55.2403,63.445
65.5734,18.3137,1.3167,56.1764,63.445
65.5734,18.1229,1.3167,55.0243,63.445
66.2934,18.2014,1.3248,55.6904,63.445
66.2934,18.0732,1.3167,55.6904,63.445
66.2934,18.1229,1.3248,55.1143,63.445
66.2934,18.1229,1.3248,55.1143,63.445
66.2934,18.1075,1.3208,54.3762,63.445
66.2934,18.1075,1.3288,54.3762,63.445
66.2934,18.1538,1.3248,56.0864,63.445
66.2934,17.9659,1.3248,54.7363,63.445
66.2934,18.0444,1.3288,54.7363,63.445
66.2934,17.8875,1.3288,54.7363,63.445
66.2934,17.8407,1.3248,55.3123,63.445
66.2934,17.8875,1.3288,54.3762,63.445
66.2934,17.4393,1.3167,54.3762,63.445
66.2934,17.3905,1.3328,54.3762,63.445
66.2934,17.3905,1.3288,54.3762,63.445
66.2934,17.4393,1.3167,55.5104,63.445
66.2934,17.1803,1.3288,55.5104,63.445
67.0315,17.316,1.3208,55.5104,63.445
67.0315,17.2415,1.3248,55.5104,63.445
67.0315,17.2544,1.3208,55.5104,63.445
67.0315,17.316,1.3248,55.5104,63.445
67.0315,17.5625,1.3288,54.7003,63.445
67.0315,17.4533,1.3328,54.7003,63.445
67.0315,17.333,1.3328,55.3123,63.445
67.0315,17.4095,1.3328,54.6643,63.445
67.0315,17.4095,1.2927,54.6643,62.115
67.0315,17.4533,1.2927,55.5104,62.115
67.0315,17.2983,1.2927,55.5104,62.115
67.0315,17.5548,1.2967,54.4482,62.115
67.0315,17.5941,1.3007,54.4482,62.115
67.0315,17.8662,1.2886,55.6904,62.115
66.2934,17.9248,1.2927,54.8983,62.115
66.2934,17.9491,1.3007,54.8983,62.115
66.2934,17.9127,1.2927,54.8983,62.115
66.2934,17.9491,1.2927,54.8983,62.115
66.2934,18.0916,1.2967,54.8983,62.115
66.2934,18.0916,1.3007,54.8983,62.115
66.2934,18.0916,1.2967,54.8983,62.115
66.2934,17.9491,1.2927,54.8983,62.115
66.2934,18.0082,1.2967,54.8983,62.115
66.2934,17.9248,1.2927,55.6004,62.115
66.2934,18.0082,1.2967,55.6004,62.115
66.2934,18.1149,1.2927,55.6004,62.115
66.2934,17.9127,1.2927,55.6004,62.115
66.2934,17.9553,1.2927,55.6004,62.115
66.2934,18.1585,1.2886,55.6004,62.115
66.2934,18.2404,1.2927,54.9523,62.115
66.2934,18.2404,1.2967,54.9523,62.115
66.2934,18.0738,1.2967,54.3402,62.115
66.2934,17.9496,1.2967,55.0603,62.115
66.2934,17.9659,1.2927,55.0603,62.115
66.2934,17.7632,1.2927,55.0603,62.115
66.2934,17.4651,1.2927,55.0603,62.115
