MixedAirTemp,OutdoorAirEnthalpyReference,SupplyAirPress,SupplyAirTemp,SupplyFanSpeedOutput
65.1053,19.4712,1.5134,60.4068,68.655
65.1053,19.4422,1.5656,55.2763,68.655
65.1053,19.4422,1.5175,59.9208,68.655
65.1053,19.7482,1.5456,55.7984,68.655
64.2952,18.9704,1.5255,58.9667,68.655
64.2952,18.2999,1.5215,57.1485,68.655
64.2952,17.8115,1.5335,57.1485,68.655
63.6472,17.9294,1.5375,59.6868,68.655
63.6472,17.709,1.5697,55.8884,68.655
63.6472,17.4152,1.5335,59.6508,68.655
63.6472,19.9924,1.5335,56.6085,68.655
63.6472,19.5345,1.5456,57.3825,68.655
63.6472,19.2808,1.5175,59.0387,68.655
63.6472,19.0929,1.5335,55.6364,68.655
63.6472,19.0541,1.5456,59.2007,68.655
63.6472,18.9279,1.5175,57.2745,68.655
63.6472,18.4409,1.5295,57.2745,68.655
63.6472,18.5218,1.5255,59.9748,68.655
63.6472,18.5218,1.5697,55.6904,68.655
63.6472,18.5218,1.5295,58.6067,68.655
63.6472,18.5218,1.5456,58.6067,68.655
63.6472,18.3137,1.5295,56.2484,68.655
63.6472,18.3137,1.5375,59.7228,68.655
63.6472,18.1229,1.5616,56.9865,68.655
62.9271,18.2014,1.5496,56.9865,68.655
62.9271,18.0732,1.5415,59.6868,68.655
62.9271,18.1229,1.5737,56.2124,68.655
62.9271,18.1229,1.5295,58.2286,68.655
62.9271,18.1075,1.5415,58.8407,68.655
62.9271,18.1075,1.5656,55.8524,68.655
63.6472,18.1538,1.5255,59.0747,68.655
63.6472,17.9659,1.5777,57.2205,68.655
63.6472,18.0444,1.5335,56.6085,68.655
63.6472,17.8875,1.5415,59.8848,68.655
63.6472,17.8407,1.5737,56.1764,68.655
63.6472,17.8875,1.5456,58.4446,68.655
63.6472,17.4393,1.5616,58.4446,68.655
63.6472,17.3905,1.5777,55.7264,68.655
63.6472,17.3905,1.5536,59.8488,68.655
63.6472,17.4393,1.5616,56.4104,68.655
63.6472,17.1803,1.5496,57.6706,68.655
63.6472,17.316,1.5255,59.3267,68.655
63.6472,17.2415,1.5817,56.0144,68.655
63.6472,17.2544,1.5375,59.6148,68.655
63.6472,17.316,1.5777,56.9865,68.655
63.6472,17.5625,1.5415,56.9865,68.655
63.6472,17.4533,1.5335,59.8488,68.655
63.6472,17.333,1.5415,55.7624,68.655
63.6472,17.4095,1.5295,58.8767,68.655
63.6472,17.4095,1.5737,57.6706,66.865
63.6472,17.4533,1.5737,56.0504,66.865
63.6472,17.2983,1.5215,60.0468,66.865
63.6472,17.5548,1.5656,57.2745,66.865
63.6472,17.5941,1.5616,56.5005,66.865
63.6472,17.8662,1.5134,60.2088,66.865
63.6472,17.9248,1.5616,56.0864,66.865
63.6472,17.9491,1.5215,57.7966,66.865
63.6472,17.9127,1.5134,59.5248,66.865
63.6472,17.9491,1.5255,55.6364,66.865
63.6472,18.0916,1.5255,58.8767,66.865
63.6472,18.0916,1.4974,57.7966,66.865
63.6472,18.0916,1.5415,55.9604,66.865
63.6472,17.9491,1.5134,59.4527,66.865
63.6472,18.0082,1.5415,57.5986,66.865
63.6472,17.9248,1.5134,56.3384,66.865
63.6472,18.0082,1.5134,59.8128,66.865
63.6472,18.1149,1.5656,56.7885,66.865
63.6472,17.9127,1.5215,56.7885,66.865
63.6472,17.9553,1.5175,59.9748,66.865
