MixedAirTemp,OutdoorAirEnthalpyReference,SupplyAirPress,SupplyAirTemp,SupplyFanSpeedOutput
59.6508,19.4712,1.4572,56.1224,78.0
57.9226,19.4422,1.4813,55.3483,78.0
60.1008,19.4422,1.4853,56.3384,78.0
58.8227,19.7482,1.4853,55.3483,78.0
59.8308,18.9704,1.4894,56.3384,78.0
59.8308,18.2999,1.4853,56.3384,78.0
58.8227,17.8115,1.4853,55.4383,78.0
59.9208,17.9294,1.4853,56.3384,78.0
59.9208,17.709,1.4773,56.3384,78.0
59.9208,17.4152,1.4813,55.7624,78.0
59.2727,19.9924,1.4853,55.7624,78.0
60.0108,19.5345,1.4894,55.7624,78.0
59.3627,19.2808,1.4894,55.7624,78.0
59.3627,19.0929,1.4813,55.7624,78.0
59.3627,19.0541,1.4894,55.7624,78.0
59.3627,18.9279,1.4894,55.7624,78.0
59.3627,18.4409,1.4853,55.7624,78.0
60.0108,18.5218,1.4853,55.7624,78.0
59.0927,18.5218,1.4934,55.7624,78.0
59.7408,18.5218,1.4894,55.7624,78.0
59.7408,18.5218,1.4813,55.7624,78.0
58.9127,18.3137,1.4813,55.7624,78.0
58.9127,18.3137,1.4894,55.7624,78.0
59.7408,18.1229,1.4894,55.7624,78.0
58.9127,18.2014,1.4934,55.1503,78.0
59.8308,18.0732,1.4894,55.9604,78.0
59.8308,18.1229,1.4773,55.9604,78.0
58.8227,18.1229,1.4934,55.1143,78.0
59.6508,18.1075,1.4894,56.0144,78.0
59.6508,18.1075,1.4894,56.0144,78.0
59.6508,18.1538,1.4813,55.3123,78.0
59.6508,17.9659,1.4853,55.9604,78.0
59.0027,18.0444,1.4934,55.9604,78.0
59.8308,17.8875,1.4934,55.9604,78.0
58.9127,17.8407,1.4894,55.9604,78.0
58.9127,17.8875,1.4894,55.9604,78.0
59.6508,17.4393,1.5054,55.9604,78.0
58.8227,17.3905,1.4974,55.9604,78.0
59.8308,17.3905,1.5054,55.9604,78.0
58.2826,17.4393,1.5134,54.7903,78.0
59.6508,17.1803,1.5094,55.8884,78.0
