MixedAirTemp,OutdoorAirEnthalpyReference,SpaceRelativeHumidityActive,SpaceTemp,SupplyAirPress,SupplyAirTemp,SupplyFanSpeedOutput
59.6508,16.8102,25.0182,76.6085,1.2766,57.5446,67.635
59.6508,16.8102,24.5604,76.6085,1.2927,54.7363,66.82
59.6508,16.6621,24.5604,76.6085,1.2766,57.8326,66.82
60.4608,16.7198,24.5604,76.6085,1.2806,57.1485,66.82
60.4608,16.9505,24.1332,76.6085,1.2927,55.3483,66.82
59.7408,16.8351,24.1332,76.6085,1.2485,59.0027,66.82
59.7408,16.9505,24.1332,76.6085,1.2365,59.0027,66.82
59.7408,16.874,23.5839,77.4005,1.2485,55.5104,66.82
59.7408,16.8351,23.1261,77.4005,1.2525,54.6103,66.82
59.7408,16.7198,23.5228,77.4005,1.2405,57.3825,66.82
59.7408,16.8351,23.5228,77.4005,1.2485,57.3825,66.82
59.7408,16.7596,23.5228,77.4005,1.2565,55.0243,66.82
59.7408,16.4962,23.5228,77.4005,1.1,57.1845,66.82
59.7408,16.4962,23.1566,77.4005,1.104,59.3627,67.55
59.7408,16.4962,23.1566,77.4005,1.124,58.5527,67.55
59.7408,16.366,22.4242,77.4005,1.1281,55.9244,67.55
59.7408,16.44,22.4242,77.4005,1.1281,57.7966,67.55
59.7408,16.4217,22.4242,77.4005,1.1441,56.1224,67.55
59.7408,16.366,22.119,77.4005,1.1441,58.3906,67.55
59.7408,16.44,22.119,77.4005,1.1682,55.3123,67.55
59.7408,16.44,22.4547,77.4005,1.2806,59.3627,67.55
59.0927,16.3276,21.8138,77.4005,1.2646,57.3465,67.55
59.0927,16.0711,21.5087,77.4005,1.2686,54.5743,67.55
59.0927,15.8646,21.5087,77.4005,1.2806,59.6508,67.55
59.0927,15.9904,21.2035,77.4005,1.2967,55.5104,67.55
59.0927,15.9904,21.2035,77.4005,1.2846,57.9046,65.855
59.0927,16.1028,21.2035,77.4005,1.2846,57.9046,65.855
59.0927,15.9904,21.2035,77.4005,1.2766,54.6643,65.855
58.2826,15.8218,22.6683,77.4005,1.2766,59.2367,65.855
58.2826,16.0038,21.3866,77.4005,1.2806,55.3483,65.855
58.2826,15.9342,22.6683,77.4005,1.2806,57.8326,65.855
